<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QVMM.US,D,20210701,000000,25.014,25.169,25.014,25.111,492,0
QVMM.US,D,20210702,000000,25.063,25.063,25.063,25.063,24,0
QVMM.US,D,20210706,000000,24.83,24.83,24.812,24.812,101,0
QVMM.US,D,20210707,000000,24.86,24.86,24.86,24.86,2,0
QVMM.US,D,20210708,000000,24.541,24.541,24.499,24.499,314,0
QVMM.US,D,20210709,000000,25.055,25.055,25.055,25.055,1,0
QVMM.US,D,20210712,000000,25.278,25.278,25.131,25.131,203,0
QVMM.US,D,20210713,000000,24.984,24.984,24.768,24.768,501,0
QVMM.US,D,20210714,000000,24.77,24.77,24.625,24.625,104,0
QVMM.US,D,20210715,000000,24.554,24.554,24.554,24.554,102,0
QVMM.US,D,20210716,000000,24.274,24.274,24.274,24.274,42,0
QVMM.US,D,20210719,000000,23.932,23.932,23.829,23.829,161,0
QVMM.US,D,20210720,000000,24.493,24.493,24.493,24.493,5,0
QVMM.US,D,20210721,000000,24.79,24.79,24.776,24.776,121,0
QVMM.US,D,20210722,000000,24.548,24.548,24.548,24.548,11,0
QVMM.US,D,20210723,000000,24.82,24.82,24.71,24.761,1032,0
QVMM.US,D,20210726,000000,24.75,24.775,24.75,24.775,262,0
QVMM.US,D,20210727,000000,24.531,24.649,24.531,24.649,104,0
QVMM.US,D,20210728,000000,24.71,24.829,24.71,24.829,137,0
QVMM.US,D,20210729,000000,25.096,25.096,25.096,25.096,28,0
QVMM.US,D,20210730,000000,25.072,25.072,25.072,25.072,1,0
QVMM.US,D,20210802,000000,25.178,25.179,24.974,24.974,492,0
QVMM.US,D,20210803,000000,25.132,25.132,25.132,25.132,46,0
QVMM.US,D,20210804,000000,25.159,25.159,24.916,24.916,1886,0
QVMM.US,D,20210805,000000,25.076,25.076,25.076,25.076,15,0
QVMM.US,D,20210806,000000,25.19,25.19,25.19,25.19,2,0
QVMM.US,D,20210809,000000,25.147,25.147,25.114,25.114,479,0
QVMM.US,D,20210810,000000,25.249,25.249,25.189,25.196,1454,0
QVMM.US,D,20210811,000000,25.377,25.418,25.348,25.418,22927,0
QVMM.US,D,20210812,000000,25.388,25.448,25.382,25.382,9390,0
QVMM.US,D,20210813,000000,25.305,25.305,25.305,25.305,26,0
QVMM.US,D,20210816,000000,25.244,25.268,25.244,25.268,100,0
QVMM.US,D,20210817,000000,24.929,24.979,24.83,24.979,383,0
QVMM.US,D,20210818,000000,25.03,25.049,24.755,24.755,7584,0
QVMM.US,D,20210819,000000,24.521,24.59,24.475,24.529,12367,0
QVMM.US,D,20210820,000000,24.82,24.85,24.795,24.847,914,0
QVMM.US,D,20210823,000000,24.979,25.069,24.979,25.048,2303,0
QVMM.US,D,20210824,000000,25.169,25.278,25.169,25.229,1375,0
QVMM.US,D,20210825,000000,25.405,25.405,25.405,25.405,909,0
QVMM.US,D,20210826,000000,25.167,25.167,25.167,25.167,406,0
QVMM.US,D,20210827,000000,25.606,25.606,25.606,25.606,6,0
QVMM.US,D,20210830,000000,25.562,25.562,25.562,25.562,13,0
QVMM.US,D,20210831,000000,25.498,25.548,25.474,25.474,444,0
QVMM.US,D,20210901,000000,25.523,25.523,25.523,25.523,1,0
QVMM.US,D,20210902,000000,25.648,25.648,25.648,25.648,13,0
QVMM.US,D,20210903,000000,25.578,25.578,25.544,25.544,100,0
QVMM.US,D,20210907,000000,25.233,25.233,25.233,25.233,11,0
QVMM.US,D,20210908,000000,25.179,25.179,25.144,25.144,112,0
QVMM.US,D,20210909,000000,25.262,25.288,25.111,25.111,6346,0
QVMM.US,D,20210910,000000,24.869,24.869,24.869,24.869,2,0
QVMM.US,D,20210913,000000,25.003,25.003,25.003,25.003,10,0
QVMM.US,D,20210914,000000,24.969,24.969,24.709,24.709,624,0
QVMM.US,D,20210915,000000,24.952,24.952,24.952,24.952,47,0
QVMM.US,D,20210916,000000,24.917,24.917,24.917,24.917,630,0
QVMM.US,D,20210917,000000,24.785,24.785,24.744,24.744,415,0
QVMM.US,D,20210920,000000,24.35,24.35,24.0821,24.3428,271,0
QVMM.US,D,20210921,000000,24.3,24.3,24.3,24.3,54,0
QVMM.US,D,20210922,000000,24.7,24.77,24.605,24.605,594,0
QVMM.US,D,20210923,000000,24.9559,24.9559,24.9559,24.9559,27,0
QVMM.US,D,20210924,000000,24.9373,24.9373,24.9373,24.9373,41,0
QVMM.US,D,20210927,000000,25.1542,25.1542,25.1542,25.1542,42,0
QVMM.US,D,20210928,000000,24.995,24.995,24.787,24.787,144,0
QVMM.US,D,20210929,000000,24.8001,24.8001,24.8001,24.8001,21,0
QVMM.US,D,20210930,000000,24.67,24.68,24.4239,24.4239,23489,0
QVMM.US,D,20211001,000000,24.41,24.7695,24.385,24.7695,4147,0
QVMM.US,D,20211004,000000,24.88,24.88,24.6277,24.6277,202,0
QVMM.US,D,20211005,000000,24.6881,24.6881,24.6881,24.6881,1,0
QVMM.US,D,20211006,000000,24.41,24.6154,24.41,24.6154,401,0
QVMM.US,D,20211007,000000,24.9804,24.9804,24.9804,24.9804,1,0
QVMM.US,D,20211008,000000,24.8693,24.8693,24.8693,24.8693,2,0
QVMM.US,D,20211011,000000,24.7271,24.7271,24.7271,24.7271,1,0
