<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAYD.US,D,20211217,000000,24.8664,24.8664,24.8664,24.8664,51,0
RAYD.US,D,20211220,000000,24.66,25.385,24.66,25.385,3413470,0
RAYD.US,D,20211221,000000,25.32,25.32,24.705,24.705,20688,0
RAYD.US,D,20211222,000000,25.15,25.15,25.15,25.15,4,0
RAYD.US,D,20211223,000000,25.15,25.4,25.15,25.2882,103827,0
RAYD.US,D,20211227,000000,25.36,25.7194,25.36,25.7194,139,0
RAYD.US,D,20211228,000000,25.5574,25.5574,25.5574,25.5574,3,0
RAYD.US,D,20211229,000000,25.6528,25.6528,25.6528,25.6528,1,0
RAYD.US,D,20211230,000000,25.77,25.79,25.5528,25.5528,1957,0
RAYD.US,D,20211231,000000,25.58,25.58,25.5407,25.5407,194,0
RAYD.US,D,20220103,000000,25.4255,25.4255,25.4255,25.4255,1,0
RAYD.US,D,20220104,000000,25.2393,25.2393,25.2393,25.2393,1,0
RAYD.US,D,20220105,000000,24.7648,24.7648,24.7648,24.7648,4,0
RAYD.US,D,20220106,000000,24.68,24.91,24.68,24.7117,1148,0
RAYD.US,D,20220107,000000,24.5921,24.5921,24.5921,24.5921,3,0
RAYD.US,D,20220110,000000,24.4538,24.4538,24.4538,24.4538,3,0
RAYD.US,D,20220111,000000,24.6778,24.6778,24.6778,24.6778,4,0
RAYD.US,D,20220112,000000,24.8431,24.8431,24.8431,24.8431,3,0
RAYD.US,D,20220113,000000,24.4539,24.4539,24.4539,24.4539,3,0
RAYD.US,D,20220114,000000,24.4148,24.4148,24.4148,24.4148,3,0
RAYD.US,D,20220118,000000,24.0034,24.0034,24.0034,24.0034,3,0
RAYD.US,D,20220119,000000,23.8482,23.8482,23.8482,23.8482,3,0
RAYD.US,D,20220120,000000,23.97,23.97,23.52,23.52,10602,0
