<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAYE.US,D,20211217,000000,25.1922,25.1922,25.1922,25.1922,32,0
RAYE.US,D,20211220,000000,24.8577,24.8577,24.8577,24.8577,50,0
RAYE.US,D,20211221,000000,25.24,25.24,25.0207,25.0207,620,0
RAYE.US,D,20211222,000000,25.195,25.195,25.195,25.195,16,0
RAYE.US,D,20211223,000000,25.3541,25.3541,25.3541,25.3541,48,0
RAYE.US,D,20211227,000000,25.526,25.526,25.4627,25.4627,100,0
RAYE.US,D,20211228,000000,25.4325,25.4325,25.4325,25.4325,11,0
RAYE.US,D,20211229,000000,25.2761,25.2761,25.2761,25.2761,1,0
RAYE.US,D,20211230,000000,25.4255,25.4255,25.4255,25.4255,2,0
RAYE.US,D,20211231,000000,25.63,25.63,25.3437,25.3437,110,0
RAYE.US,D,20220103,000000,25.492,25.492,25.492,25.492,1,0
RAYE.US,D,20220104,000000,25.44,25.44,25.3595,25.3595,2847,0
RAYE.US,D,20220105,000000,25.0288,25.0288,25.0288,25.0288,5,0
RAYE.US,D,20220106,000000,25.13,25.13,25.0276,25.0276,3754,0
RAYE.US,D,20220107,000000,25.305,25.305,25.305,25.305,3,0
RAYE.US,D,20220110,000000,25.3368,25.3368,25.3368,25.3368,1,0
RAYE.US,D,20220111,000000,25.6649,25.6649,25.6649,25.6649,1,0
RAYE.US,D,20220112,000000,26.04,26.04,26.018,26.018,4206,0
RAYE.US,D,20220113,000000,25.75,25.75,25.75,25.75,227,0
RAYE.US,D,20220114,000000,25.57,25.6591,25.57,25.6591,1657,0
RAYE.US,D,20220118,000000,25.3401,25.3401,25.3401,25.3401,1,0
RAYE.US,D,20220119,000000,25.63,25.63,25.4888,25.4888,2354,0
RAYE.US,D,20220120,000000,25.67,25.67,25.3809,25.3809,177,0
RAYE.US,D,20220121,000000,25.32,25.32,25.0478,25.0478,1178920,0
