<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBOT-WS.US,D,20210921,000000,1.76,2.375,1.73,2.04,1319852,0
RBOT-WS.US,D,20210922,000000,1.94,2.3,1.72,2.04,263977,0
RBOT-WS.US,D,20210923,000000,2.05,2.19,1.71,2.02,444453,0
RBOT-WS.US,D,20210924,000000,2.05,2.5,2.05,2.25,336629,0
RBOT-WS.US,D,20210927,000000,2.45,2.45,2.05,2.11,226533,0
RBOT-WS.US,D,20210928,000000,2.27,2.27,1.53,1.92,404176,0
RBOT-WS.US,D,20210929,000000,1.9,2.31,1.85,2,122450,0
RBOT-WS.US,D,20210930,000000,2.25,2.25,1.91,2.21,360931,0
RBOT-WS.US,D,20211001,000000,2.27,2.45,2.05,2.05,128999,0
RBOT-WS.US,D,20211004,000000,2.24,2.24,1.82,1.95,169596,0
RBOT-WS.US,D,20211005,000000,2.24,2.26,1.91,1.91,39653,0
RBOT-WS.US,D,20211006,000000,1.89,1.97,1.85,1.85,111747,0
RBOT-WS.US,D,20211007,000000,1.96,2.07,1.86,2,112029,0
RBOT-WS.US,D,20211008,000000,1.9101,1.95,1.83,1.9,12250,0
RBOT-WS.US,D,20211011,000000,1.95,2.06,1.76,1.8,182876,0
RBOT-WS.US,D,20211012,000000,1.95,2.05,1.68,1.78,77173,0
RBOT-WS.US,D,20211013,000000,2,2,1.77,1.85,57231,0
RBOT-WS.US,D,20211014,000000,2,2.08,1.66,1.76,82404,0
RBOT-WS.US,D,20211015,000000,2.02,2.02,1.6501,1.72,95109,0
RBOT-WS.US,D,20211018,000000,2.07,2.07,1.6,1.65,85613,0
RBOT-WS.US,D,20211019,000000,1.74,1.78,1.56,1.645,148137,0
RBOT-WS.US,D,20211020,000000,1.65,1.8,1.65,1.73,77436,0
RBOT-WS.US,D,20211021,000000,1.8,1.8,1.61,1.64,28378,0
RBOT-WS.US,D,20211022,000000,1.73,1.7695,1.67,1.7,60937,0
RBOT-WS.US,D,20211025,000000,1.7,1.93,1.67,1.8,143962,0
RBOT-WS.US,D,20211026,000000,1.99,2.0494,1.8,1.86,106396,0
RBOT-WS.US,D,20211027,000000,1.73,1.95,1.73,1.93,33709,0
RBOT-WS.US,D,20211028,000000,1.94,2,1.81,1.9,80398,0
RBOT-WS.US,D,20211029,000000,1.82,2.53,1.82,2.19,401876,0
RBOT-WS.US,D,20211101,000000,2.5299,2.55,2.2593,2.44,74470,0
RBOT-WS.US,D,20211102,000000,2.31,2.5,2.3,2.4,53188,0
RBOT-WS.US,D,20211103,000000,2.34,2.7,2.34,2.63,119105,0
RBOT-WS.US,D,20211104,000000,2.6,2.74,2.49,2.51,60980,0
RBOT-WS.US,D,20211105,000000,2.54,2.63,2.53,2.63,22428,0
RBOT-WS.US,D,20211108,000000,2.65,2.6999,2.5101,2.68,62073,0
RBOT-WS.US,D,20211109,000000,2.57,2.75,2.43,2.59,72461,0
RBOT-WS.US,D,20211110,000000,2.49,2.9499,2.38,2.9499,58205,0
RBOT-WS.US,D,20211111,000000,2.66,2.75,2.52,2.65,34257,0
RBOT-WS.US,D,20211112,000000,2.6,2.65,2.3,2.45,33516,0
RBOT-WS.US,D,20211115,000000,2.3921,2.48,2.22,2.37,46865,0
RBOT-WS.US,D,20211116,000000,2.38,2.42,2.2,2.2,52581,0
RBOT-WS.US,D,20211117,000000,2.36,2.36,2.25,2.25,58768,0
RBOT-WS.US,D,20211118,000000,2.5,2.5,2.2,2.22,100772,0
RBOT-WS.US,D,20211119,000000,2.09,2.3,2.09,2.14,111404,0
RBOT-WS.US,D,20211122,000000,2.05,2.405,2.05,2.22,518350,0
RBOT-WS.US,D,20211123,000000,2.2,2.33,1.99,2.14,210867,0
RBOT-WS.US,D,20211124,000000,2.04,2.24,1.93,2.22,166740,0
RBOT-WS.US,D,20211126,000000,2.2,2.2,2.0499,2.19,13564,0
RBOT-WS.US,D,20211129,000000,2.39,2.39,2.2,2.2,56625,0
RBOT-WS.US,D,20211130,000000,2.22,2.3,2.2,2.21,70465,0
RBOT-WS.US,D,20211201,000000,2.2,2.22,2.15,2.15,9037,0
RBOT-WS.US,D,20211202,000000,2.1701,2.1701,2.15,2.16,15472,0
RBOT-WS.US,D,20211203,000000,2.08,2.0814,1.41,1.58,163601,0
RBOT-WS.US,D,20211206,000000,1.5801,1.715,1.42,1.68,150692,0
RBOT-WS.US,D,20211207,000000,1.8,1.8,1.65,1.735,32147,0
RBOT-WS.US,D,20211208,000000,1.72,1.87,1.6492,1.7,35884,0
RBOT-WS.US,D,20211209,000000,1.61,1.8,1.52,1.6399,226580,0
RBOT-WS.US,D,20211210,000000,1.61,1.6158,1.52,1.58,57360,0
RBOT-WS.US,D,20211213,000000,1.63,1.69,1.495,1.58,77554,0
RBOT-WS.US,D,20211214,000000,1.65,2.01,1.6,2.01,278476,0
RBOT-WS.US,D,20211215,000000,2.02,2.07,1.85,1.95,48032,0
RBOT-WS.US,D,20211216,000000,1.85,2.24,1.85,1.89,77920,0
RBOT-WS.US,D,20211217,000000,2.1,2.36,2.1,2.24,88922,0
RBOT-WS.US,D,20211220,000000,2.05,2.09,1.65,1.67,44312,0
RBOT-WS.US,D,20211221,000000,1.67,2.01,1.67,1.75,78439,0
RBOT-WS.US,D,20211222,000000,1.71,1.81,1.68,1.81,26471,0
RBOT-WS.US,D,20211223,000000,1.94,2.21,1.86,2.1,29746,0
RBOT-WS.US,D,20211227,000000,2.2,2.2,2,2,21430,0
RBOT-WS.US,D,20211228,000000,1.9501,2.18,1.95,2.155,18001,0
RBOT-WS.US,D,20211229,000000,2.07,2.0701,1.81,2.0001,22595,0
RBOT-WS.US,D,20211230,000000,2,2.05,2,2,3342,0
RBOT-WS.US,D,20211231,000000,2.02,2.3,1.915,2.15,44256,0
RBOT-WS.US,D,20220103,000000,2.01,2.01,1.85,1.9,20836,0
RBOT-WS.US,D,20220104,000000,1.87,1.87,1.595,1.79,125961,0
RBOT-WS.US,D,20220105,000000,1.75,1.83,1.65,1.73,114128,0
RBOT-WS.US,D,20220106,000000,1.65,1.86,1.58,1.6,30973,0
RBOT-WS.US,D,20220107,000000,1.6,1.6993,1.4499,1.68,214364,0
RBOT-WS.US,D,20220110,000000,1.52,1.603,1.47,1.603,14237,0
RBOT-WS.US,D,20220111,000000,1.535,1.55,1.45,1.48,27519,0
RBOT-WS.US,D,20220112,000000,1.45,1.47,1.23,1.28,109585,0
RBOT-WS.US,D,20220113,000000,1.28,1.28,1.115,1.17,100512,0
RBOT-WS.US,D,20220114,000000,1.1,1.15,1.05,1.1399,221071,0
RBOT-WS.US,D,20220118,000000,1.04,1.11,1,1.04,54566,0
RBOT-WS.US,D,20220119,000000,1.12,1.12,0.97,0.97,83686,0
RBOT-WS.US,D,20220120,000000,1.01,1.03,0.94,0.94,123373,0
RBOT-WS.US,D,20220121,000000,0.9501,0.9501,0.712,0.75,170822,0
