<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCS.US,D,20050225,000000,3.9442,3.9595,3.8886,3.9442,167691,0
RCS.US,D,20050228,000000,3.9372,3.9372,3.8737,3.9183,237299,0
RCS.US,D,20050301,000000,3.8478,3.8815,3.84,3.8591,185689,0
RCS.US,D,20050302,000000,3.8591,3.8591,3.7842,3.8031,331621,0
RCS.US,D,20050303,000000,3.7808,3.84,3.7808,3.7955,231916,0
RCS.US,D,20050304,000000,3.7955,3.8066,3.7583,3.766,299104,0
RCS.US,D,20050307,000000,3.7733,3.7733,3.7395,3.7695,345603,0
RCS.US,D,20050308,000000,3.7695,3.7842,3.7546,3.7842,190526,0
RCS.US,D,20050309,000000,3.7883,3.8066,3.7624,3.7842,179783,0
RCS.US,D,20050310,000000,3.799,3.8031,3.7248,3.7695,262290,0
RCS.US,D,20050311,000000,3.7919,3.8216,3.766,3.7771,139740,0
RCS.US,D,20050314,000000,3.7919,3.8108,3.7505,3.7883,180324,0
RCS.US,D,20050315,000000,3.8142,3.8774,3.8108,3.8255,208809,0
RCS.US,D,20050316,000000,3.8255,3.8624,3.7138,3.7284,180859,0
RCS.US,D,20050317,000000,3.7064,3.7138,3.5388,3.5943,526453,0
RCS.US,D,20050318,000000,3.5794,3.7064,3.5794,3.6804,258521,0
RCS.US,D,20050321,000000,3.6764,3.7842,3.6654,3.6837,262023,0
RCS.US,D,20050322,000000,3.6837,3.7583,3.6428,3.717,127383,0
RCS.US,D,20050323,000000,3.6837,3.7433,3.5874,3.6988,232994,0
RCS.US,D,20050324,000000,3.7284,3.766,3.7098,3.7395,128721,0
RCS.US,D,20050328,000000,3.7546,3.7842,3.5725,3.6248,241859,0
RCS.US,D,20050329,000000,3.5725,3.6506,3.55,3.5874,116891,0
RCS.US,D,20050330,000000,3.5758,3.602,3.5277,3.5987,166079,0
RCS.US,D,20050331,000000,3.5987,3.6691,3.5874,3.6654,97554,0
RCS.US,D,20050401,000000,3.6506,3.7771,3.6506,3.7025,124158,0
RCS.US,D,20050404,000000,3.736,3.7546,3.6357,3.639,140280,0
RCS.US,D,20050405,000000,3.6322,3.6357,3.5534,3.5534,201544,0
RCS.US,D,20050406,000000,3.5534,3.5794,3.5461,3.5534,195903,0
RCS.US,D,20050407,000000,3.5578,3.9666,3.5578,3.6428,533704,0
RCS.US,D,20050408,000000,3.6617,3.6617,3.606,3.6538,71217,0
RCS.US,D,20050411,000000,3.7098,3.7138,3.602,3.6428,155329,0
RCS.US,D,20050412,000000,3.6764,3.736,3.6538,3.736,139478,0
RCS.US,D,20050413,000000,3.7433,3.8737,3.7395,3.7883,187040,0
RCS.US,D,20050414,000000,3.799,3.8108,3.7395,3.7842,85716,0
RCS.US,D,20050415,000000,3.7505,3.7842,3.7098,3.7808,164737,0
RCS.US,D,20050418,000000,3.7433,3.799,3.736,3.7733,172518,0
RCS.US,D,20050419,000000,3.6988,3.7919,3.6988,3.7771,149680,0
RCS.US,D,20050420,000000,3.8549,3.8549,3.7771,3.8255,185162,0
RCS.US,D,20050421,000000,3.8255,3.8514,3.7919,3.84,125500,0
RCS.US,D,20050422,000000,3.8439,3.8478,3.7771,3.8329,160444,0
RCS.US,D,20050425,000000,3.8329,3.8996,3.7733,3.8329,116630,0
RCS.US,D,20050426,000000,3.799,3.8774,3.7919,3.8665,181395,0
RCS.US,D,20050427,000000,3.8737,3.9407,3.8549,3.9034,129800,0
RCS.US,D,20050428,000000,3.8886,3.9522,3.8591,3.9331,110993,0
RCS.US,D,20050429,000000,3.8774,3.9258,3.8108,3.8216,122270,0
RCS.US,D,20050502,000000,3.7624,3.7883,3.7248,3.7883,183810,0
RCS.US,D,20050503,000000,3.7624,3.8255,3.7433,3.7842,80622,0
RCS.US,D,20050504,000000,3.766,3.818,3.7476,3.8066,86263,0
RCS.US,D,20050505,000000,3.8031,3.84,3.7433,3.84,127383,0
RCS.US,D,20050506,000000,3.8665,3.8665,3.7433,3.8031,160700,0
RCS.US,D,20050509,000000,3.7955,3.8216,3.7546,3.8066,123627,0
RCS.US,D,20050510,000000,3.8216,3.8216,3.7583,3.7771,182207,0
RCS.US,D,20050511,000000,3.799,3.818,3.7695,3.8108,88686,0
RCS.US,D,20050512,000000,3.8216,3.8367,3.7624,3.818,104549,0
RCS.US,D,20050513,000000,3.84,3.8439,3.7808,3.8329,84105,0
RCS.US,D,20050516,000000,3.8329,3.8549,3.8066,3.8066,125500,0
RCS.US,D,20050517,000000,3.799,3.8255,3.799,3.8031,109915,0
RCS.US,D,20050518,000000,3.8329,3.8591,3.8108,3.8367,182466,0
RCS.US,D,20050519,000000,3.8624,3.9372,3.8439,3.8847,186779,0
RCS.US,D,20050520,000000,3.8962,3.9442,3.8478,3.9372,157210,0
RCS.US,D,20050523,000000,3.9522,3.978,3.8962,3.9442,172259,0
RCS.US,D,20050524,000000,3.9742,4.0341,3.9442,3.9892,275982,0
RCS.US,D,20050525,000000,4.0002,4.0113,3.8591,3.9703,249127,0
RCS.US,D,20050526,000000,3.978,3.978,3.8815,3.9483,172259,0
RCS.US,D,20050527,000000,3.9627,4.0113,3.9147,3.9742,126574,0
RCS.US,D,20050531,000000,4.1452,4.1452,3.9742,4.0151,355539,0
RCS.US,D,20050601,000000,4.041,4.0486,3.9442,3.9892,241319,0
RCS.US,D,20050602,000000,4.0151,4.0151,3.9892,4.0039,122813,0
RCS.US,D,20050603,000000,4.0075,4.0265,3.9483,4.0002,208809,0
RCS.US,D,20050606,000000,4.0039,4.0265,3.978,4.0265,88415,0
RCS.US,D,20050607,000000,4.041,4.041,4.0039,4.0341,132207,0
