<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDS-B.US,D,20100823,000000,33.59,33.875,33.477,33.619,666494,0
RDS-B.US,D,20100824,000000,32.924,33.108,32.623,32.881,1993310,0
RDS-B.US,D,20100825,000000,32.581,33.162,32.435,33.026,909904,0
RDS-B.US,D,20100826,000000,33.013,33.329,32.813,32.982,983309,0
RDS-B.US,D,20100827,000000,33.426,33.732,32.887,33.707,631820,0
RDS-B.US,D,20100830,000000,33.162,33.405,33.078,33.094,625837,0
RDS-B.US,D,20100831,000000,32.912,33.212,32.77,32.982,1045163,0
RDS-B.US,D,20100901,000000,33.868,34.344,33.783,34.294,1574427,0
RDS-B.US,D,20100902,000000,34.087,34.523,34.055,34.523,1910556,0
RDS-B.US,D,20100903,000000,34.991,35.171,34.829,35.102,550227,0
RDS-B.US,D,20100907,000000,34.633,34.698,34.317,34.47,1039575,0
RDS-B.US,D,20100908,000000,34.871,35.398,34.871,35.148,1954968,0
RDS-B.US,D,20100909,000000,35.305,35.428,34.998,35.127,730008,0
RDS-B.US,D,20100910,000000,35.435,35.629,35.373,35.512,551302,0
RDS-B.US,D,20100913,000000,36.138,36.148,35.836,35.918,1915319,0
RDS-B.US,D,20100914,000000,35.9,36.303,35.748,36.111,1698557,0
RDS-B.US,D,20100915,000000,36.111,36.586,35.981,36.501,1008530,0
RDS-B.US,D,20100916,000000,36.843,36.939,36.701,36.856,1167255,0
RDS-B.US,D,20100917,000000,36.927,37.062,36.359,36.509,696366,0
RDS-B.US,D,20100920,000000,36.907,37.287,36.772,37.184,628192,0
RDS-B.US,D,20100921,000000,37.377,37.557,36.876,37.249,1068432,0
RDS-B.US,D,20100922,000000,37.087,37.37,36.881,36.986,1467254,0
RDS-B.US,D,20100923,000000,36.613,37.249,36.541,36.876,953747,0
RDS-B.US,D,20100924,000000,37.427,37.792,37.384,37.601,1165024,0
RDS-B.US,D,20100927,000000,37.905,37.905,37.549,37.633,755211,0
RDS-B.US,D,20100928,000000,37.615,37.846,37.191,37.781,1057324,0
RDS-B.US,D,20100929,000000,37.544,37.815,37.441,37.627,998154,0
RDS-B.US,D,20100930,000000,38.248,38.436,37.627,37.774,3621220,0
RDS-B.US,D,20101001,000000,38.518,38.797,38.338,38.661,2367260,0
RDS-B.US,D,20101004,000000,38.242,38.399,37.955,38.129,1115734,0
RDS-B.US,D,20101005,000000,38.346,38.886,38.264,38.776,3239772,0
RDS-B.US,D,20101006,000000,39.041,39.22,38.88,38.926,2413131,0
RDS-B.US,D,20101007,000000,39.337,39.344,38.905,39.136,2098379,0
RDS-B.US,D,20101008,000000,38.995,39.233,38.857,39.122,1180813,0
RDS-B.US,D,20101011,000000,39.247,39.395,39.189,39.361,1159182,0
RDS-B.US,D,20101012,000000,38.951,39.374,38.689,39.247,1871297,0
RDS-B.US,D,20101013,000000,39.613,39.823,39.535,39.673,1636140,0
RDS-B.US,D,20101014,000000,39.811,40.018,39.683,39.933,1426113,0
RDS-B.US,D,20101015,000000,40.159,40.165,39.604,39.832,1357785,0
RDS-B.US,D,20101018,000000,39.895,40.317,39.76,40.24,891919,0
RDS-B.US,D,20101019,000000,39.163,39.39,38.741,38.964,1105019,0
RDS-B.US,D,20101020,000000,39.122,39.65,39.105,39.492,793147,0
RDS-B.US,D,20101021,000000,39.567,39.788,38.857,39.048,1804521,0
RDS-B.US,D,20101022,000000,39.47,39.559,39.337,39.485,884678,0
RDS-B.US,D,20101025,000000,39.916,39.992,39.604,39.665,3286957,0
RDS-B.US,D,20101026,000000,39.901,40.223,39.858,40.159,1113234,0
RDS-B.US,D,20101027,000000,39.889,39.973,39.625,39.941,1370727,0
RDS-B.US,D,20101028,000000,40.294,40.583,40.24,40.532,1224334,0
RDS-B.US,D,20101029,000000,41.061,42.293,41,41.327,2660712,0
RDS-B.US,D,20101101,000000,41.555,41.881,41.503,41.703,1369342,0
RDS-B.US,D,20101102,000000,42.606,42.811,42.554,42.805,3139030,0
RDS-B.US,D,20101103,000000,41.836,42.305,41.643,42.305,2877912,0
RDS-B.US,D,20101104,000000,42.907,43.9,42.848,43.27,3893148,0
RDS-B.US,D,20101105,000000,42.842,43.086,42.653,42.848,2106804,0
RDS-B.US,D,20101108,000000,42.048,42.452,41.946,42.381,1780926,0
RDS-B.US,D,20101109,000000,42.273,42.408,41.366,41.509,1972275,0
RDS-B.US,D,20101110,000000,41.726,41.959,41.284,41.959,1257544,0
RDS-B.US,D,20101111,000000,41.657,42.06,41.534,41.983,831009,0
RDS-B.US,D,20101112,000000,41.836,42.132,41.496,41.797,835117,0
RDS-B.US,D,20101115,000000,41.919,41.946,41.583,41.583,1441211,0
RDS-B.US,D,20101116,000000,40.896,40.903,40.261,40.569,3205961,0
RDS-B.US,D,20101117,000000,40.577,41.034,40.557,40.987,2214952,0
RDS-B.US,D,20101118,000000,41.619,41.804,41.546,41.65,1067396,0
RDS-B.US,D,20101119,000000,41.067,41.509,40.764,41.509,689941,0
RDS-B.US,D,20101122,000000,40.538,40.949,40.397,40.924,1572496,0
RDS-B.US,D,20101123,000000,40.018,40.119,39.479,39.701,1846000,0
RDS-B.US,D,20101124,000000,39.966,40.269,39.921,40.24,1134794,0
RDS-B.US,D,20101126,000000,39.356,39.739,39.318,39.586,450882,0
RDS-B.US,D,20101129,000000,38.808,39.254,38.497,39.17,1995066,0
RDS-B.US,D,20101130,000000,38.264,39.08,38.237,38.752,3726324,0
RDS-B.US,D,20101201,000000,39.581,40.024,39.559,39.941,2216643,0
RDS-B.US,D,20101202,000000,39.788,40.686,39.788,40.665,1950057,0
RDS-B.US,D,20101203,000000,40.563,40.909,40.538,40.831,846176,0
RDS-B.US,D,20101206,000000,40.434,40.883,40.393,40.786,4076311,0
RDS-B.US,D,20101207,000000,41.715,41.719,40.97,40.976,1978602,0
RDS-B.US,D,20101208,000000,41.257,41.386,40.883,41.251,1538279,0
RDS-B.US,D,20101209,000000,41.327,41.366,40.817,41.096,804802,0
RDS-B.US,D,20101210,000000,41.314,41.624,41.211,41.583,553319,0
RDS-B.US,D,20101213,000000,41.792,42.213,41.636,41.969,768597,0
RDS-B.US,D,20101214,000000,42.238,42.531,42.098,42.293,842628,0
RDS-B.US,D,20101215,000000,41.775,41.953,41.374,41.573,1061164,0
RDS-B.US,D,20101216,000000,41.546,41.719,41.276,41.65,1262473,0
RDS-B.US,D,20101217,000000,41.519,41.56,41.181,41.392,1559596,0
RDS-B.US,D,20101220,000000,41.703,41.745,41.162,41.605,1661673,0
RDS-B.US,D,20101221,000000,41.925,41.953,41.726,41.811,1366081,0
RDS-B.US,D,20101222,000000,41.849,42.118,41.804,42.083,840820,0
