<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDY.US,D,20050225,000000,7.933,8.1724,7.933,8.1724,104096,0
RDY.US,D,20050228,000000,8.1448,8.1448,8.0525,8.1079,165164,0
RDY.US,D,20050301,000000,8.0896,8.1171,7.9883,8.1079,87579,0
RDY.US,D,20050302,000000,8.0802,8.0802,8.0067,8.0067,198195,0
RDY.US,D,20050303,000000,8.0159,8.062,7.9791,7.9791,68672,0
RDY.US,D,20050304,000000,8.0067,8.0896,7.9144,8.0249,147559,0
RDY.US,D,20050307,000000,8.0343,8.071,7.9144,7.9515,255351,0
RDY.US,D,20050308,000000,8.0067,8.0802,7.9606,7.9606,463978,0
RDY.US,D,20050309,000000,8.1171,8.1632,8.0802,8.1171,173204,0
RDY.US,D,20050310,000000,8.1538,8.1724,8.0986,8.1079,240138,0
RDY.US,D,20050311,000000,8.1171,8.1171,7.8687,7.933,219926,0
RDY.US,D,20050314,000000,7.887,7.9238,7.8502,7.9238,201673,0
RDY.US,D,20050315,000000,7.9698,7.9883,7.8962,7.9055,384873,0
RDY.US,D,20050316,000000,7.8224,7.9698,7.8224,7.933,463326,0
RDY.US,D,20050317,000000,7.9144,7.9238,7.8687,7.8962,255351,0
RDY.US,D,20050318,000000,7.8594,7.8594,7.7029,7.7764,472452,0
RDY.US,D,20050321,000000,7.7674,7.7951,7.7581,7.7764,177550,0
RDY.US,D,20050322,000000,7.8136,7.8136,7.7304,7.7674,322938,0
RDY.US,D,20050323,000000,7.8687,8.0434,7.7674,7.9144,341627,0
RDY.US,D,20050324,000000,7.8777,7.9972,7.8777,7.9606,92794,0
RDY.US,D,20050328,000000,8.0986,8.1171,8.0159,8.0343,586113,0
RDY.US,D,20050329,000000,7.9515,7.9515,7.8319,7.8594,216016,0
RDY.US,D,20050330,000000,7.9055,7.9791,7.9055,7.933,108877,0
RDY.US,D,20050331,000000,7.9238,7.9238,7.841,7.887,182766,0
