<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REML.US,D,20160714,000000,9.3191,9.3191,9.3055,9.3055,3191,0
REML.US,D,20160715,000000,9.2764,9.2939,9.2764,9.2861,13570,0
REML.US,D,20160718,000000,9.3677,9.3677,9.3599,9.3599,2133,0
REML.US,D,20160719,000000,9.4823,9.571,9.4755,9.571,13030,0
REML.US,D,20160720,000000,9.645,9.72,9.641,9.708,10468,0
REML.US,D,20160721,000000,9.659,9.659,9.647,9.647,10113,0
REML.US,D,20160722,000000,9.698,9.751,9.679,9.751,4664,0
REML.US,D,20160725,000000,9.787,9.804,9.722,9.722,3193,0
REML.US,D,20160727,000000,9.716,9.745,9.716,9.742,11170,0
REML.US,D,20160728,000000,9.795,9.889,9.793,9.887,8246,0
REML.US,D,20160729,000000,9.895,9.942,9.847,9.93,25329,0
REML.US,D,20160801,000000,10.009,10.009,10.009,10.009,629,0
REML.US,D,20160802,000000,10.034,10.034,10.034,10.034,2660,0
REML.US,D,20160803,000000,10.034,10.034,10.034,10.034,542,0
REML.US,D,20160804,000000,10.035,10.035,9.928,9.945,21813,0
REML.US,D,20160805,000000,10.337,10.359,10.267,10.341,2704,0
REML.US,D,20160808,000000,10.531,10.531,10.323,10.323,3059,0
REML.US,D,20160809,000000,10.341,10.341,10.341,10.341,267,0
REML.US,D,20160816,000000,10.143,10.143,10.143,10.143,2652,0
REML.US,D,20160818,000000,10.192,10.192,10.192,10.192,1324,0
REML.US,D,20160822,000000,10.133,10.133,10.133,10.133,2256,0
REML.US,D,20160823,000000,10.221,10.232,10.221,10.232,799,0
REML.US,D,20160829,000000,10.142,10.145,10.142,10.142,15912,0
REML.US,D,20160831,000000,10.083,10.083,10.083,10.083,1324,0
REML.US,D,20160907,000000,10.584,10.584,10.58,10.58,4953,0
REML.US,D,20160908,000000,10.559,10.559,10.559,10.559,384,0
REML.US,D,20160909,000000,10.37,10.37,9.804,9.804,5072,0
REML.US,D,20160912,000000,10.145,10.145,9.715,9.715,537,0
REML.US,D,20160913,000000,9.895,9.907,9.724,9.724,26703,0
REML.US,D,20160915,000000,9.821,9.821,9.821,9.821,9989,0
REML.US,D,20160916,000000,9.84,9.886,9.804,9.806,3013,0
REML.US,D,20160921,000000,10.166,10.166,10.166,10.166,537,0
REML.US,D,20160922,000000,10.395,10.395,10.373,10.373,4526,0
REML.US,D,20160928,000000,10.222,10.222,10.222,10.222,1060,0
REML.US,D,20161003,000000,10.224,10.224,10.064,10.064,5173,0
REML.US,D,20161004,000000,9.696,9.696,9.636,9.636,2119,0
REML.US,D,20161005,000000,9.681,9.681,9.681,9.681,466,0
REML.US,D,20161006,000000,9.3628,9.3628,9.3434,9.3434,758,0
REML.US,D,20161007,000000,9.3832,9.46,9.3308,9.46,20958,0
REML.US,D,20161010,000000,9.593,9.623,9.59,9.59,14688,0
REML.US,D,20161011,000000,9.96,9.96,9.4998,9.4998,19673,0
REML.US,D,20161012,000000,9.534,9.668,9.504,9.668,4083,0
REML.US,D,20161013,000000,9.699,9.935,9.699,9.935,4295,0
REML.US,D,20161014,000000,9.768,9.768,9.768,9.768,377,0
REML.US,D,20161017,000000,9.786,9.786,9.74,9.752,6256,0
REML.US,D,20161018,000000,9.721,9.953,9.721,9.91,3749,0
REML.US,D,20161019,000000,9.905,9.913,9.905,9.913,8482,0
REML.US,D,20161024,000000,10.012,10.191,10.012,10.175,10356,0
REML.US,D,20161025,000000,10.175,10.43,10.171,10.43,21514,0
REML.US,D,20161026,000000,10.413,10.413,10.413,10.413,654,0
REML.US,D,20161028,000000,10.123,10.123,10.111,10.111,579,0
REML.US,D,20161101,000000,10.114,10.114,9.917,9.974,821,0
REML.US,D,20161102,000000,9.908,9.908,9.908,9.908,377,0
REML.US,D,20161104,000000,10.221,10.221,10.221,10.221,1263,0
REML.US,D,20161107,000000,10.352,10.352,10.352,10.352,251,0
REML.US,D,20161108,000000,10.345,10.411,10.345,10.41,8175,0
REML.US,D,20161110,000000,10.009,10.009,10.009,10.009,505,0
REML.US,D,20161111,000000,10.195,10.195,10.195,10.195,302,0
REML.US,D,20161114,000000,10.084,10.084,9.882,9.942,21330,0
REML.US,D,20161115,000000,9.954,10.072,9.887,10.072,17389,0
REML.US,D,20161117,000000,10.165,10.222,10.165,10.222,1272,0
REML.US,D,20161121,000000,10.47,10.498,10.47,10.498,937,0
REML.US,D,20161122,000000,10.564,10.647,10.564,10.647,1578,0
REML.US,D,20161128,000000,10.634,10.634,10.634,10.634,1257,0
REML.US,D,20161129,000000,10.62,10.771,10.62,10.771,8033,0
REML.US,D,20161130,000000,10.768,10.768,10.768,10.768,505,0
REML.US,D,20161201,000000,10.281,10.324,10.219,10.219,6030,0
REML.US,D,20161202,000000,10.351,10.351,10.351,10.351,250,0
REML.US,D,20161206,000000,10.697,10.697,10.697,10.697,250,0
REML.US,D,20161208,000000,11.069,11.069,11.069,11.069,928,0
REML.US,D,20161209,000000,11.133,11.133,11.117,11.117,602,0
REML.US,D,20161212,000000,11.042,11.042,11.023,11.032,923,0
REML.US,D,20161214,000000,10.604,10.604,10.546,10.546,755,0
REML.US,D,20161215,000000,10.16,10.16,10.031,10.031,1523,0
REML.US,D,20161216,000000,10.397,10.397,10.397,10.397,509,0
REML.US,D,20161219,000000,10.569,10.61,10.569,10.61,1505,0
REML.US,D,20161221,000000,10.76,10.774,10.76,10.774,1036,0
REML.US,D,20161222,000000,10.7,10.7,10.7,10.7,503,0
REML.US,D,20161223,000000,10.7,10.7,10.7,10.7,503,0
REML.US,D,20170103,000000,10.992,10.992,10.992,10.992,250,0
REML.US,D,20170104,000000,11.232,11.264,11.232,11.264,11533,0
REML.US,D,20170105,000000,11.231,11.358,11.231,11.347,3627,0
REML.US,D,20170106,000000,11.285,11.336,11.285,11.336,2768,0
REML.US,D,20170109,000000,11.274,11.274,11.212,11.226,1764,0
REML.US,D,20170110,000000,11.114,11.335,11.114,11.282,4073,0
REML.US,D,20170111,000000,11.313,11.412,11.155,11.412,2659,0
REML.US,D,20170112,000000,11.397,11.397,11.229,11.274,1836,0
REML.US,D,20170117,000000,11.269,11.338,11.269,11.318,3169,0
REML.US,D,20170119,000000,11.073,11.106,11.067,11.106,10495,0
REML.US,D,20170125,000000,11.28,11.334,11.28,11.334,3287,0
REML.US,D,20170131,000000,10.855,10.855,10.775,10.834,3771,0
REML.US,D,20170202,000000,11.269,11.269,11.269,11.269,2432,0
REML.US,D,20170203,000000,11.253,11.293,11.253,11.293,2319,0
REML.US,D,20170207,000000,11.554,11.554,11.554,11.554,1434,0
REML.US,D,20170208,000000,11.434,11.434,11.434,11.434,1607,0
REML.US,D,20170210,000000,11.616,11.616,11.616,11.616,815,0
REML.US,D,20170213,000000,11.731,11.731,11.731,11.731,481,0
REML.US,D,20170215,000000,11.612,11.612,11.612,11.612,717,0
REML.US,D,20170216,000000,11.859,11.859,11.85,11.85,3169,0
REML.US,D,20170221,000000,11.887,12.019,11.887,12.019,1523,0
REML.US,D,20170224,000000,12.078,12.078,12.078,12.078,417,0
REML.US,D,20170227,000000,12.056,12.164,12.056,12.164,7887,0
REML.US,D,20170228,000000,12.14,12.182,12.14,12.182,1482,0
REML.US,D,20170301,000000,12.206,12.206,12.199,12.199,3510,0
REML.US,D,20170302,000000,12.131,12.185,12.131,12.15,3621,0
REML.US,D,20170306,000000,12.111,12.122,12.045,12.122,10442,0
REML.US,D,20170307,000000,12.14,12.14,12.14,12.14,740,0
REML.US,D,20170308,000000,11.722,11.804,11.722,11.804,1526,0
REML.US,D,20170309,000000,11.853,11.888,11.546,11.55,4151,0
REML.US,D,20170313,000000,11.886,11.886,11.886,11.886,505,0
REML.US,D,20170315,000000,11.726,12.107,11.726,12.107,758,0
REML.US,D,20170320,000000,12.107,12.107,12.107,12.107,0,0
REML.US,D,20170322,000000,12.339,12.339,12.339,12.339,472,0
REML.US,D,20170327,000000,12.421,12.421,12.421,12.421,1195,0
REML.US,D,20170404,000000,13.084,13.138,13.043,13.064,1967,0
REML.US,D,20170405,000000,13.517,13.517,13.05,13.05,18006,0
REML.US,D,20170406,000000,12.917,13.06,12.917,13.06,7480,0
REML.US,D,20170410,000000,13.242,13.245,13.157,13.245,7564,0
REML.US,D,20170411,000000,13.522,13.522,13.283,13.398,3081,0
REML.US,D,20170412,000000,13.14,13.448,12.655,13.439,5008,0
REML.US,D,20170413,000000,13.53,13.551,13.506,13.506,1217,0
REML.US,D,20170417,000000,13.359,13.522,13.359,13.506,11969,0
REML.US,D,20170419,000000,13.682,13.73,13.682,13.73,1058,0
REML.US,D,20170420,000000,13.801,13.812,13.337,13.39,10199,0
REML.US,D,20170421,000000,13.506,13.637,13.506,13.626,2302,0
REML.US,D,20170424,000000,13.332,13.5,13.332,13.5,734,0
REML.US,D,20170425,000000,13.66,13.73,13.556,13.698,7792,0
REML.US,D,20170426,000000,13.886,14.027,13.886,14.027,2972,0
REML.US,D,20170427,000000,14.186,14.186,14.186,14.186,233,0
REML.US,D,20170428,000000,14.076,14.076,14.076,14.076,418,0
REML.US,D,20170501,000000,13.934,14.008,13.934,14.008,4295,0
REML.US,D,20170502,000000,13.953,13.953,13.525,13.525,23874,0
REML.US,D,20170503,000000,13.556,13.565,13.267,13.267,14353,0
REML.US,D,20170504,000000,13.262,13.262,12.911,13.189,6745,0
REML.US,D,20170505,000000,13.259,13.287,13.246,13.284,10258,0
REML.US,D,20170508,000000,13.256,13.256,13.119,13.119,4177,0
REML.US,D,20170509,000000,13.123,13.123,12.618,12.618,9041,0
REML.US,D,20170510,000000,12.76,12.76,12.76,12.76,651,0
REML.US,D,20170511,000000,12.716,12.742,12.673,12.742,2942,0
REML.US,D,20170512,000000,12.746,12.774,12.716,12.716,2994,0
REML.US,D,20170517,000000,12.716,12.794,12.716,12.794,1831,0
REML.US,D,20170518,000000,12.842,12.842,12.842,12.842,230,0
REML.US,D,20170519,000000,12.842,12.942,12.806,12.878,10745,0
REML.US,D,20170522,000000,13,13.114,12.976,13.11,5476,0
REML.US,D,20170523,000000,13.319,13.319,13.319,13.319,347,0
REML.US,D,20170524,000000,13.418,13.502,13.395,13.502,3681,0
REML.US,D,20170525,000000,13.61,13.611,13.49,13.511,3535,0
REML.US,D,20170526,000000,13.398,13.57,13.398,13.57,2679,0
REML.US,D,20170530,000000,13.557,13.57,13.308,13.371,12580,0
REML.US,D,20170531,000000,13.371,13.371,13.371,13.371,702,0
REML.US,D,20170601,000000,13.631,13.68,13.631,13.68,752,0
REML.US,D,20170602,000000,13.79,13.79,13.79,13.79,11692,0
REML.US,D,20170605,000000,13.869,13.869,13.537,13.537,6932,0
REML.US,D,20170606,000000,13.371,13.529,13.371,13.527,11315,0
REML.US,D,20170607,000000,13.371,13.433,13.371,13.426,2346,0
REML.US,D,20170608,000000,13.588,13.592,13.572,13.592,4631,0
REML.US,D,20170609,000000,13.872,13.876,13.872,13.876,1117,0
REML.US,D,20170612,000000,13.934,13.999,13.934,13.994,5196,0
REML.US,D,20170613,000000,14.39,14.39,13.964,13.964,2619,0
REML.US,D,20170614,000000,14.061,14.186,14.061,14.171,3320,0
REML.US,D,20170615,000000,14.171,14.371,14.135,14.355,6156,0
REML.US,D,20170616,000000,14.355,14.355,14.355,14.355,783,0
REML.US,D,20170619,000000,14.581,14.614,14.581,14.614,2357,0
REML.US,D,20170620,000000,14.577,14.577,14.363,14.397,8829,0
REML.US,D,20170621,000000,14.577,14.577,14.302,14.316,6742,0
REML.US,D,20170622,000000,14.467,14.467,14.467,14.467,1031,0
REML.US,D,20170626,000000,14.557,14.732,14.557,14.686,2475,0
REML.US,D,20170627,000000,14.68,14.68,14.461,14.467,14451,0
REML.US,D,20170628,000000,14.159,14.43,14.071,14.336,13666,0
REML.US,D,20170629,000000,14.071,14.172,13.987,14.009,45716,0
REML.US,D,20170630,000000,14.294,14.294,14.05,14.126,17349,0
REML.US,D,20170703,000000,14.126,14.442,14.126,14.39,8261,0
REML.US,D,20170705,000000,14.6,14.604,14.345,14.41,19939,0
REML.US,D,20170706,000000,14.33,14.33,14.135,14.199,20410,0
REML.US,D,20170707,000000,14.608,14.608,13.901,13.986,63499,0
REML.US,D,20170710,000000,14.202,14.202,14.003,14.075,9720,0
REML.US,D,20170711,000000,13.981,14.181,13.981,14.129,6696,0
REML.US,D,20170712,000000,14.219,14.343,14.155,14.185,31522,0
REML.US,D,20170713,000000,14.053,14.185,13.85,13.916,8851,0
REML.US,D,20170714,000000,14.236,14.236,14.077,14.186,15625,0
REML.US,D,20170717,000000,14.214,14.267,14.036,14.036,25445,0
REML.US,D,20170718,000000,13.712,13.775,13.608,13.63,9417,0
REML.US,D,20170719,000000,13.598,13.806,13.598,13.767,4766,0
REML.US,D,20170720,000000,13.827,13.827,13.827,13.827,377,0
REML.US,D,20170721,000000,13.949,14.082,13.949,14.054,11274,0
REML.US,D,20170724,000000,14.126,14.126,13.989,13.989,19089,0
REML.US,D,20170725,000000,14.051,14.051,13.77,13.798,14063,0
REML.US,D,20170726,000000,13.894,13.927,13.848,13.874,10971,0
REML.US,D,20170727,000000,13.848,13.905,13.755,13.816,19591,0
REML.US,D,20170728,000000,13.816,13.864,13.804,13.864,4796,0
REML.US,D,20170731,000000,14.051,14.051,13.943,14.023,9587,0
REML.US,D,20170801,000000,14.306,14.306,14.136,14.236,6902,0
REML.US,D,20170802,000000,14.248,14.248,14.14,14.183,18711,0
REML.US,D,20170803,000000,14.126,14.31,14.126,14.23,6377,0
REML.US,D,20170804,000000,13.944,14.088,13.944,14.07,6497,0
REML.US,D,20170807,000000,14.053,14.201,14.027,14.167,6294,0
REML.US,D,20170808,000000,14.209,14.29,14.209,14.29,6101,0
REML.US,D,20170809,000000,14.253,14.523,14.253,14.523,14335,0
REML.US,D,20170810,000000,14.386,14.41,14.235,14.235,15021,0
REML.US,D,20170811,000000,14.282,14.282,14.051,14.212,20809,0
REML.US,D,20170814,000000,14.383,14.556,14.383,14.516,4249,0
REML.US,D,20170815,000000,14.371,14.418,14.371,14.418,1137,0
REML.US,D,20170816,000000,14.439,14.487,14.409,14.474,19915,0
REML.US,D,20170817,000000,14.465,14.471,14.327,14.327,14726,0
