<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFMZ.US,D,20210225,000000,19.252,19.262,19.242,19.262,175678,0
RFMZ.US,D,20210226,000000,19.242,19.521,19.242,19.521,56590,0
RFMZ.US,D,20210301,000000,19.436,19.636,19.367,19.579,57064,0
RFMZ.US,D,20210302,000000,19.531,19.531,19.3,19.493,54997,0
RFMZ.US,D,20210303,000000,19.493,19.493,19.252,19.291,29176,0
RFMZ.US,D,20210304,000000,19.262,19.338,19.242,19.271,24570,0
RFMZ.US,D,20210305,000000,19.291,19.338,19.242,19.271,38776,0
RFMZ.US,D,20210308,000000,19.271,19.348,19.262,19.262,31996,0
RFMZ.US,D,20210309,000000,19.31,19.367,19.252,19.262,11954,0
RFMZ.US,D,20210310,000000,19.262,19.262,19.242,19.242,18104,0
RFMZ.US,D,20210311,000000,19.252,19.252,19.242,19.251,36635,0
RFMZ.US,D,20210312,000000,19.242,19.252,19.242,19.242,6874,0
RFMZ.US,D,20210315,000000,19.242,19.28,19.242,19.242,4251,0
RFMZ.US,D,20210316,000000,19.242,19.252,19.242,19.252,26918,0
RFMZ.US,D,20210317,000000,19.281,19.281,19.242,19.242,27207,0
RFMZ.US,D,20210318,000000,19.242,19.252,19.242,19.242,130634,0
RFMZ.US,D,20210319,000000,19.242,19.252,19.242,19.242,10442,0
RFMZ.US,D,20210322,000000,19.242,19.252,19.242,19.252,11849,0
RFMZ.US,D,20210323,000000,19.242,19.252,19.242,19.242,75829,0
RFMZ.US,D,20210324,000000,19.242,19.252,19.242,19.242,20688,0
RFMZ.US,D,20210325,000000,19.242,19.252,19.242,19.252,7206,0
RFMZ.US,D,20210326,000000,19.242,19.252,19.242,19.243,10569,0
RFMZ.US,D,20210329,000000,19.242,19.252,19.242,19.247,9828,0
RFMZ.US,D,20210330,000000,19.242,19.252,19.242,19.252,11446,0
RFMZ.US,D,20210331,000000,19.252,19.278,19.252,19.271,6778,0
RFMZ.US,D,20210401,000000,19.252,19.451,19.252,19.352,8851,0
RFMZ.US,D,20210405,000000,19.387,19.415,19.271,19.291,28535,0
RFMZ.US,D,20210406,000000,19.281,19.367,19.242,19.243,106258,0
RFMZ.US,D,20210407,000000,19.242,19.291,19.242,19.271,39056,0
RFMZ.US,D,20210408,000000,19.281,19.31,19.242,19.281,33508,0
RFMZ.US,D,20210409,000000,19.252,19.27,19.242,19.242,24276,0
RFMZ.US,D,20210412,000000,19.247,19.262,19.165,19.262,27309,0
RFMZ.US,D,20210413,000000,19.291,19.291,19.242,19.242,23101,0
