<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGT.US,D,20131022,000000,6.5221,6.5221,6.5221,6.5221,88483,0
RGT.US,D,20131023,000000,6.5584,6.6309,6.4352,6.4787,65269,0
RGT.US,D,20131024,000000,6.5004,6.5366,6.3265,6.341,68921,0
RGT.US,D,20131025,000000,6.3917,6.4497,6.3121,6.4135,59507,0
RGT.US,D,20131028,000000,6.4279,6.486,6.3483,6.3483,56723,0
RGT.US,D,20131029,000000,6.341,6.399,6.3192,6.3265,128221,0
RGT.US,D,20131030,000000,6.3121,6.4135,6.3047,6.3047,101397,0
RGT.US,D,20131031,000000,6.3047,6.341,6.1744,6.2758,79551,0
RGT.US,D,20131101,000000,6.2178,6.2758,6.0294,6.1309,114395,0
RGT.US,D,20131104,000000,6.0947,6.2178,6.0947,6.1961,109270,0
RGT.US,D,20131105,000000,6.2251,6.9351,6.167,6.1888,85330,0
RGT.US,D,20131106,000000,6.167,6.2758,6.167,6.1961,45367,0
RGT.US,D,20131107,000000,6.1525,6.2758,6.1525,6.1599,78748,0
RGT.US,D,20131108,000000,6.1092,6.2324,6.1092,6.167,82490,0
RGT.US,D,20131111,000000,6.1309,6.2686,6.0729,6.1961,61089,0
RGT.US,D,20131112,000000,6.1599,6.1888,6.0947,6.1236,62956,0
RGT.US,D,20131113,000000,6.1455,6.1599,6.0801,6.1236,102904,0
RGT.US,D,20131114,000000,6.1019,6.1888,6.1019,6.1236,90107,0
RGT.US,D,20131115,000000,6.1381,6.1961,6.1236,6.1817,89957,0
RGT.US,D,20131118,000000,6.167,6.2178,6.1381,6.2106,85824,0
RGT.US,D,20131119,000000,6.1236,6.2975,6.0874,6.2614,123484,0
RGT.US,D,20131120,000000,6.2033,6.2686,6.1455,6.2324,58103,0
RGT.US,D,20131121,000000,6.2106,6.3627,6.1817,6.2831,111545,0
RGT.US,D,20131122,000000,6.1961,6.2903,6.1961,6.2539,71487,0
RGT.US,D,20131125,000000,6.2469,6.341,6.2251,6.2758,118899,0
RGT.US,D,20131126,000000,6.4352,6.4497,6.2395,6.3192,118362,0
RGT.US,D,20131127,000000,6.2686,6.4279,6.2469,6.3192,45656,0
RGT.US,D,20131129,000000,6.2758,6.3627,6.2758,6.3265,19425,0
RGT.US,D,20131202,000000,6.3265,6.3483,6.3047,6.3047,64968,0
RGT.US,D,20131203,000000,6.3047,6.3192,6.2178,6.2324,61484,0
RGT.US,D,20131204,000000,6.2178,6.3265,6.1961,6.2178,28426,0
RGT.US,D,20131205,000000,6.2106,6.7251,6.2106,6.2614,143928,0
RGT.US,D,20131206,000000,6.3047,6.3917,6.2324,6.2686,86925,0
RGT.US,D,20131209,000000,6.2324,6.3047,6.2324,6.2539,112599,0
RGT.US,D,20131210,000000,6.2469,6.2831,6.2178,6.2395,101750,0
RGT.US,D,20131211,000000,6.2251,6.2758,6.2178,6.2324,127228,0
RGT.US,D,20131212,000000,6.2395,6.2539,6.2106,6.2324,57924,0
RGT.US,D,20131213,000000,6.2178,6.2758,6.2106,6.2324,144532,0
RGT.US,D,20131216,000000,6.2251,6.2831,6.1744,6.2324,101797,0
RGT.US,D,20131217,000000,6.1744,6.2539,6.1744,6.1888,168091,0
RGT.US,D,20131218,000000,6.1888,6.2758,6.1888,6.2324,107742,0
RGT.US,D,20131219,000000,6.1961,6.3121,6.1961,6.2395,186099,0
RGT.US,D,20131220,000000,6.1961,6.2831,6.1961,6.2539,63658,0
RGT.US,D,20131223,000000,6.2539,6.3265,6.2539,6.2903,152468,0
RGT.US,D,20131224,000000,6.2758,6.37,6.2686,6.2975,47654,0
RGT.US,D,20131226,000000,6.37,6.37,6.2903,6.3047,40969,0
RGT.US,D,20131227,000000,6.3192,6.37,6.3047,6.37,98028,0
RGT.US,D,20131230,000000,6.3483,6.3917,6.3121,6.3845,57437,0
RGT.US,D,20131231,000000,6.3627,6.4425,6.3627,6.4425,67985,0
RGT.US,D,20140102,000000,6.3772,6.4352,6.341,6.37,143129,0
RGT.US,D,20140103,000000,6.3483,6.4641,6.3483,6.3845,51229,0
RGT.US,D,20140106,000000,6.3772,6.4135,6.341,6.3772,67912,0
RGT.US,D,20140107,000000,6.3192,6.4352,6.3121,6.3845,57972,0
RGT.US,D,20140108,000000,6.4352,6.4352,6.3772,6.3772,51276,0
RGT.US,D,20140109,000000,6.3627,6.4062,6.3047,6.3047,114001,0
RGT.US,D,20140110,000000,6.3192,6.3845,6.2903,6.341,78269,0
RGT.US,D,20140113,000000,6.3337,6.4062,6.3337,6.3627,78885,0
RGT.US,D,20140114,000000,6.3483,6.4135,6.3483,6.3845,98241,0
RGT.US,D,20140115,000000,6.3845,6.4497,6.37,6.4207,87627,0
RGT.US,D,20140116,000000,6.4062,6.5149,6.4062,6.4279,76488,0
RGT.US,D,20140117,000000,6.399,6.4641,6.3555,6.3845,103706,0
RGT.US,D,20140121,000000,6.3917,6.4932,6.3845,6.4641,93207,0
RGT.US,D,20140122,000000,6.4569,6.5512,6.4135,6.5077,77636,0
RGT.US,D,20140123,000000,6.4352,6.486,6.3845,6.4352,88168,0
RGT.US,D,20140124,000000,6.4497,6.4497,6.3772,6.3917,127498,0
RGT.US,D,20140127,000000,6.4135,6.4135,6.2975,6.3265,96534,0
RGT.US,D,20140128,000000,6.3483,6.4135,6.3483,6.3917,118029,0
RGT.US,D,20140129,000000,6.341,6.3772,6.2686,6.2686,81254,0
RGT.US,D,20140130,000000,6.2831,6.3845,6.2831,6.3483,65378,0
RGT.US,D,20140131,000000,6.341,6.341,6.2758,6.2975,108714,0
RGT.US,D,20140203,000000,6.3047,6.3121,6.0005,6.0366,137306,0
RGT.US,D,20140204,000000,6.0511,6.1163,5.9062,6.0366,111085,0
RGT.US,D,20140205,000000,6.0005,6.1163,6.0005,6.0656,75415,0
RGT.US,D,20140206,000000,6.0294,6.1019,6.0221,6.0801,65237,0
RGT.US,D,20140207,000000,6.0511,6.1455,6.0511,6.1455,51200,0
RGT.US,D,20140210,000000,6.1455,6.1817,6.0294,6.167,82131,0
RGT.US,D,20140211,000000,6.1309,6.2539,6.1092,6.1599,109021,0
RGT.US,D,20140212,000000,6.1599,6.1961,6.1599,6.1599,47192,0
RGT.US,D,20140213,000000,6.1309,6.2033,6.0511,6.1744,77439,0
RGT.US,D,20140214,000000,6.1744,6.2324,6.1599,6.1817,74985,0
RGT.US,D,20140218,000000,6.2033,6.2686,6.2033,6.2395,44362,0
RGT.US,D,20140219,000000,6.2033,6.3121,6.2033,6.2686,68942,0
RGT.US,D,20140220,000000,6.2395,6.37,6.2395,6.2903,59770,0
RGT.US,D,20140221,000000,6.3265,6.341,6.2324,6.2539,78303,0
RGT.US,D,20140224,000000,6.2539,6.3192,6.2469,6.2614,66977,0
RGT.US,D,20140225,000000,6.2758,6.3047,6.2614,6.2758,29075,0
RGT.US,D,20140226,000000,6.2758,6.3047,6.2539,6.2903,55013,0
RGT.US,D,20140227,000000,6.2539,6.3483,6.2324,6.3047,46233,0
RGT.US,D,20140228,000000,6.2831,6.341,6.2539,6.3047,46015,0
RGT.US,D,20140303,000000,6.2469,6.2975,6.2469,6.2758,34105,0
RGT.US,D,20140304,000000,6.2903,6.3627,6.2903,6.3265,54914,0
