<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMD.US,D,20050225,000000,12.617,12.764,12.617,12.736,854623,0
RMD.US,D,20050228,000000,12.694,12.755,12.676,12.694,1039014,0
RMD.US,D,20050301,000000,12.694,12.755,12.685,12.685,2379009,0
RMD.US,D,20050302,000000,12.736,12.859,12.659,12.702,817464,0
RMD.US,D,20050303,000000,12.817,13.031,12.668,12.685,1006501,0
RMD.US,D,20050304,000000,12.702,12.772,12.668,12.694,927545,0
RMD.US,D,20050307,000000,12.487,12.625,12.382,12.572,1498842,0
RMD.US,D,20050308,000000,12.546,12.546,12.348,12.401,1076177,0
RMD.US,D,20050309,000000,12.374,12.374,12.082,12.143,2017190,0
RMD.US,D,20050310,000000,12.161,12.222,11.867,11.955,2019510,0
RMD.US,D,20050311,000000,12.032,12.116,11.99,12.055,1784488,0
RMD.US,D,20050314,000000,12.055,12.322,12.032,12.237,1571299,0
RMD.US,D,20050315,000000,12.322,12.358,12.272,12.322,979102,0
RMD.US,D,20050316,000000,12.297,12.366,12.263,12.297,872272,0
RMD.US,D,20050317,000000,12.348,12.358,12.213,12.231,527172,0
RMD.US,D,20050318,000000,12.231,12.332,12.231,12.322,679521,0
RMD.US,D,20050321,000000,12.322,12.322,12.116,12.177,327914,0
RMD.US,D,20050322,000000,12.186,12.287,12.152,12.177,539246,0
RMD.US,D,20050323,000000,12.007,12.091,11.955,11.982,520206,0
RMD.US,D,20050324,000000,12.023,12.314,12.023,12.263,762660,0
RMD.US,D,20050328,000000,12.263,12.437,12.263,12.297,631214,0
RMD.US,D,20050329,000000,12.287,12.401,12.186,12.213,544357,0
RMD.US,D,20050330,000000,12.055,12.161,12.015,12.143,631676,0
RMD.US,D,20050331,000000,12.107,12.231,12.064,12.143,684162,0
RMD.US,D,20050401,000000,12.186,12.272,12.091,12.116,390155,0
RMD.US,D,20050404,000000,12.055,12.246,12.023,12.195,525779,0
RMD.US,D,20050405,000000,12.382,12.401,12.255,12.366,496986,0
RMD.US,D,20050406,000000,12.366,12.505,12.366,12.464,621926,0
RMD.US,D,20050407,000000,12.464,13.175,12.464,13.098,2415238,0
RMD.US,D,20050408,000000,12.943,13.013,12.764,12.995,1490946,0
RMD.US,D,20050411,000000,12.843,13.175,12.843,13.107,953557,0
RMD.US,D,20050412,000000,13.107,13.22,13.047,13.175,966558,0
RMD.US,D,20050413,000000,13.184,13.269,13.134,13.22,1035301,0
RMD.US,D,20050414,000000,13.159,13.175,13.031,13.107,1043196,0
RMD.US,D,20050415,000000,12.961,13.031,12.859,12.925,913611,0
RMD.US,D,20050418,000000,12.736,12.899,12.71,12.876,1228060,0
RMD.US,D,20050419,000000,12.834,13.107,12.817,13.071,1373899,0
RMD.US,D,20050420,000000,13.071,13.307,13.047,13.167,1020900,0
RMD.US,D,20050421,000000,13.167,13.279,13.089,13.244,1466791,0
RMD.US,D,20050422,000000,13.081,13.262,13.071,13.192,632141,0
RMD.US,D,20050425,000000,13.089,13.433,13.089,13.384,1002788,0
RMD.US,D,20050426,000000,13.253,13.367,13.134,13.315,680915,0
RMD.US,D,20050427,000000,13.184,13.459,13.184,13.392,564333,0
RMD.US,D,20050428,000000,13.253,13.417,13.253,13.392,488623,0
RMD.US,D,20050429,000000,13.392,13.392,13.159,13.376,725501,0
RMD.US,D,20050502,000000,13.409,13.557,13.384,13.433,1010219,0
RMD.US,D,20050503,000000,13.324,13.384,13.201,13.341,1416163,0
RMD.US,D,20050504,000000,13.367,13.565,13.269,13.53,1066883,0
RMD.US,D,20050505,000000,13.53,13.684,13.442,13.565,1558293,0
RMD.US,D,20050506,000000,13.297,13.693,12.995,13.575,3492340,0
RMD.US,D,20050509,000000,13.625,13.907,13.625,13.684,1006971,0
RMD.US,D,20050510,000000,13.485,13.565,13.384,13.548,878773,0
RMD.US,D,20050511,000000,13.539,13.616,13.433,13.616,2174644,0
RMD.US,D,20050512,000000,13.608,13.608,13.477,13.548,1371109,0
RMD.US,D,20050513,000000,13.494,13.494,13.315,13.367,633535,0
RMD.US,D,20050516,000000,13.262,13.425,13.227,13.425,974450,0
