<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMI.US,D,20181029,000000,17.343,17.383,17.343,17.343,34424,0
RMI.US,D,20181030,000000,17.328,17.343,17.3,17.343,3460,0
RMI.US,D,20181031,000000,17.353,17.412,17.347,17.412,9749,0
RMI.US,D,20181101,000000,17.412,17.428,17.398,17.428,9712,0
RMI.US,D,20181102,000000,17.613,17.687,17.343,17.419,61027,0
RMI.US,D,20181105,000000,17.419,17.766,17.419,17.766,25315,0
RMI.US,D,20181106,000000,17.776,18.123,17.776,17.939,28661,0
RMI.US,D,20181107,000000,17.949,18.021,17.821,17.821,6805,0
RMI.US,D,20181108,000000,17.856,17.904,17.821,17.859,6100,0
RMI.US,D,20181109,000000,17.992,18.47,17.992,18.424,8965,0
RMI.US,D,20181112,000000,18.102,18.341,17.992,18.164,19048,0
RMI.US,D,20181113,000000,18.19,18.253,18.177,18.246,13749,0
RMI.US,D,20181114,000000,18.253,18.253,17.94,18.074,11043,0
RMI.US,D,20181115,000000,18.07,18.07,17.597,17.597,6262,0
RMI.US,D,20181116,000000,17.428,17.428,17.343,17.343,20973,0
RMI.US,D,20181119,000000,17.369,17.38,17.369,17.38,1458,0
RMI.US,D,20181120,000000,17.766,17.862,17.376,17.766,15582,0
RMI.US,D,20181121,000000,17.732,17.732,17.732,17.732,468,0
RMI.US,D,20181123,000000,17.732,17.732,17.732,17.732,100,0
RMI.US,D,20181126,000000,17.343,17.438,17.328,17.343,87140,0
RMI.US,D,20181127,000000,17.343,17.383,17.343,17.383,4384,0
RMI.US,D,20181128,000000,17.388,17.559,17.388,17.551,14809,0
RMI.US,D,20181129,000000,17.551,17.634,17.47,17.634,3745,0
RMI.US,D,20181130,000000,17.643,17.643,17.428,17.517,17803,0
RMI.US,D,20181203,000000,17.517,17.687,17.517,17.641,8941,0
RMI.US,D,20181204,000000,17.687,17.722,17.559,17.559,1544,0
RMI.US,D,20181206,000000,17.383,17.559,17.383,17.533,2708,0
RMI.US,D,20181207,000000,17.483,17.558,17.47,17.47,4799,0
RMI.US,D,20181210,000000,17.613,17.821,17.604,17.732,5185,0
RMI.US,D,20181211,000000,17.766,17.766,17.723,17.723,5627,0
RMI.US,D,20181212,000000,18.031,18.031,17.757,17.766,19688,0
RMI.US,D,20181213,000000,17.804,17.897,17.677,17.718,26989,0
RMI.US,D,20181214,000000,17.693,17.722,17.598,17.598,13031,0
RMI.US,D,20181217,000000,17.629,17.629,17.418,17.549,11885,0
RMI.US,D,20181218,000000,17.634,17.634,17.342,17.447,23826,0
RMI.US,D,20181219,000000,17.401,17.418,17.307,17.418,50503,0
RMI.US,D,20181220,000000,17.418,17.634,17.321,17.634,6780,0
RMI.US,D,20181221,000000,17.634,17.634,17.506,17.544,2441,0
RMI.US,D,20181224,000000,17.516,17.596,17.461,17.596,3736,0
RMI.US,D,20181226,000000,17.584,17.596,17.574,17.596,7302,0
RMI.US,D,20181227,000000,17.55,17.558,17.55,17.55,7176,0
RMI.US,D,20181228,000000,17.558,17.558,17.243,17.342,5629,0
RMI.US,D,20181231,000000,17.298,17.452,17.298,17.434,8772,0
RMI.US,D,20190102,000000,17.461,17.489,17.418,17.418,10320,0
RMI.US,D,20190103,000000,17.418,17.813,17.418,17.766,16254,0
RMI.US,D,20190104,000000,17.678,17.784,17.677,17.677,3634,0
RMI.US,D,20190107,000000,17.678,17.94,17.678,17.814,5397,0
RMI.US,D,20190108,000000,17.823,18.08,17.794,18.072,13407,0
RMI.US,D,20190109,000000,18.072,18.239,17.974,17.983,56579,0
RMI.US,D,20190110,000000,18.047,18.047,17.963,17.979,5178,0
