<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RRAC-WS.US,D,20211228,000000,0.65,0.65,0.65,0.65,12770,0
RRAC-WS.US,D,20211229,000000,0.6201,0.65,0.6201,0.65,9785,0
RRAC-WS.US,D,20211230,000000,0.6,0.6,0.6,0.6,10100,0
RRAC-WS.US,D,20220103,000000,0.6101,0.6101,0.5402,0.6,52134,0
RRAC-WS.US,D,20220104,000000,0.58,0.58,0.58,0.58,175000,0
RRAC-WS.US,D,20220106,000000,0.5888,0.6,0.5888,0.6,7502,0
RRAC-WS.US,D,20220107,000000,0.63,0.63,0.6,0.6,3567,0
RRAC-WS.US,D,20220112,000000,0.57,0.57,0.57,0.57,6950,0
RRAC-WS.US,D,20220118,000000,0.57,0.57,0.53,0.55,85974,0
RRAC-WS.US,D,20220119,000000,0.98,1.255,0.5111,0.5112,16758,0
RRAC-WS.US,D,20220120,000000,0.5111,0.5111,0.4713,0.5013,1225,0
RRAC-WS.US,D,20220121,000000,0.46,0.49,0.46,0.47,111040,0
