<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAFE.US,D,20170622,000000,17.375,17.548,17.375,17.375,3525456,0
SAFE.US,D,20170623,000000,17.375,17.787,17.282,17.637,778163,0
SAFE.US,D,20170626,000000,17.628,17.682,17.391,17.601,501079,0
SAFE.US,D,20170627,000000,17.538,17.693,17.467,17.511,268029,0
SAFE.US,D,20170628,000000,17.556,17.647,17.486,17.601,201262,0
SAFE.US,D,20170629,000000,17.501,17.787,17.467,17.601,375889,0
SAFE.US,D,20170630,000000,17.494,17.693,16.752,17.511,496346,0
SAFE.US,D,20170703,000000,17.556,17.601,17.511,17.601,36574,0
SAFE.US,D,20170705,000000,17.637,17.787,17.556,17.738,91482,0
SAFE.US,D,20170706,000000,17.738,17.787,17.375,17.703,164424,0
SAFE.US,D,20170707,000000,17.618,17.833,17.601,17.748,150603,0
SAFE.US,D,20170710,000000,17.833,17.833,17.647,17.748,108198,0
SAFE.US,D,20170711,000000,17.712,17.923,17.486,17.868,206460,0
SAFE.US,D,20170712,000000,17.923,17.975,17.703,17.833,94575,0
SAFE.US,D,20170713,000000,17.914,17.914,17.833,17.868,47956,0
SAFE.US,D,20170714,000000,17.984,18.013,17.795,18.003,100113,0
SAFE.US,D,20170717,000000,17.941,18.06,17.833,17.958,129787,0
SAFE.US,D,20170718,000000,17.738,17.984,17.375,17.932,216584,0
SAFE.US,D,20170719,000000,17.858,17.984,17.767,17.833,88759,0
SAFE.US,D,20170720,000000,17.566,18.087,17.486,18.06,323811,0
SAFE.US,D,20170721,000000,18.013,18.288,17.805,18.15,630970,0
SAFE.US,D,20170724,000000,18.003,18.122,17.538,17.584,133868,0
SAFE.US,D,20170725,000000,17.486,17.618,17.366,17.366,210753,0
SAFE.US,D,20170726,000000,17.357,17.467,17.19,17.227,132360,0
SAFE.US,D,20170727,000000,17.145,17.375,16.477,16.743,278916,0
SAFE.US,D,20170728,000000,16.558,17.217,16.548,16.688,180931,0
SAFE.US,D,20170731,000000,16.733,17.295,16.733,17.009,153681,0
SAFE.US,D,20170801,000000,16.871,17.1,16.626,16.896,180278,0
SAFE.US,D,20170802,000000,16.77,17.263,16.669,16.915,125837,0
SAFE.US,D,20170803,000000,17.056,17.584,16.97,17.173,118081,0
SAFE.US,D,20170804,000000,17.056,17.317,16.933,17.017,106992,0
SAFE.US,D,20170807,000000,17.037,17.409,16.827,17.347,135821,0
SAFE.US,D,20170808,000000,17.375,17.477,16.999,17.3,160061,0
SAFE.US,D,20170809,000000,17.128,17.4,17.009,17.118,190673,0
SAFE.US,D,20170810,000000,17.254,17.494,17.181,17.282,199502,0
SAFE.US,D,20170811,000000,17.145,17.494,17.109,17.217,137917,0
SAFE.US,D,20170814,000000,17.29,17.824,17.236,17.375,113321,0
SAFE.US,D,20170815,000000,17.246,17.815,17.208,17.556,101329,0
SAFE.US,D,20170816,000000,17.601,17.905,17.584,17.748,109030,0
SAFE.US,D,20170817,000000,17.895,18.041,17.738,17.914,66581,0
SAFE.US,D,20170818,000000,17.748,18.06,17.748,17.923,59251,0
SAFE.US,D,20170821,000000,17.941,17.975,17.529,17.757,98735,0
SAFE.US,D,20170822,000000,17.693,17.858,17.511,17.529,124209,0
SAFE.US,D,20170823,000000,17.647,17.868,17.421,17.628,118663,0
SAFE.US,D,20170824,000000,17.729,17.858,17.535,17.667,98895,0
SAFE.US,D,20170825,000000,17.85,17.975,17.676,17.712,107189,0
SAFE.US,D,20170828,000000,17.667,17.984,17.667,17.914,110821,0
SAFE.US,D,20170829,000000,17.868,18.003,17.738,17.914,81275,0
SAFE.US,D,20170830,000000,17.967,18.041,17.647,17.967,78007,0
SAFE.US,D,20170831,000000,17.85,18.15,17.824,17.967,207880,0
SAFE.US,D,20170901,000000,17.923,18.141,17.895,17.95,176028,0
SAFE.US,D,20170905,000000,18.095,18.114,17.708,18.041,271575,0
SAFE.US,D,20170906,000000,18.027,18.12,17.878,18.087,213785,0
SAFE.US,D,20170907,000000,17.967,18.013,17.601,17.738,158098,0
SAFE.US,D,20170908,000000,17.693,17.975,17.667,17.787,145360,0
SAFE.US,D,20170911,000000,17.878,17.984,17.676,17.905,96958,0
SAFE.US,D,20170912,000000,17.967,18.05,17.795,17.984,120148,0
SAFE.US,D,20170913,000000,17.914,18.05,17.74,17.777,168181,0
SAFE.US,D,20170914,000000,17.628,17.975,17.628,17.923,193882,0
