<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN.US,D,20050225,000000,7.1357,7.2003,7.1066,7.1886,789377,0
SAN.US,D,20050228,000000,7.1416,7.1534,7.03,7.0475,869915,0
SAN.US,D,20050301,000000,7.1357,7.2003,7.1121,7.1651,813891,0
SAN.US,D,20050302,000000,7.1066,7.1473,7.0768,7.1066,1170444,0
SAN.US,D,20050303,000000,7.1651,7.2003,7.0885,7.1534,642436,0
SAN.US,D,20050304,000000,7.2412,7.3999,7.2298,7.3237,579092,0
SAN.US,D,20050307,000000,7.3002,7.3411,7.2884,7.3061,411715,0
SAN.US,D,20050308,000000,7.335,7.3649,7.2941,7.3178,347350,0
SAN.US,D,20050309,000000,7.3237,7.335,7.2589,7.2707,516094,0
SAN.US,D,20050310,000000,7.2824,7.3411,7.2354,7.335,445431,0
SAN.US,D,20050311,000000,7.3296,7.359,7.2769,7.3116,517288,0
SAN.US,D,20050314,000000,7.2884,7.3237,7.2648,7.2824,382771,0
SAN.US,D,20050315,000000,7.3061,7.335,7.2531,7.2707,511157,0
SAN.US,D,20050316,000000,7.2298,7.2412,7.1066,7.1179,245361,0
SAN.US,D,20050317,000000,7.1768,7.2412,7.1473,7.1829,458201,0
SAN.US,D,20050318,000000,7.1768,7.2473,7.1416,7.1886,352291,0
SAN.US,D,20050321,000000,7.1179,7.1591,7.0593,7.0885,345481,0
SAN.US,D,20050322,000000,7.1121,7.2648,7.03,7.0537,669846,0
SAN.US,D,20050323,000000,7.0416,7.0885,7.0066,7.0475,380558,0
SAN.US,D,20050324,000000,7.0885,7.2941,7.0183,7.0359,418698,0
SAN.US,D,20050328,000000,7.0475,7.1121,7.0416,7.083,388560,0
SAN.US,D,20050329,000000,7.0537,7.1179,6.9889,7.0066,412229,0
SAN.US,D,20050330,000000,7.0183,7.0947,7.0066,7.0537,624216,0
SAN.US,D,20050331,000000,7.0066,7.03,6.9479,6.9653,449001,0
SAN.US,D,20050401,000000,6.983,7.024,6.8599,6.8892,553550,0
SAN.US,D,20050404,000000,6.801,6.8716,6.7364,6.8479,651121,0
SAN.US,D,20050405,000000,6.8599,6.9299,6.8599,6.9007,438956,0
SAN.US,D,20050406,000000,6.9419,6.983,6.9185,6.936,387030,0
SAN.US,D,20050407,000000,6.936,7.0359,6.936,7.0066,270394,0
SAN.US,D,20050408,000000,7.0007,7.0416,6.977,7.0183,506894,0
SAN.US,D,20050411,000000,7.0124,7.0653,6.9889,7.0475,505706,0
SAN.US,D,20050412,000000,6.9299,7.0066,6.8892,7.0007,623873,0
SAN.US,D,20050413,000000,6.9653,7.0066,6.9185,6.9299,265284,0
SAN.US,D,20050414,000000,6.9185,6.9299,6.8479,6.8716,556956,0
SAN.US,D,20050415,000000,6.8243,6.8479,6.6714,6.754,441007,0
SAN.US,D,20050418,000000,6.7126,6.7891,6.6834,6.7479,464329,0
SAN.US,D,20050419,000000,6.7891,6.8124,6.7364,6.7832,335946,0
SAN.US,D,20050420,000000,6.754,6.8069,6.7126,6.7304,466884,0
SAN.US,D,20050421,000000,6.7891,6.8187,6.7421,6.801,349054,0
SAN.US,D,20050422,000000,6.8243,6.8536,6.7596,6.8124,407287,0
SAN.US,D,20050425,000000,6.7891,6.8536,6.7832,6.8305,551849,0
SAN.US,D,20050426,000000,6.754,6.842,6.7304,6.754,311940,0
SAN.US,D,20050427,000000,6.6482,6.7304,6.5897,6.6714,456836,0
SAN.US,D,20050428,000000,6.5954,6.701,6.5897,6.6073,334920,0
SAN.US,D,20050429,000000,6.6482,6.6894,6.6013,6.6423,304956,0
SAN.US,D,20050502,000000,6.701,6.7189,6.6661,6.701,372383,0
SAN.US,D,20050503,000000,6.7832,6.842,6.7716,6.8069,389578,0
SAN.US,D,20050504,000000,6.8187,6.936,6.8187,6.8949,204495,0
SAN.US,D,20050505,000000,6.877,6.9065,6.8187,6.8599,605316,0
SAN.US,D,20050506,000000,6.8187,6.8716,6.7596,6.8124,262386,0
SAN.US,D,20050509,000000,6.801,6.8536,6.754,6.8536,315170,0
SAN.US,D,20050510,000000,6.7071,6.7304,6.6601,6.6714,284180,0
SAN.US,D,20050511,000000,6.6834,6.6953,6.6366,6.6894,311766,0
SAN.US,D,20050512,000000,6.613,6.6307,6.5423,6.5423,1096719,0
SAN.US,D,20050513,000000,6.6423,6.7071,6.5836,6.6307,2736596,0
SAN.US,D,20050516,000000,6.6073,6.6953,6.6073,6.6714,1308537,0
SAN.US,D,20050517,000000,6.6247,6.6714,6.6013,6.6539,339859,0
SAN.US,D,20050518,000000,6.6714,6.8187,6.6714,6.7775,640389,0
SAN.US,D,20050519,000000,6.7658,6.8187,6.754,6.801,229868,0
