<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDHY.US,D,20201130,000000,18.823,18.823,18.793,18.803,402863,0
SDHY.US,D,20201201,000000,18.803,18.813,18.793,18.793,208892,0
SDHY.US,D,20201202,000000,18.803,18.803,18.793,18.793,127913,0
SDHY.US,D,20201203,000000,18.737,18.803,18.539,18.793,586800,0
SDHY.US,D,20201204,000000,18.803,18.87,18.793,18.793,134880,0
SDHY.US,D,20201207,000000,18.813,18.842,18.793,18.793,51861,0
SDHY.US,D,20201208,000000,18.813,18.818,18.793,18.793,125833,0
SDHY.US,D,20201209,000000,18.803,18.803,18.793,18.793,139611,0
SDHY.US,D,20201210,000000,18.793,18.808,18.793,18.793,150633,0
SDHY.US,D,20201211,000000,18.803,18.86,18.793,18.86,85584,0
SDHY.US,D,20201214,000000,18.935,18.935,18.86,18.935,59585,0
SDHY.US,D,20201215,000000,18.926,18.982,18.842,18.926,47185,0
SDHY.US,D,20201216,000000,18.879,18.935,18.879,18.935,18135,0
SDHY.US,D,20201217,000000,18.935,18.982,18.906,18.944,44334,0
SDHY.US,D,20201218,000000,18.916,18.972,18.879,18.944,41756,0
SDHY.US,D,20201221,000000,18.887,18.916,18.842,18.906,34808,0
SDHY.US,D,20201222,000000,18.87,18.904,18.823,18.879,39131,0
SDHY.US,D,20201223,000000,18.906,18.935,18.793,18.813,90681,0
SDHY.US,D,20201224,000000,18.846,18.879,18.793,18.823,25434,0
SDHY.US,D,20201228,000000,18.673,19.542,18.654,19.282,155754,0
SDHY.US,D,20201229,000000,19.104,19.735,19.075,19.414,16793,0
SDHY.US,D,20201230,000000,19.451,19.726,18.931,19.348,22798,0
SDHY.US,D,20201231,000000,19.17,19.498,18.897,19.235,60725,0
SDHY.US,D,20210104,000000,18.926,18.935,18.793,18.793,387548,0
SDHY.US,D,20210105,000000,18.813,19.288,18.813,18.953,41841,0
SDHY.US,D,20210106,000000,18.992,18.992,18.793,18.793,86501,0
SDHY.US,D,20210107,000000,18.887,18.887,18.803,18.887,23614,0
SDHY.US,D,20210108,000000,18.842,18.879,18.803,18.832,28244,0
SDHY.US,D,20210111,000000,18.793,18.793,18.554,18.663,24960,0
SDHY.US,D,20210112,000000,18.568,18.568,18.231,18.445,42941,0
SDHY.US,D,20210113,000000,18.437,18.663,18.23,18.352,24719,0
SDHY.US,D,20210114,000000,18.325,18.607,18.297,18.578,35608,0
SDHY.US,D,20210115,000000,18.558,18.558,18.286,18.513,35889,0
SDHY.US,D,20210119,000000,18.509,18.7,18.344,18.611,28714,0
SDHY.US,D,20210120,000000,18.568,18.656,18.325,18.644,33101,0
SDHY.US,D,20210121,000000,18.636,18.792,18.443,18.792,32041,0
SDHY.US,D,20210122,000000,18.765,18.792,18.548,18.792,28182,0
SDHY.US,D,20210125,000000,18.896,18.896,18.528,18.756,23244,0
SDHY.US,D,20210126,000000,18.642,18.642,18.226,18.586,83532,0
SDHY.US,D,20210127,000000,18.586,18.841,18.416,18.736,49241,0
SDHY.US,D,20210128,000000,18.546,18.784,18.522,18.652,15849,0
SDHY.US,D,20210129,000000,18.642,18.756,18.605,18.661,25231,0
SDHY.US,D,20210201,000000,18.831,18.831,18.528,18.642,24709,0
SDHY.US,D,20210202,000000,18.677,18.84,18.537,18.774,34248,0
SDHY.US,D,20210203,000000,18.707,18.831,18.699,18.792,18017,0
SDHY.US,D,20210204,000000,18.841,19.464,18.802,18.906,81542,0
SDHY.US,D,20210205,000000,18.962,19.034,18.783,18.896,70035,0
SDHY.US,D,20210208,000000,18.916,19.01,18.869,19.01,48132,0
SDHY.US,D,20210209,000000,19.114,19.376,18.916,19.114,85772,0
SDHY.US,D,20210210,000000,19.114,19.114,18.896,18.944,74572,0
SDHY.US,D,20210211,000000,19.018,19.284,18.914,19.028,93055,0
SDHY.US,D,20210212,000000,19.094,19.284,19.028,19.219,46969,0
SDHY.US,D,20210216,000000,19.14,19.16,18.867,18.952,46031,0
SDHY.US,D,20210217,000000,19.085,19.236,18.867,18.904,46849,0
SDHY.US,D,20210218,000000,18.914,19.018,18.914,18.952,8320,0
SDHY.US,D,20210219,000000,18.999,18.999,18.894,18.894,13645,0
SDHY.US,D,20210222,000000,18.904,18.957,18.781,18.809,48034,0
SDHY.US,D,20210223,000000,18.772,18.958,18.762,18.838,24926,0
SDHY.US,D,20210224,000000,18.904,18.914,18.618,18.638,42369,0
SDHY.US,D,20210225,000000,18.753,18.761,18.059,18.22,58346,0
SDHY.US,D,20210226,000000,18.591,19.075,18.268,18.371,51339,0
SDHY.US,D,20210301,000000,18.381,18.648,18.23,18.335,22514,0
SDHY.US,D,20210302,000000,18.296,18.876,17.774,17.964,68219,0
SDHY.US,D,20210303,000000,18.002,18.338,17.928,18.335,40827,0
SDHY.US,D,20210304,000000,18.164,18.401,18.049,18.135,40678,0
SDHY.US,D,20210305,000000,18.19,18.296,17.831,17.849,86749,0
SDHY.US,D,20210308,000000,17.623,17.984,17.442,17.642,53343,0
SDHY.US,D,20210309,000000,17.564,17.849,17.517,17.623,104702,0
SDHY.US,D,20210310,000000,17.507,18.029,17.507,17.707,103345,0
SDHY.US,D,20210311,000000,17.753,17.984,17.667,17.695,62539,0
SDHY.US,D,20210312,000000,17.705,18.039,17.504,17.954,78413,0
SDHY.US,D,20210315,000000,17.921,18.112,17.581,17.63,107588,0
SDHY.US,D,20210316,000000,17.649,17.896,17.6,17.658,88984,0
SDHY.US,D,20210317,000000,17.753,17.762,17.458,17.533,132379,0
SDHY.US,D,20210318,000000,17.322,17.458,17.055,17.199,179994,0
SDHY.US,D,20210319,000000,17.199,17.561,17.074,17.438,212001,0
SDHY.US,D,20210322,000000,17.38,17.61,17.208,17.227,156343,0
