<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGU.US,D,20050225,000000,1.7105,1.7439,1.6768,1.7214,387288,0
SGU.US,D,20050228,000000,1.6768,1.6936,1.5209,1.6547,749288,0
SGU.US,D,20050301,000000,1.549,1.7271,1.549,1.7271,412776,0
SGU.US,D,20050302,000000,1.7439,1.8109,1.7383,1.7716,1093439,0
SGU.US,D,20050303,000000,1.7716,1.9168,1.7493,1.8218,781595,0
SGU.US,D,20050304,000000,1.8943,1.9109,1.8163,1.8943,1072161,0
SGU.US,D,20050307,000000,1.8775,1.9168,1.8163,1.8775,428225,0
SGU.US,D,20050308,000000,2.0005,2.1507,1.9334,2.0112,3661784,0
SGU.US,D,20050309,000000,2.0446,2.0446,1.8832,1.95,1215845,0
SGU.US,D,20050310,000000,1.95,1.9613,1.7995,1.8274,608021,0
SGU.US,D,20050311,000000,1.805,1.8661,1.7327,1.8553,605815,0
SGU.US,D,20050314,000000,1.844,1.872,1.7939,1.861,295382,0
SGU.US,D,20050315,000000,1.8218,1.8887,1.7939,1.8661,229765,0
SGU.US,D,20050316,000000,1.8109,1.8385,1.7939,1.8163,158324,0
SGU.US,D,20050317,000000,1.7939,1.8274,1.766,1.7939,131034,0
SGU.US,D,20050318,000000,1.7716,1.7995,1.7439,1.7716,153910,0
SGU.US,D,20050321,000000,1.7439,1.844,1.7327,1.7383,159534,0
SGU.US,D,20050322,000000,1.7214,1.7549,1.6212,1.7047,303811,0
SGU.US,D,20050323,000000,1.6825,1.7214,1.6103,1.6435,237788,0
SGU.US,D,20050324,000000,1.6212,1.7493,1.6212,1.7214,288362,0
SGU.US,D,20050328,000000,1.6712,1.7716,1.6662,1.7105,148890,0
SGU.US,D,20050329,000000,1.6825,1.6881,1.571,1.599,98122,0
SGU.US,D,20050330,000000,1.549,1.6712,1.5322,1.549,218522,0
SGU.US,D,20050331,000000,1.5432,1.6155,1.5432,1.5879,299794,0
SGU.US,D,20050401,000000,1.5935,1.6435,1.5822,1.5935,336520,0
SGU.US,D,20050404,000000,1.5935,1.5935,1.5322,1.5432,222341,0
SGU.US,D,20050405,000000,1.5432,1.6323,1.4431,1.6103,375045,0
SGU.US,D,20050406,000000,1.6323,1.649,1.571,1.6212,299597,0
SGU.US,D,20050407,000000,1.6435,1.6435,1.5822,1.5935,427421,0
SGU.US,D,20050408,000000,1.5822,1.6103,1.5044,1.571,270501,0
SGU.US,D,20050411,000000,1.5432,1.571,1.5209,1.5657,139061,0
SGU.US,D,20050412,000000,1.571,1.571,1.5152,1.5267,142670,0
SGU.US,D,20050413,000000,1.5267,1.5545,1.4431,1.4707,137459,0
SGU.US,D,20050414,000000,1.4707,1.5152,1.3818,1.493,247622,0
SGU.US,D,20050415,000000,1.4431,1.5152,1.4431,1.4431,197858,0
SGU.US,D,20050418,000000,1.4431,1.4707,1.3707,1.3707,167960,0
SGU.US,D,20050419,000000,1.3707,1.3929,1.298,1.3201,393909,0
SGU.US,D,20050420,000000,1.298,1.3201,1.0976,1.1309,1212832,0
SGU.US,D,20050421,000000,1.1476,1.209,1.1422,1.1476,825342,0
SGU.US,D,20050422,000000,1.153,1.1758,1.0976,1.0976,465947,0
SGU.US,D,20050425,000000,1.0864,1.0976,0.9469,1.0753,669431,0
SGU.US,D,20050426,000000,1.0587,1.0587,0.997,0.997,302006,0
SGU.US,D,20050427,000000,0.986,1.0197,0.9194,0.997,445278,0
SGU.US,D,20050428,000000,0.997,0.997,0.8969,0.9696,316455,0
SGU.US,D,20050429,000000,0.9917,1.0197,0.9194,1.0197,243210,0
SGU.US,D,20050502,000000,1.0197,1.2036,1.0197,1.1476,322476,0
SGU.US,D,20050503,000000,1.2369,1.3707,1.1809,1.209,1244337,0
SGU.US,D,20050504,000000,1.2702,1.3201,1.1809,1.2256,565280,0
SGU.US,D,20050505,000000,1.2256,1.2927,1.1644,1.1809,488421,0
SGU.US,D,20050506,000000,1.2927,1.783,1.2535,1.6936,2533026,0
SGU.US,D,20050509,000000,1.8661,2.0668,1.7214,1.939,2747137,0
SGU.US,D,20050510,000000,1.9832,2.0446,1.9441,1.9557,1189954,0
SGU.US,D,20050511,000000,1.9613,2.0112,1.9613,1.9832,753303,0
SGU.US,D,20050512,000000,1.9888,2.2452,1.9669,2.0504,2074906,0
SGU.US,D,20050513,000000,2.0668,2.1452,1.9168,1.939,707354,0
SGU.US,D,20050516,000000,1.9557,1.9723,1.6435,1.7214,1094234,0
SGU.US,D,20050517,000000,1.6993,1.7439,1.599,1.6712,657387,0
SGU.US,D,20050518,000000,1.6712,1.7159,1.649,1.6712,362607,0
SGU.US,D,20050519,000000,1.6601,1.7716,1.6601,1.6993,287155,0
SGU.US,D,20050520,000000,1.7214,1.7214,1.5935,1.6662,188626,0
SGU.US,D,20050523,000000,1.6662,1.6662,1.5935,1.6046,351169,0
SGU.US,D,20050524,000000,1.6212,1.627,1.5822,1.599,357590,0
SGU.US,D,20050525,000000,1.627,1.7327,1.6155,1.6768,317054,0
SGU.US,D,20050526,000000,1.6825,1.7716,1.6825,1.7607,264278,0
SGU.US,D,20050527,000000,1.7939,1.8832,1.7939,1.8385,251432,0
SGU.US,D,20050531,000000,1.9054,1.9109,1.8495,1.8553,305614,0
SGU.US,D,20050601,000000,1.8887,1.8943,1.844,1.8495,138863,0
SGU.US,D,20050602,000000,1.8495,1.8661,1.7439,1.783,136456,0
SGU.US,D,20050603,000000,1.783,1.844,1.7716,1.8218,186418,0
SGU.US,D,20050606,000000,1.8163,1.8495,1.7716,1.8218,137459,0
SGU.US,D,20050607,000000,1.8163,1.8218,1.6768,1.7607,199261,0
SGU.US,D,20050608,000000,1.7439,1.7439,1.6768,1.7105,191839,0
SGU.US,D,20050609,000000,1.7105,1.7105,1.627,1.6662,196658,0
SGU.US,D,20050610,000000,1.6435,1.6662,1.5935,1.6323,141669,0
SGU.US,D,20050613,000000,1.6435,1.6601,1.5935,1.638,226557,0
SGU.US,D,20050614,000000,1.6435,1.6435,1.6046,1.6155,131636,0
SGU.US,D,20050615,000000,1.6046,1.638,1.5879,1.6323,66622,0
SGU.US,D,20050616,000000,1.6323,1.6323,1.571,1.5935,120398,0
SGU.US,D,20050617,000000,1.5935,1.6323,1.4707,1.4875,487020,0
SGU.US,D,20050620,000000,1.5044,1.5322,1.4543,1.493,963005,0
SGU.US,D,20050621,000000,1.493,1.5432,1.493,1.5044,216717,0
SGU.US,D,20050622,000000,1.4989,1.5322,1.4707,1.493,351769,0
SGU.US,D,20050623,000000,1.493,1.5267,1.4707,1.4875,519326,0
SGU.US,D,20050624,000000,1.493,1.493,1.4374,1.4431,126016,0
SGU.US,D,20050627,000000,1.4431,1.5267,1.3929,1.4707,215714,0
SGU.US,D,20050628,000000,1.4431,1.4648,1.3929,1.4151,242004,0
SGU.US,D,20050629,000000,1.4151,1.4875,1.3707,1.4096,328093,0
SGU.US,D,20050630,000000,1.482,1.4875,1.3929,1.4207,209498,0
SGU.US,D,20050701,000000,1.4207,1.4648,1.4207,1.4374,117190,0
SGU.US,D,20050705,000000,1.4263,1.493,1.4263,1.4485,356781,0
SGU.US,D,20050706,000000,1.5152,1.5152,1.4207,1.4207,369828,0
SGU.US,D,20050707,000000,1.4096,1.4096,1.3707,1.3762,121798,0
SGU.US,D,20050708,000000,1.3762,1.4207,1.3762,1.3985,80464,0
SGU.US,D,20050711,000000,1.4875,1.4875,1.4151,1.4431,159729,0
SGU.US,D,20050712,000000,1.482,1.482,1.4207,1.4374,153910,0
SGU.US,D,20050713,000000,1.4707,1.4707,1.3762,1.3818,156923,0
SGU.US,D,20050714,000000,1.3818,1.4318,1.3762,1.4263,144283,0
SGU.US,D,20050715,000000,1.3985,1.4318,1.3818,1.3985,170371,0
SGU.US,D,20050718,000000,1.3929,1.4263,1.3872,1.3872,84080,0
SGU.US,D,20050719,000000,1.4151,1.4207,1.3707,1.3872,176188,0
SGU.US,D,20050720,000000,1.3872,1.4207,1.3818,1.3872,90502,0
SGU.US,D,20050721,000000,1.3872,1.4151,1.3872,1.3929,54582,0
SGU.US,D,20050722,000000,1.3929,1.4151,1.365,1.365,172975,0
SGU.US,D,20050725,000000,1.3707,1.3929,1.298,1.298,258055,0
SGU.US,D,20050726,000000,1.298,1.3482,1.2758,1.3201,69230,0
SGU.US,D,20050727,000000,1.3369,1.3482,1.3036,1.3261,229963,0
SGU.US,D,20050728,000000,1.3261,1.3538,1.298,1.298,103143,0
SGU.US,D,20050729,000000,1.2927,1.3929,1.2927,1.3707,96726,0
