<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHO_H.US,D,20210527,000000,27.13,27.13,25.93,26.14,118234,0
SHO_H.US,D,20210528,000000,25.83,26.8,25.83,26.74,427411,0
SHO_H.US,D,20210601,000000,26.69,26.805,26.46,26.5,124183,0
SHO_H.US,D,20210602,000000,26.48,26.72,26.48,26.52,8392,0
SHO_H.US,D,20210603,000000,26.58,26.78,26.39,26.53,9643,0
SHO_H.US,D,20210604,000000,26.62,26.62,26.39,26.39,9459,0
SHO_H.US,D,20210607,000000,26.59,26.59,26.35,26.55,4500,0
SHO_H.US,D,20210608,000000,26.6475,26.65,26.4,26.55,9318,0
SHO_H.US,D,20210609,000000,26.6,26.6,26.45,26.45,1054,0
SHO_H.US,D,20210610,000000,26.502,26.77,26.41,26.77,1870,0
SHO_H.US,D,20210611,000000,26.7999,26.89,26.62,26.67,8166,0
SHO_H.US,D,20210614,000000,26.89,26.89,26.46,26.77,6940,0
SHO_H.US,D,20210615,000000,26.735,27,26.46,26.6,4352,0
SHO_H.US,D,20210616,000000,26.5,26.6,26.43,26.43,9714,0
SHO_H.US,D,20210617,000000,26.5,26.9,26.4419,26.88,6188,0
SHO_H.US,D,20210618,000000,26.92,27,26.55,26.98,1462,0
SHO_H.US,D,20210621,000000,26.775,26.984,26.55,26.78,7483,0
SHO_H.US,D,20210622,000000,26.84,27,26.84,27,6668,0
SHO_H.US,D,20210623,000000,27,27,26.995,27,1916,0
SHO_H.US,D,20210624,000000,26.66,26.71,26.66,26.67,8042,0
SHO_H.US,D,20210625,000000,26.74,26.99,26.61,26.81,6221,0
SHO_H.US,D,20210628,000000,26.825,27.38,26.825,27,30550,0
SHO_H.US,D,20210629,000000,26.96,27.25,26.96,27.13,5407,0
SHO_H.US,D,20210630,000000,27.6,28.41,27.58,28.39,45857,0
SHO_H.US,D,20210701,000000,28.23,28.5,26.6,26.98,125371,0
SHO_H.US,D,20210702,000000,26.98,27.11,26.72,26.83,1554,0
SHO_H.US,D,20210706,000000,26.8,27.228,26.72,26.95,17337,0
SHO_H.US,D,20210707,000000,27.303,27.3856,27.03,27.24,13363,0
SHO_H.US,D,20210708,000000,27.02,27.06,26.9976,26.9976,4348,0
SHO_H.US,D,20210709,000000,27,27.41,26.97,27.19,18413,0
SHO_H.US,D,20210712,000000,27.11,27.11,26.8434,26.8434,1241,0
SHO_H.US,D,20210713,000000,27.1,27.352,26.67,26.69,2123,0
SHO_H.US,D,20210714,000000,26.9899,26.9899,26.7,26.7,1295,0
SHO_H.US,D,20210715,000000,26.75,26.8399,26.7,26.735,3894,0
SHO_H.US,D,20210716,000000,26.72,26.81,26.72,26.81,735,0
SHO_H.US,D,20210719,000000,26.65,26.7,26.555,26.7,2225,0
SHO_H.US,D,20210720,000000,26.5472,26.5472,26.5472,26.5472,223,0
SHO_H.US,D,20210721,000000,26.88,26.9089,26.5,26.75,10194,0
SHO_H.US,D,20210722,000000,26.72,26.82,26.5244,26.68,6780,0
SHO_H.US,D,20210723,000000,26.7895,26.7895,26.7895,26.7895,389,0
SHO_H.US,D,20210726,000000,26.88,26.88,26.75,26.75,1446,0
SHO_H.US,D,20210727,000000,26.75,26.85,26.74,26.85,2494,0
SHO_H.US,D,20210728,000000,26.8589,26.8589,26.75,26.79,1545,0
