<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SJT.US,D,20050225,000000,18.265,18.317,18.037,18.311,761175,0
SJT.US,D,20050228,000000,18.383,18.566,18.177,18.419,455649,0
SJT.US,D,20050301,000000,18.392,18.419,17.656,17.876,651116,0
SJT.US,D,20050302,000000,17.909,18.161,17.712,18.104,406390,0
SJT.US,D,20050303,000000,18.265,18.419,18.192,18.419,402086,0
SJT.US,D,20050304,000000,18.491,18.647,18.401,18.642,406587,0
SJT.US,D,20050307,000000,18.642,18.671,18.347,18.467,427884,0
SJT.US,D,20050308,000000,18.419,18.647,18.365,18.612,384098,0
SJT.US,D,20050309,000000,18.612,18.612,16.992,16.997,1156998,0
SJT.US,D,20050310,000000,17.395,17.619,15.99,17.14,1913099,0
SJT.US,D,20050311,000000,17.188,17.882,17.188,17.643,485163,0
SJT.US,D,20050314,000000,17.882,17.882,17.395,17.732,552604,0
SJT.US,D,20050315,000000,17.882,17.909,17.777,17.863,349318,0
SJT.US,D,20050316,000000,17.897,18.275,17.882,17.996,457207,0
SJT.US,D,20050317,000000,18.289,18.392,18.116,18.36,463462,0
SJT.US,D,20050318,000000,18.44,18.48,17.912,18.317,498265,0
SJT.US,D,20050321,000000,18.485,18.988,18.423,18.903,949215,0
SJT.US,D,20050322,000000,18.98,19.134,18.375,18.388,790105,0
SJT.US,D,20050323,000000,18.419,18.739,17.882,18.019,993399,0
SJT.US,D,20050324,000000,18.067,18.597,18.067,18.317,693730,0
SJT.US,D,20050328,000000,18.238,18.412,17.909,18.336,701549,0
SJT.US,D,20050329,000000,18.311,18.33,17.909,17.956,439232,0
SJT.US,D,20050330,000000,17.909,18.058,17.498,17.777,730092,0
SJT.US,D,20050331,000000,17.909,18.445,17.909,18.434,511747,0
SJT.US,D,20050401,000000,18.671,18.921,18.637,18.906,455837,0
SJT.US,D,20050404,000000,18.928,19.394,18.928,19.177,632747,0
SJT.US,D,20050405,000000,19.092,19.108,18.58,18.693,571368,0
SJT.US,D,20050406,000000,18.615,19.023,18.392,18.993,406183,0
SJT.US,D,20050407,000000,19.071,19.243,18.671,18.75,432190,0
SJT.US,D,20050408,000000,18.724,18.827,18.597,18.671,432582,0
SJT.US,D,20050411,000000,18.816,18.827,18.429,18.705,375320,0
SJT.US,D,20050412,000000,18.724,18.823,18.513,18.662,427315,0
SJT.US,D,20050413,000000,18.647,18.8,18.423,18.434,392511,0
SJT.US,D,20050414,000000,18.566,18.827,18.54,18.571,482047,0
SJT.US,D,20050415,000000,18.467,18.615,18.27,18.281,611827,0
SJT.US,D,20050418,000000,18.111,18.161,17.395,18.033,1100123,0
SJT.US,D,20050419,000000,18.084,19.077,18.058,19.026,848748,0
SJT.US,D,20050420,000000,19.338,19.338,18.997,19.096,467382,0
SJT.US,D,20050421,000000,19.166,19.167,18.75,19.082,445878,0
SJT.US,D,20050422,000000,19.054,19.387,19.014,19.1,408152,0
SJT.US,D,20050425,000000,19.314,19.666,19.314,19.522,663633,0
SJT.US,D,20050426,000000,19.625,19.874,19.507,19.719,450567,0
SJT.US,D,20050427,000000,19.609,19.8,18.928,19.265,628055,0
SJT.US,D,20050428,000000,18.98,19.036,18.716,18.874,421635,0
SJT.US,D,20050429,000000,19.183,19.208,18.622,18.785,574691,0
SJT.US,D,20050502,000000,18.682,19.154,18.546,19.108,412246,0
SJT.US,D,20050503,000000,19.082,19.082,18.43,18.607,414987,0
SJT.US,D,20050504,000000,18.928,18.951,18.45,18.881,384311,0
SJT.US,D,20050505,000000,19.008,19.314,18.98,19.208,312763,0
SJT.US,D,20050506,000000,19.218,19.387,19.183,19.183,368267,0
SJT.US,D,20050509,000000,19.19,19.387,19.183,19.36,301808,0
SJT.US,D,20050510,000000,19.387,19.442,19.19,19.235,288719,0
SJT.US,D,20050511,000000,19.235,19.287,19.154,19.177,217561,0
SJT.US,D,20050512,000000,19.177,19.2,18.167,18.212,697249,0
SJT.US,D,20050513,000000,18.317,18.485,18.167,18.265,417531,0
SJT.US,D,20050516,000000,18.265,18.265,17.478,17.698,1261584,0
SJT.US,D,20050517,000000,17.555,17.909,17.545,17.909,628248,0
SJT.US,D,20050518,000000,17.934,18.019,17.446,17.691,843862,0
SJT.US,D,20050519,000000,17.691,17.909,17.63,17.909,436882,0
SJT.US,D,20050520,000000,17.982,18.009,17.814,17.909,923030,0
SJT.US,D,20050523,000000,17.934,17.958,17.814,17.892,609289,0
SJT.US,D,20050524,000000,17.909,18.111,17.897,18.081,379601,0
SJT.US,D,20050525,000000,18.104,18.392,17.985,18.341,604205,0
SJT.US,D,20050526,000000,18.407,18.407,18.111,18.186,277385,0
SJT.US,D,20050527,000000,18.289,18.571,18.221,18.566,266234,0
SJT.US,D,20050531,000000,18.566,18.566,18.419,18.419,300445,0
SJT.US,D,20050601,000000,18.521,18.765,18.419,18.612,339336,0
SJT.US,D,20050602,000000,18.671,18.849,18.555,18.806,346961,0
SJT.US,D,20050603,000000,18.874,18.921,18.682,18.777,279722,0
SJT.US,D,20050606,000000,18.855,19.129,18.855,19.077,327023,0
SJT.US,D,20050607,000000,19.03,19.115,18.943,18.993,211297,0
SJT.US,D,20050608,000000,18.997,19.338,18.761,19.049,312364,0
SJT.US,D,20050609,000000,19.054,19.489,19.054,19.484,288719,0
SJT.US,D,20050610,000000,19.568,19.634,19.238,19.568,321166,0
SJT.US,D,20050613,000000,19.688,19.943,19.573,19.893,469140,0
SJT.US,D,20050614,000000,19.971,20.188,19.777,20.032,314324,0
SJT.US,D,20050615,000000,20.108,21.126,20.051,20.685,723838,0
SJT.US,D,20050616,000000,20.772,21.404,20.767,21.102,508619,0
SJT.US,D,20050617,000000,21.076,21.363,20.756,21.187,441182,0
SJT.US,D,20050620,000000,21.385,21.565,21.093,21.332,374715,0
SJT.US,D,20050621,000000,21.254,21.484,20.21,20.458,569031,0
SJT.US,D,20050622,000000,20.49,21.477,20.49,21.434,671260,0
SJT.US,D,20050623,000000,21.613,22.153,21.442,21.603,544986,0
SJT.US,D,20050624,000000,21.603,21.999,21.603,21.846,437077,0
SJT.US,D,20050627,000000,21.946,22.655,21.931,22.16,609095,0
SJT.US,D,20050628,000000,22.091,22.091,21.492,21.585,578405,0
SJT.US,D,20050629,000000,21.488,21.613,20.671,21.613,685135,0
SJT.US,D,20050630,000000,21.363,21.913,21.159,21.459,368267,0
SJT.US,D,20050701,000000,21.469,21.897,21.469,21.897,388993,0
SJT.US,D,20050705,000000,22.123,22.479,22.096,22.351,396030,0
SJT.US,D,20050706,000000,22.51,22.585,21.926,22.51,402873,0
SJT.US,D,20050707,000000,22.504,22.51,22.265,22.51,306703,0
SJT.US,D,20050708,000000,22.551,22.715,22.003,22.254,346374,0
SJT.US,D,20050711,000000,22.177,22.204,21.708,22.091,367679,0
SJT.US,D,20050712,000000,22.204,22.636,22.146,22.612,306890,0
SJT.US,D,20050713,000000,22.636,22.766,22.486,22.601,270345,0
SJT.US,D,20050714,000000,22.665,22.762,21.852,21.962,475590,0
SJT.US,D,20050715,000000,22.075,22.34,21.908,22.153,258412,0
SJT.US,D,20050718,000000,22.227,22.227,21.871,21.931,297130,0
SJT.US,D,20050719,000000,21.931,22.402,21.797,22.351,235160,0
SJT.US,D,20050720,000000,22.461,22.612,22.227,22.607,259981,0
SJT.US,D,20050721,000000,22.479,22.693,22.437,22.579,213447,0
SJT.US,D,20050722,000000,22.7,22.894,22.504,22.894,281284,0
SJT.US,D,20050725,000000,22.894,23.598,22.869,23.246,395246,0
SJT.US,D,20050726,000000,23.328,23.355,22.67,23.04,382737,0
SJT.US,D,20050727,000000,22.902,23.07,22.788,23.024,256856,0
SJT.US,D,20050728,000000,23.147,23.328,22.894,23.112,230858,0
SJT.US,D,20050729,000000,23.147,23.276,23.091,23.256,136041,0
SJT.US,D,20050801,000000,23.383,23.403,23.139,23.246,223033,0
SJT.US,D,20050802,000000,23.383,23.383,23.024,23.256,190782,0
SJT.US,D,20050803,000000,23.117,23.457,23.112,23.212,299269,0
SJT.US,D,20050804,000000,23.276,23.529,23.229,23.484,174751,0
SJT.US,D,20050805,000000,23.535,23.794,23.419,23.684,244734,0
SJT.US,D,20050808,000000,23.812,24.668,23.812,24.607,415581,0
SJT.US,D,20050809,000000,24.852,24.976,24.409,24.686,386449,0
SJT.US,D,20050810,000000,24.862,25.297,24.732,25.199,350866,0
SJT.US,D,20050811,000000,25.375,25.782,25.17,25.709,444117,0
SJT.US,D,20050812,000000,25.682,26.238,25.682,26.139,560624,0
SJT.US,D,20050815,000000,26.219,26.323,24.45,24.887,1087610,0
SJT.US,D,20050816,000000,24.887,24.887,22.51,23.565,2961416,0
SJT.US,D,20050817,000000,23.276,23.495,21.846,21.846,2159587,0
SJT.US,D,20050818,000000,21.538,21.538,19.952,21.354,3921386,0
