<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMP.US,D,20050225,000000,9.664,9.664,9.4732,9.538,158083,0
SMP.US,D,20050228,000000,9.4157,9.664,9.4157,9.63,72258,0
SMP.US,D,20050301,000000,9.63,9.647,9.522,9.638,154001,0
SMP.US,D,20050302,000000,9.63,9.772,9.608,9.608,22083,0
SMP.US,D,20050303,000000,9.689,9.689,9.506,9.546,136836,0
SMP.US,D,20050304,000000,9.538,9.664,9.4981,9.581,37573,0
SMP.US,D,20050307,000000,9.572,9.722,9.538,9.589,26890,0
SMP.US,D,20050308,000000,9.63,9.697,9.546,9.589,36856,0
SMP.US,D,20050309,000000,9.581,9.647,9.4981,9.589,67943,0
SMP.US,D,20050310,000000,9.581,9.647,9.581,9.589,40811,0
SMP.US,D,20050311,000000,9.589,9.697,9.581,9.672,52215,0
SMP.US,D,20050314,000000,9.697,9.914,9.697,9.757,37091,0
SMP.US,D,20050315,000000,9.829,9.914,9.664,9.672,22324,0
SMP.US,D,20050316,000000,9.664,9.78,9.664,9.672,28567,0
SMP.US,D,20050317,000000,9.714,9.856,9.697,9.796,30247,0
SMP.US,D,20050318,000000,9.874,9.874,9.2911,9.796,230343,0
SMP.US,D,20050321,000000,9.847,9.847,9.672,9.757,51013,0
SMP.US,D,20050322,000000,9.75,9.79,9.622,9.664,64577,0
SMP.US,D,20050323,000000,9.664,9.874,9.664,9.757,38892,0
SMP.US,D,20050324,000000,9.757,9.881,9.741,9.82,28926,0
SMP.US,D,20050328,000000,9.79,9.805,9.664,9.672,38531,0
SMP.US,D,20050329,000000,9.681,9.829,9.598,9.647,115110,0
SMP.US,D,20050330,000000,9.655,9.829,9.622,9.697,40931,0
SMP.US,D,20050331,000000,9.697,9.75,9.615,9.75,101428,0
SMP.US,D,20050401,000000,9.79,9.79,8.5138,8.863,77902,0
SMP.US,D,20050404,000000,8.8893,9.3906,8.8723,9.3818,51134,0
SMP.US,D,20050405,000000,9.4553,9.514,9.2063,9.3113,53174,0
SMP.US,D,20050406,000000,9.3542,9.4981,9.3113,9.3113,29051,0
SMP.US,D,20050407,000000,9.3113,9.3113,9.0225,9.0628,13564,0
SMP.US,D,20050408,000000,9.0628,9.0786,8.9977,8.9977,40931,0
SMP.US,D,20050411,000000,9.0399,9.1054,8.9144,8.9144,72860,0
SMP.US,D,20050412,000000,8.9144,8.9233,8.4562,8.7059,98902,0
SMP.US,D,20050413,000000,8.7486,8.7655,8.4315,8.4394,35412,0
SMP.US,D,20050414,000000,8.4394,8.4472,8.2311,8.3725,57493,0
SMP.US,D,20050415,000000,8.4562,8.4891,8.2894,8.3395,38411,0
SMP.US,D,20050418,000000,8.331,8.4394,8.331,8.3725,94947,0
SMP.US,D,20050419,000000,8.3395,8.473,8.331,8.3478,46573,0
SMP.US,D,20050420,000000,8.3643,8.4062,8.331,8.331,110672,0
SMP.US,D,20050421,000000,8.4148,8.4969,8.3559,8.3725,43934,0
SMP.US,D,20050422,000000,8.3725,8.4315,8.2229,8.2645,55698,0
SMP.US,D,20050425,000000,8.331,8.331,8.1394,8.3059,37450,0
SMP.US,D,20050426,000000,8.2645,8.2645,7.9644,7.9894,59415,0
SMP.US,D,20050427,000000,7.998,7.998,7.8394,7.8394,35767,0
SMP.US,D,20050428,000000,7.8648,7.8648,7.6647,7.673,63616,0
SMP.US,D,20050429,000000,7.6477,7.6976,7.5228,7.5643,117512,0
SMP.US,D,20050502,000000,7.5814,7.7309,7.3894,7.723,124713,0
SMP.US,D,20050503,000000,7.8062,7.8062,7.4145,7.4564,132635,0
SMP.US,D,20050504,000000,7.7065,7.7559,7.3396,7.7396,163606,0
SMP.US,D,20050505,000000,7.7481,7.8313,7.6228,7.7481,100227,0
SMP.US,D,20050506,000000,7.7481,7.8479,7.6647,7.7978,101186,0
SMP.US,D,20050509,000000,7.9563,8.0307,7.8898,7.9145,65178,0
SMP.US,D,20050510,000000,7.9145,8.2977,7.9145,8.0307,125791,0
SMP.US,D,20050511,000000,8.1144,8.5732,8.1144,8.4969,139841,0
SMP.US,D,20050512,000000,8.5061,8.5648,8.331,8.331,76702,0
SMP.US,D,20050513,000000,8.3478,8.4562,8.331,8.3395,111273,0
SMP.US,D,20050516,000000,8.3395,8.5401,8.331,8.331,51974,0
SMP.US,D,20050517,000000,8.4148,8.7059,8.3981,8.6639,47896,0
SMP.US,D,20050518,000000,8.7486,8.8723,8.6732,8.8132,79461,0
SMP.US,D,20050519,000000,8.8309,8.8309,8.7486,8.7561,78263,0
SMP.US,D,20050520,000000,8.7486,8.9743,8.7486,8.9667,97943,0
SMP.US,D,20050523,000000,8.9818,8.9977,8.8309,8.9144,78378,0
SMP.US,D,20050524,000000,8.9233,8.9977,8.863,8.9667,43571,0
SMP.US,D,20050525,000000,8.9885,9.1222,8.958,8.958,63256,0
SMP.US,D,20050526,000000,9.0138,9.2744,9.0138,9.1644,63017,0
SMP.US,D,20050527,000000,9.2667,9.3818,9.2228,9.2967,39611,0
SMP.US,D,20050531,000000,9.329,9.4831,9.2822,9.3906,50535,0
SMP.US,D,20050601,000000,9.4157,9.4981,9.3366,9.4463,63973,0
SMP.US,D,20050602,000000,9.4831,9.4831,9.329,9.3976,62898,0
SMP.US,D,20050603,000000,9.4642,9.598,9.4642,9.581,58335,0
SMP.US,D,20050606,000000,9.589,9.856,9.589,9.796,81622,0
SMP.US,D,20050607,000000,9.796,9.914,9.79,9.796,85824,0
SMP.US,D,20050608,000000,9.805,9.923,9.672,9.722,153282,0
