<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON.US,D,20050225,000000,20.615,20.841,20.45,20.841,360480,0
SON.US,D,20050228,000000,20.841,20.934,20.372,20.636,585395,0
SON.US,D,20050301,000000,20.735,20.998,20.735,20.998,337091,0
SON.US,D,20050302,000000,20.849,20.968,20.636,20.723,319617,0
SON.US,D,20050303,000000,20.827,21.033,20.627,20.792,298756,0
SON.US,D,20050304,000000,20.884,21.337,20.763,21.337,572290,0
SON.US,D,20050307,000000,21.287,21.287,21.06,21.146,234493,0
SON.US,D,20050308,000000,21.008,21.208,20.827,21.065,340756,0
SON.US,D,20050309,000000,20.974,21.141,20.868,20.94,302000,0
SON.US,D,20050310,000000,20.934,20.998,20.723,20.841,264514,0
SON.US,D,20050311,000000,20.863,21.146,20.747,21.073,428975,0
SON.US,D,20050314,000000,21.146,21.36,21.127,21.323,422487,0
SON.US,D,20050315,000000,21.395,21.459,21.201,21.261,286639,0
SON.US,D,20050316,000000,21.133,21.287,20.7,20.747,361752,0
SON.US,D,20050317,000000,20.905,21.096,20.662,21.08,509156,0
SON.US,D,20050318,000000,21.104,21.152,20.792,20.962,437000,0
SON.US,D,20050321,000000,20.805,20.805,20.472,20.656,349347,0
SON.US,D,20050322,000000,20.723,20.877,20.542,20.6,289176,0
SON.US,D,20050323,000000,20.444,20.444,20.048,20.365,367247,0
SON.US,D,20050324,000000,20.35,20.494,20.338,20.35,247179,0
SON.US,D,20050328,000000,20.33,20.35,20.117,20.145,309892,0
SON.US,D,20050329,000000,20.16,20.289,19.939,19.99,333002,0
SON.US,D,20050330,000000,19.926,20.068,19.818,19.998,322155,0
SON.US,D,20050331,000000,19.982,20.472,19.982,20.472,382607,0
SON.US,D,20050401,000000,20.401,20.671,20.16,20.231,265500,0
SON.US,D,20050404,000000,20.243,20.28,19.955,20.061,366823,0
SON.US,D,20050405,000000,20.083,20.136,20.001,20.017,320178,0
SON.US,D,20050406,000000,20.008,20.129,19.882,20.008,411496,0
SON.US,D,20050407,000000,20.008,20.129,19.869,20.076,385849,0
SON.US,D,20050408,000000,20.076,20.123,19.895,19.955,180664,0
SON.US,D,20050411,000000,19.515,19.577,19.124,19.55,394166,0
SON.US,D,20050412,000000,19.529,19.831,19.471,19.782,226324,0
SON.US,D,20050413,000000,19.79,19.79,19.386,19.509,277901,0
SON.US,D,20050414,000000,19.493,19.605,18.848,18.889,492391,0
SON.US,D,20050415,000000,18.834,19.159,18.543,18.647,687283,0
SON.US,D,20050418,000000,20.502,20.502,18.661,19.179,614144,0
SON.US,D,20050419,000000,19.053,19.451,19.047,19.421,455181,0
SON.US,D,20050420,000000,19.421,19.421,18.947,19.168,478858,0
SON.US,D,20050421,000000,19.168,19.175,18.804,19.017,625843,0
SON.US,D,20050422,000000,18.983,19.131,18.743,19.053,819046,0
SON.US,D,20050425,000000,19.017,19.124,18.876,19.109,272686,0
SON.US,D,20050426,000000,19.053,19.179,18.889,18.932,335962,0
SON.US,D,20050427,000000,18.932,19.301,18.644,19.185,488020,0
SON.US,D,20050428,000000,19.266,19.273,18.727,18.863,627669,0
SON.US,D,20050429,000000,18.869,19.23,18.755,19.222,512682,0
SON.US,D,20050502,000000,19.194,19.286,18.939,19.266,348644,0
SON.US,D,20050503,000000,19.194,19.429,18.876,18.947,476180,0
SON.US,D,20050504,000000,18.994,19.202,18.924,19.087,346389,0
SON.US,D,20050505,000000,19.087,19.159,18.81,19.104,257188,0
SON.US,D,20050506,000000,19.096,19.331,19.096,19.222,161922,0
SON.US,D,20050509,000000,19.194,19.429,19.194,19.414,339910,0
SON.US,D,20050510,000000,19.414,19.414,19.059,19.168,291292,0
SON.US,D,20050511,000000,19.081,19.124,18.913,19.047,361752,0
SON.US,D,20050512,000000,19.081,19.087,18.548,18.669,256905,0
SON.US,D,20050513,000000,18.598,18.598,18.066,18.416,319334,0
SON.US,D,20050516,000000,18.402,18.711,18.381,18.711,262817,0
