<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPIR-WS.US,D,20210818,000000,1.13,1.37,1.13,1.2,48546,0
SPIR-WS.US,D,20210819,000000,1.16,1.2,1.13,1.15,80481,0
SPIR-WS.US,D,20210820,000000,1.1,1.14,0.92,1.05,349274,0
SPIR-WS.US,D,20210823,000000,0.99,1.08,0.9,0.99,97812,0
SPIR-WS.US,D,20210824,000000,1,1.06,0.99,1.05,112105,0
SPIR-WS.US,D,20210825,000000,0.96,1.09,0.96,1.09,110940,0
SPIR-WS.US,D,20210826,000000,1.09,1.35,1.05,1.32,38407,0
SPIR-WS.US,D,20210827,000000,1.257,1.42,1.21,1.37,48093,0
SPIR-WS.US,D,20210830,000000,1.3699,1.37,1.2301,1.32,18736,0
SPIR-WS.US,D,20210831,000000,1.41,1.41,1.305,1.35,16579,0
SPIR-WS.US,D,20210901,000000,1.26,1.48,1.26,1.47,12128,0
SPIR-WS.US,D,20210902,000000,1.42,1.42,1.41,1.41,39989,0
SPIR-WS.US,D,20210903,000000,1.26,1.9,1.25,1.8,622387,0
SPIR-WS.US,D,20210907,000000,1.55,1.62,1.19,1.31,321489,0
SPIR-WS.US,D,20210908,000000,1.28,1.75,1.25,1.68,291416,0
SPIR-WS.US,D,20210909,000000,1.67,1.75,1.58,1.72,151234,0
SPIR-WS.US,D,20210910,000000,1.71,1.71,1.55,1.61,148703,0
SPIR-WS.US,D,20210913,000000,1.65,1.65,1.41,1.51,17318,0
SPIR-WS.US,D,20210914,000000,1.61,1.61,1.4,1.4,37170,0
SPIR-WS.US,D,20210915,000000,1.47,1.52,1.34,1.41,49895,0
SPIR-WS.US,D,20210916,000000,1.76,1.8,1.488,1.49,413708,0
SPIR-WS.US,D,20210917,000000,1.44,1.7995,1.44,1.74,695307,0
SPIR-WS.US,D,20210920,000000,1.6,1.75,1.525,1.57,127183,0
SPIR-WS.US,D,20210921,000000,1.47,2.05,1.47,1.85,617398,0
SPIR-WS.US,D,20210922,000000,1.77,2.89,1.77,2.5793,482956,0
SPIR-WS.US,D,20210923,000000,2.55,2.66,1.81,2.15,546812,0
SPIR-WS.US,D,20210924,000000,2.05,2.23,1.92,1.97,78138,0
SPIR-WS.US,D,20210927,000000,1.97,2.1,1.85,1.85,90994,0
SPIR-WS.US,D,20210928,000000,2.14,2.23,1.68,1.9499,354667,0
SPIR-WS.US,D,20210929,000000,1.83,1.875,1.66,1.73,114196,0
SPIR-WS.US,D,20210930,000000,1.734,1.87,1.66,1.7,111490,0
SPIR-WS.US,D,20211001,000000,1.51,1.59,1.2,1.4005,1029255,0
SPIR-WS.US,D,20211004,000000,1.38,1.43,1.26,1.38,53450,0
SPIR-WS.US,D,20211005,000000,1.31,1.36,1.27,1.31,98811,0
SPIR-WS.US,D,20211006,000000,1.31,1.31,1.19,1.1997,58622,0
SPIR-WS.US,D,20211007,000000,1.22,1.27,1.21,1.2699,23819,0
SPIR-WS.US,D,20211008,000000,1.21,1.28,1.13,1.28,55347,0
SPIR-WS.US,D,20211011,000000,1.26,1.28,1.17,1.18,30839,0
SPIR-WS.US,D,20211012,000000,1.17,1.17,1.12,1.12,51680,0
SPIR-WS.US,D,20211013,000000,1.15,1.18,1.07,1.1599,72154,0
SPIR-WS.US,D,20211014,000000,1.18,1.19,1.14,1.15,44357,0
SPIR-WS.US,D,20211015,000000,1.13,1.15,1.07,1.07,34521,0
SPIR-WS.US,D,20211018,000000,1.19,1.19,1.02,1.065,54931,0
SPIR-WS.US,D,20211019,000000,1.05,1.06,0.9701,1,397447,0
SPIR-WS.US,D,20211020,000000,1.0099,1.05,1,1,11172,0
SPIR-WS.US,D,20211021,000000,1.03,1.05,0.95,0.97,77049,0
SPIR-WS.US,D,20211022,000000,0.9556,1,0.955,0.9998,12889,0
SPIR-WS.US,D,20211025,000000,1,1.05,0.97,1.015,20650,0
SPIR-WS.US,D,20211026,000000,1.08,1.31,1.06,1.22,207521,0
SPIR-WS.US,D,20211027,000000,1.11,1.22,1.08,1.21,76899,0
SPIR-WS.US,D,20211028,000000,1.3,1.32,1.1,1.121,138157,0
SPIR-WS.US,D,20211029,000000,1.11,1.17,1.07,1.14,38572,0
