<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STOR.US,D,20141118,000000,14.261,14.372,13.971,14.153,14125965,0
STOR.US,D,20141119,000000,14.153,14.444,14.153,14.357,1883495,0
STOR.US,D,20141120,000000,14.431,14.48,14.255,14.414,795474,0
STOR.US,D,20141121,000000,14.431,14.48,14.336,14.407,390666,0
STOR.US,D,20141124,000000,14.365,14.51,14.298,14.501,981249,0
STOR.US,D,20141125,000000,14.48,14.645,14.348,14.518,662825,0
STOR.US,D,20141126,000000,14.582,15.016,14.531,14.946,670155,0
STOR.US,D,20141128,000000,15.088,15.291,14.859,15.141,467229,0
STOR.US,D,20141201,000000,15.279,15.337,14.565,14.77,518298,0
STOR.US,D,20141202,000000,14.915,15.154,14.82,14.88,715551,0
STOR.US,D,20141203,000000,14.946,14.952,14.536,14.613,902221,0
STOR.US,D,20141204,000000,14.392,14.813,14.336,14.71,784335,0
STOR.US,D,20141205,000000,14.871,14.871,14.526,14.733,422235,0
STOR.US,D,20141208,000000,14.63,14.763,14.407,14.605,1015007,0
STOR.US,D,20141209,000000,14.763,14.901,14.501,14.886,403159,0
STOR.US,D,20141210,000000,14.901,15.258,14.536,14.691,409127,0
STOR.US,D,20141211,000000,14.705,14.901,14.589,14.82,422245,0
STOR.US,D,20141212,000000,14.843,15.225,14.683,14.807,594558,0
STOR.US,D,20141215,000000,14.907,15.081,14.763,14.931,737855,0
STOR.US,D,20141216,000000,14.834,15.141,14.799,14.931,1094969,0
STOR.US,D,20141217,000000,14.843,15.561,14.75,15.378,849143,0
STOR.US,D,20141218,000000,15.815,16.304,14.843,15.524,890586,0
STOR.US,D,20141219,000000,15.452,15.605,15.097,15.285,4253864,0
STOR.US,D,20141222,000000,15.299,15.665,15.12,15.59,1160990,0
STOR.US,D,20141223,000000,15.672,15.697,15.387,15.619,247205,0
STOR.US,D,20141224,000000,15.737,15.876,15.511,15.665,74411,0
STOR.US,D,20141226,000000,15.697,16.09,15.419,15.822,260504,0
STOR.US,D,20141229,000000,15.846,15.984,15.41,15.888,301544,0
STOR.US,D,20141230,000000,15.876,16.227,15.783,16.08,255610,0
STOR.US,D,20141231,000000,16.119,16.261,15.759,15.766,266887,0
STOR.US,D,20150102,000000,15.804,15.804,15.453,15.634,371847,0
STOR.US,D,20150105,000000,15.58,15.871,15.491,15.674,596521,0
STOR.US,D,20150106,000000,15.621,15.862,15.176,15.468,1398960,0
STOR.US,D,20150107,000000,15.586,16.05,15.426,16.009,514342,0
STOR.US,D,20150108,000000,16.08,16.119,15.876,16.018,258476,0
STOR.US,D,20150109,000000,15.962,16.08,15.904,15.957,398414,0
STOR.US,D,20150112,000000,16.009,16.729,15.904,16.087,347250,0
STOR.US,D,20150113,000000,16.198,16.357,15.725,16.119,457928,0
STOR.US,D,20150114,000000,16.024,16.686,15.919,16.608,317325,0
STOR.US,D,20150115,000000,16.658,16.701,16.381,16.635,558113,0
STOR.US,D,20150116,000000,16.649,16.95,16.342,16.877,344240,0
STOR.US,D,20150120,000000,16.831,16.888,16.357,16.555,279938,0
STOR.US,D,20150121,000000,16.476,16.716,16.261,16.374,685301,0
STOR.US,D,20150122,000000,16.437,16.722,16.381,16.716,927397,0
STOR.US,D,20150123,000000,16.774,17.009,16.716,16.758,272310,0
STOR.US,D,20150126,000000,16.774,17.023,16.729,16.928,264456,0
