<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STRE.US,D,20210527,000000,9.79,9.79,9.72,9.75,7718,0
STRE.US,D,20210528,000000,9.75,9.75,9.75,9.75,1302,0
STRE.US,D,20210601,000000,9.75,9.75,9.7,9.7,14785,0
STRE.US,D,20210607,000000,9.7,9.7,9.7,9.7,5000,0
STRE.US,D,20210609,000000,9.86,9.88,9.75,9.75,8096,0
STRE.US,D,20210611,000000,9.85,9.85,9.75,9.75,217179,0
STRE.US,D,20210614,000000,9.76,9.78,9.7246,9.73,25818,0
STRE.US,D,20210616,000000,9.75,9.75,9.75,9.75,2002,0
STRE.US,D,20210617,000000,9.72,9.75,9.72,9.75,7335,0
STRE.US,D,20210621,000000,9.76,9.76,9.72,9.7455,6226,0
STRE.US,D,20210622,000000,9.75,9.7995,9.75,9.77,6550,0
STRE.US,D,20210623,000000,9.77,9.77,9.77,9.77,309,0
STRE.US,D,20210624,000000,9.75,9.75,9.75,9.75,716,0
STRE.US,D,20210625,000000,9.76,9.76,9.72,9.72,10511,0
STRE.US,D,20210628,000000,9.69,9.74,9.69,9.74,79075,0
STRE.US,D,20210629,000000,9.75,9.75,9.74,9.74,248,0
STRE.US,D,20210630,000000,9.7001,9.73,9.7,9.73,3492,0
STRE.US,D,20210702,000000,9.71,9.74,9.7,9.74,26608,0
STRE.US,D,20210706,000000,9.69,9.705,9.69,9.705,1987,0
STRE.US,D,20210707,000000,9.69,9.72,9.69,9.72,81349,0
STRE.US,D,20210712,000000,9.78,9.78,9.78,9.78,1263,0
STRE.US,D,20210713,000000,9.78,9.78,9.78,9.78,129,0
STRE.US,D,20210715,000000,9.7,9.75,9.7,9.75,600,0
STRE.US,D,20210721,000000,9.7,9.78,9.7,9.78,871,0
STRE.US,D,20210722,000000,9.78,9.79,9.7,9.7,2125,0
STRE.US,D,20210723,000000,9.78,9.78,9.73,9.73,611,0
STRE.US,D,20210802,000000,9.7,9.81,9.67,9.78,99546,0
STRE.US,D,20210803,000000,9.8,9.8,9.8,9.8,7736,0
STRE.US,D,20210809,000000,9.71,9.71,9.71,9.71,132,0
STRE.US,D,20210812,000000,9.77,9.77,9.77,9.77,170,0
STRE.US,D,20210813,000000,9.65,9.7,9.65,9.7,1305,0
STRE.US,D,20210816,000000,9.58,9.58,9.58,9.58,115,0
STRE.US,D,20210817,000000,9.71,9.75,9.71,9.75,433,0
STRE.US,D,20210819,000000,9.7,9.7,9.67,9.68,13289,0
STRE.US,D,20210824,000000,9.67,9.67,9.67,9.67,101,0
STRE.US,D,20210825,000000,9.66,9.66,9.66,9.66,109,0
STRE.US,D,20210826,000000,9.65,9.65,9.65,9.65,100,0
STRE.US,D,20210827,000000,9.64,9.68,9.64,9.68,71869,0
STRE.US,D,20210831,000000,9.62,9.62,9.62,9.62,227,0
STRE.US,D,20210903,000000,9.72,9.72,9.72,9.72,151,0
STRE.US,D,20210913,000000,9.73,9.73,9.73,9.73,153,0
STRE.US,D,20210914,000000,9.75,9.8,9.75,9.79,38401,0
STRE.US,D,20210917,000000,9.77,9.7799,9.77,9.7799,625100,0
STRE.US,D,20210920,000000,9.67,9.79,9.669,9.79,1018,0
STRE.US,D,20210921,000000,9.85,9.85,9.77,9.79,3186,0
STRE.US,D,20210922,000000,9.73,9.79,9.73,9.79,715,0
STRE.US,D,20210923,000000,9.72,9.79,9.72,9.79,1989,0
STRE.US,D,20210924,000000,9.79,9.79,9.79,9.79,100,0
