<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STZ-B.US,D,20100824,000000,15.298,15.298,15.298,15.298,216,0
STZ-B.US,D,20100825,000000,15.166,15.398,15.166,15.398,327,0
STZ-B.US,D,20100831,000000,15.166,15.461,15.166,15.461,3354,0
STZ-B.US,D,20100901,000000,15.695,15.806,15.695,15.806,869,0
STZ-B.US,D,20100903,000000,15.952,16.019,15.952,16.019,431,0
STZ-B.US,D,20100907,000000,15.723,15.723,15.723,15.723,100,0
STZ-B.US,D,20100909,000000,15.563,15.695,15.555,15.695,1161,0
STZ-B.US,D,20100913,000000,15.952,15.952,15.952,15.952,100,0
STZ-B.US,D,20100914,000000,16.091,16.091,16.029,16.029,541,0
STZ-B.US,D,20100915,000000,16.12,16.395,16.12,16.387,1945,0
STZ-B.US,D,20100916,000000,16.166,16.37,16.166,16.37,644,0
STZ-B.US,D,20100917,000000,16.574,16.574,16.574,16.574,216,0
STZ-B.US,D,20100920,000000,16.747,16.803,16.747,16.803,541,0
STZ-B.US,D,20100921,000000,16.775,16.775,16.775,16.775,431,0
STZ-B.US,D,20100922,000000,16.683,16.683,16.683,16.683,100,0
STZ-B.US,D,20100923,000000,16.526,16.601,16.472,16.472,431,0
STZ-B.US,D,20100924,000000,16.747,16.861,16.747,16.861,327,0
STZ-B.US,D,20100927,000000,16.591,16.591,16.591,16.591,100,0
STZ-B.US,D,20100928,000000,16.517,16.517,16.415,16.415,216,0
STZ-B.US,D,20100929,000000,16.499,16.499,16.34,16.37,3461,0
STZ-B.US,D,20100930,000000,16.517,16.517,16.517,16.517,100,0
STZ-B.US,D,20101001,000000,16.435,16.435,16.435,16.435,431,0
STZ-B.US,D,20101004,000000,16.425,16.425,16.425,16.425,100,0
STZ-B.US,D,20101005,000000,16.331,16.38,15.788,16.38,3381,0
STZ-B.US,D,20101006,000000,16.24,17.146,16.24,17.09,2272,0
STZ-B.US,D,20101007,000000,17.378,17.378,17.286,17.286,327,0
STZ-B.US,D,20101008,000000,17.267,17.34,17.267,17.34,541,0
STZ-B.US,D,20101011,000000,17.195,17.654,17.195,17.581,7461,0
STZ-B.US,D,20101012,000000,17.424,17.526,17.06,17.526,644,0
STZ-B.US,D,20101013,000000,17.709,17.738,17.581,17.581,2195,0
STZ-B.US,D,20101014,000000,17.618,17.618,17.526,17.535,973,0
STZ-B.US,D,20101018,000000,17.69,17.821,17.69,17.821,216,0
STZ-B.US,D,20101019,000000,17.699,17.709,16.832,17.709,2272,0
STZ-B.US,D,20101025,000000,17.94,18.181,17.94,18.171,431,0
STZ-B.US,D,20101026,000000,17.94,17.94,17.94,17.94,100,0
STZ-B.US,D,20101027,000000,17.709,17.709,17.478,17.478,216,0
STZ-B.US,D,20101028,000000,17.699,17.699,17.699,17.699,100,0
STZ-B.US,D,20101029,000000,17.785,18.267,17.785,18.267,644,0
STZ-B.US,D,20101103,000000,18.035,18.035,18.035,18.035,100,0
STZ-B.US,D,20101104,000000,18.267,18.267,18.267,18.267,216,0
STZ-B.US,D,20101105,000000,18.497,18.497,18.497,18.497,216,0
STZ-B.US,D,20101108,000000,18.432,18.571,18.432,18.571,2053,0
STZ-B.US,D,20101112,000000,18.2,18.2,18.2,18.2,216,0
STZ-B.US,D,20101115,000000,18.432,18.661,18.432,18.661,216,0
STZ-B.US,D,20101116,000000,18.632,18.632,18.403,18.403,327,0
STZ-B.US,D,20101117,000000,18.459,18.459,18.459,18.459,100,0
