<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STZ.US,D,20050225,000000,24.698,24.974,24.593,24.964,701622,0
STZ.US,D,20050228,000000,24.964,24.983,24.403,24.546,1177513,0
STZ.US,D,20050301,000000,24.431,24.658,24.365,24.511,1231166,0
STZ.US,D,20050302,000000,24.529,24.841,24.365,24.708,650808,0
STZ.US,D,20050303,000000,24.744,25.034,24.668,24.86,847315,0
STZ.US,D,20050304,000000,25.108,25.219,24.885,24.992,855602,0
STZ.US,D,20050307,000000,24.992,25.402,24.954,25.088,651244,0
STZ.US,D,20050308,000000,24.529,24.868,24.256,24.291,1918830,0
STZ.US,D,20050309,000000,24.44,24.603,23.385,24.326,1355921,0
STZ.US,D,20050310,000000,24.346,24.493,24.273,24.299,829212,0
STZ.US,D,20050311,000000,24.299,24.485,23.788,23.907,1315572,0
STZ.US,D,20050314,000000,24.018,24.365,24.008,24.156,1603901,0
STZ.US,D,20050315,000000,24.201,24.201,23.907,23.926,841859,0
STZ.US,D,20050316,000000,23.879,24.06,23.862,23.934,1150034,0
STZ.US,D,20050317,000000,23.951,23.951,23.676,23.732,835101,0
STZ.US,D,20050318,000000,23.732,23.798,23.523,23.705,1109029,0
STZ.US,D,20050321,000000,23.63,23.732,23.06,23.291,1510115,0
STZ.US,D,20050322,000000,23.211,23.514,23.211,23.256,1507500,0
STZ.US,D,20050323,000000,23.375,23.375,23.05,23.05,1540651,0
STZ.US,D,20050324,000000,23.09,23.467,22.467,23.183,1410229,0
STZ.US,D,20050328,000000,23.247,23.705,23.247,23.577,844481,0
STZ.US,D,20050329,000000,23.494,23.815,23.449,23.569,798679,0
STZ.US,D,20050330,000000,23.523,24.192,23.523,24.119,1201504,0
STZ.US,D,20050331,000000,24.119,24.299,23.934,24.238,905329,0
STZ.US,D,20050401,000000,24.299,24.841,24.299,24.384,1652754,0
STZ.US,D,20050404,000000,24.316,24.393,24.099,24.299,821363,0
STZ.US,D,20050405,000000,24.393,24.698,24.393,24.511,761164,0
STZ.US,D,20050406,000000,24.622,24.622,24.256,24.316,1822215,0
STZ.US,D,20050407,000000,24.346,24.992,24.282,24.974,1080242,0
STZ.US,D,20050408,000000,26.181,27.285,26.181,26.574,5380935,0
STZ.US,D,20050411,000000,26.565,26.678,26.319,26.493,2722965,0
STZ.US,D,20050412,000000,26.484,27.575,26.328,27.472,2499413,0
STZ.US,D,20050413,000000,27.285,27.302,26.181,26.574,3003002,0
STZ.US,D,20050414,000000,26.574,26.687,26.033,26.136,1668455,0
STZ.US,D,20050415,000000,26.079,26.079,25.44,25.469,1987753,0
STZ.US,D,20050418,000000,25.61,26.337,25.412,26.164,2086114,0
STZ.US,D,20050419,000000,26.181,26.801,26.136,26.697,2096802,0
STZ.US,D,20050420,000000,26.697,26.697,25.806,25.951,2730162,0
STZ.US,D,20050421,000000,26.015,26.218,25.702,25.942,2731034,0
STZ.US,D,20050422,000000,25.996,26.099,25.567,25.657,2242928,0
STZ.US,D,20050425,000000,25.843,26.069,25.567,25.976,1465843,0
STZ.US,D,20050426,000000,25.497,25.816,25.009,25.009,2357214,0
STZ.US,D,20050427,000000,24.885,25.078,24.727,24.841,2268009,0
STZ.US,D,20050428,000000,24.841,24.841,24.201,24.299,1952203,0
STZ.US,D,20050429,000000,24.421,24.511,23.761,24.173,1705750,0
STZ.US,D,20050502,000000,24.411,24.688,24.393,24.546,942622,0
STZ.US,D,20050503,000000,24.708,24.992,24.565,24.565,1256250,0
STZ.US,D,20050504,000000,24.992,25.547,24.668,25.513,2524276,0
STZ.US,D,20050505,000000,25.567,25.721,25.29,25.61,1326911,0
STZ.US,D,20050506,000000,25.816,26.006,25.575,25.593,909907,0
STZ.US,D,20050509,000000,25.593,25.675,25.449,25.513,1153086,0
STZ.US,D,20050510,000000,25.431,25.497,25.068,25.165,1035315,0
STZ.US,D,20050511,000000,25.201,25.324,25.078,25.174,878283,0
STZ.US,D,20050512,000000,25.128,25.254,24.556,24.593,1092021,0
STZ.US,D,20050513,000000,24.485,24.759,24.173,24.256,950038,0
STZ.US,D,20050516,000000,24.256,24.718,24.21,24.668,482432,0
STZ.US,D,20050517,000000,24.668,24.668,23.934,24.299,1043494,0
STZ.US,D,20050518,000000,24.299,24.944,24.265,24.751,815471,0
STZ.US,D,20050519,000000,24.802,24.924,24.421,24.448,1011434,0
STZ.US,D,20050520,000000,24.448,24.521,24.21,24.375,804240,0
STZ.US,D,20050523,000000,24.466,24.584,24.291,24.466,703368,0
STZ.US,D,20050524,000000,24.457,24.466,23.988,24.07,1008053,0
STZ.US,D,20050525,000000,24.346,24.346,23.449,23.752,1333130,0
STZ.US,D,20050526,000000,23.934,24.024,23.09,23.647,1643700,0
STZ.US,D,20050527,000000,23.647,24.07,23.647,23.862,1662566,0
STZ.US,D,20050531,000000,23.798,25.506,23.612,25.506,3920325,0
STZ.US,D,20050601,000000,25.421,25.601,24.934,25.042,1480234,0
STZ.US,D,20050602,000000,25.201,25.352,24.894,25.281,927791,0
STZ.US,D,20050603,000000,25.352,25.76,25.174,25.702,1241419,0
STZ.US,D,20050606,000000,25.667,25.75,25.118,25.75,908490,0
STZ.US,D,20050607,000000,25.872,25.916,25.497,25.675,885698,0
STZ.US,D,20050608,000000,25.667,25.934,25.272,25.862,815580,0
STZ.US,D,20050609,000000,25.73,25.787,25.421,25.702,1016122,0
STZ.US,D,20050610,000000,25.889,25.898,25.647,25.694,819071,0
STZ.US,D,20050613,000000,25.567,25.986,25.402,25.916,932265,0
STZ.US,D,20050614,000000,25.88,25.996,25.593,25.667,892460,0
STZ.US,D,20050615,000000,25.924,25.924,25.155,25.402,754186,0
STZ.US,D,20050616,000000,25.497,25.685,25.219,25.478,576324,0
STZ.US,D,20050617,000000,25.806,26.136,25.352,25.778,2475094,0
STZ.US,D,20050620,000000,25.862,26.658,25.778,26.475,1511426,0
STZ.US,D,20050621,000000,26.962,26.962,26.015,26.537,1250686,0
STZ.US,D,20050622,000000,26.82,26.915,26.145,26.4,887223,0
STZ.US,D,20050623,000000,26.409,26.801,26.301,26.733,1408700,0
STZ.US,D,20050624,000000,26.668,26.668,25.862,25.951,1179369,0
STZ.US,D,20050627,000000,26.059,27.14,25.976,27.124,1607935,0
STZ.US,D,20050628,000000,27.743,28.793,27.743,28.271,2650120,0
STZ.US,D,20050629,000000,28.886,28.979,27.373,27.987,3511390,0
STZ.US,D,20050630,000000,27.329,27.858,26.733,27.054,3752282,0
STZ.US,D,20050701,000000,27.285,27.61,26.887,27.419,27908795,0
STZ.US,D,20050705,000000,27.419,27.584,27.285,27.285,2605408,0
STZ.US,D,20050706,000000,27.256,27.381,27.247,27.329,1682087,0
STZ.US,D,20050707,000000,27.085,27.51,26.962,27.381,1260176,0
STZ.US,D,20050708,000000,27.4,27.768,27.329,27.724,1201615,0
STZ.US,D,20050711,000000,27.696,27.704,27.104,27.131,1258321,0
STZ.US,D,20050712,000000,27.131,27.329,27.018,27.104,972176,0
STZ.US,D,20050713,000000,27.14,27.167,26.512,26.649,1402592,0
STZ.US,D,20050714,000000,26.982,27.217,26.079,26.381,1876085,0
STZ.US,D,20050715,000000,25.796,26.409,25.459,26.282,2197889,0
STZ.US,D,20050718,000000,26.319,26.594,26.006,26.371,847968,0
STZ.US,D,20050719,000000,26.363,26.371,25.907,26.015,1083078,0
STZ.US,D,20050720,000000,25.816,25.996,25.488,25.667,1854821,0
STZ.US,D,20050721,000000,25.702,25.916,25.54,25.825,1580997,0
STZ.US,D,20050722,000000,25.898,26.023,25.721,25.924,854185,0
STZ.US,D,20050725,000000,25.862,25.898,25.675,25.74,852984,0
STZ.US,D,20050726,000000,25.768,25.907,25.584,25.75,997364,0
STZ.US,D,20050727,000000,25.768,25.834,25.174,25.184,967270,0
STZ.US,D,20050728,000000,25.343,25.852,25.343,25.638,813616,0
STZ.US,D,20050729,000000,25.584,25.667,25.128,25.128,1271515,0
STZ.US,D,20050801,000000,25.118,25.316,24.767,24.983,1176206,0
STZ.US,D,20050802,000000,24.868,25.201,24.421,24.974,1681215,0
STZ.US,D,20050803,000000,24.944,25.431,24.802,25.392,1151890,0
STZ.US,D,20050804,000000,25.392,25.513,25.017,25.165,995730,0
STZ.US,D,20050805,000000,25.034,25.098,24.668,24.708,665204,0
STZ.US,D,20050808,000000,24.851,25.042,24.668,24.785,690501,0
STZ.US,D,20050809,000000,24.785,25.05,24.658,24.751,828670,0
STZ.US,D,20050810,000000,24.759,25.155,24.759,24.904,591265,0
STZ.US,D,20050811,000000,24.944,25.034,24.08,24.291,1665622,0
STZ.US,D,20050812,000000,24.21,25.264,24.089,25.165,1648281,0
STZ.US,D,20050815,000000,24.992,25.316,24.894,25.244,917870,0
STZ.US,D,20050816,000000,25.108,25.372,24.65,24.794,728778,0
STZ.US,D,20050817,000000,24.727,24.831,24.485,24.759,1006637,0
STZ.US,D,20050818,000000,24.529,24.924,24.529,24.65,1316990,0
STZ.US,D,20050819,000000,24.678,24.759,24.299,24.365,730960,0
STZ.US,D,20050822,000000,25.042,25.042,24.21,24.299,1252977,0
STZ.US,D,20050823,000000,24.411,24.529,24.238,24.44,947204,0
STZ.US,D,20050824,000000,24.448,25.316,24.403,25,1505536,0
STZ.US,D,20050825,000000,25.128,25.307,24.894,25.219,1423314,0
STZ.US,D,20050826,000000,25.155,25.647,24.944,25.459,1671071,0
STZ.US,D,20050829,000000,25.372,25.459,24.964,25.352,876648,0
STZ.US,D,20050830,000000,25.229,25.53,24.822,25.034,1096819,0
STZ.US,D,20050831,000000,25.034,25.29,24.759,25.236,815037,0
STZ.US,D,20050901,000000,25.307,25.898,25.219,25.806,954291,0
STZ.US,D,20050902,000000,25.787,25.843,25.229,25.584,582869,0
STZ.US,D,20050906,000000,25.601,26.042,25.372,26.023,1243055,0
STZ.US,D,20050907,000000,26.181,26.228,25.702,26.136,944587,0
STZ.US,D,20050908,000000,26.155,26.602,25.834,26.099,2384035,0
STZ.US,D,20050909,000000,25.968,26.136,25.75,26.118,1112086,0
STZ.US,D,20050912,000000,26.089,26.228,25.924,25.934,579381,0
STZ.US,D,20050913,000000,26.069,26.484,25.934,26.209,805984,0
STZ.US,D,20050914,000000,26.059,26.209,25.675,25.685,552881,0
STZ.US,D,20050915,000000,25.628,26.282,25.513,26.218,682868,0
STZ.US,D,20050916,000000,26.218,26.391,25.934,26.354,1014595,0
STZ.US,D,20050919,000000,26.136,26.419,25.547,25.934,955490,0
STZ.US,D,20050920,000000,25.996,26.126,25.547,25.647,610567,0
STZ.US,D,20050921,000000,24.299,24.565,22.121,23.666,4181937,0
STZ.US,D,20050922,000000,23.666,24.273,23.494,24.265,1988516,0
STZ.US,D,20050923,000000,24.07,24.356,23.998,24.256,1170757,0
STZ.US,D,20050926,000000,24.291,24.475,23.871,23.871,999110,0
STZ.US,D,20050927,000000,23.844,23.961,23.43,23.439,2716968,0
STZ.US,D,20050928,000000,21.999,24.411,21.999,23.862,4715622,0
STZ.US,D,20050929,000000,23.656,23.862,23.569,23.844,1056689,0
STZ.US,D,20050930,000000,23.854,24.07,23.602,23.844,671416,0
STZ.US,D,20051003,000000,23.951,24.146,23.569,23.656,1236730,0
STZ.US,D,20051004,000000,23.705,23.769,23.168,23.291,1742608,0
STZ.US,D,20051005,000000,23.06,23.1,21.524,22.199,4873199,0
STZ.US,D,20051006,000000,22.199,22.926,22.055,22.853,1807711,0
STZ.US,D,20051007,000000,23.385,23.569,20.906,21.486,4702317,0
STZ.US,D,20051010,000000,21.898,22.16,21.19,21.393,2720889,0
STZ.US,D,20051011,000000,21.403,21.534,20.805,20.859,2221664,0
STZ.US,D,20051012,000000,21.092,21.543,20.774,20.849,2254707,0
STZ.US,D,20051013,000000,19.393,20.974,19.393,20.404,2209671,0
STZ.US,D,20051014,000000,20.566,20.821,20.404,20.643,1732248,0
STZ.US,D,20051017,000000,20.813,21.285,20.798,21.154,1623201,0
STZ.US,D,20051018,000000,21.32,21.941,20.831,21.003,1839447,0
STZ.US,D,20051019,000000,20.125,21.301,19.761,20.745,1988408,0
