<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWZ.US,D,20050225,000000,3.273,3.2828,3.2565,3.2796,107492,0
SWZ.US,D,20050228,000000,3.2828,3.3027,3.2828,3.2961,48752,0
SWZ.US,D,20050301,000000,3.306,3.3226,3.2828,3.3191,71151,0
SWZ.US,D,20050302,000000,3.3128,3.3191,3.2961,3.3191,57224,0
SWZ.US,D,20050303,000000,3.2994,3.3128,3.2828,3.3027,46935,0
SWZ.US,D,20050304,000000,3.3258,3.3423,3.3128,3.3292,72974,0
SWZ.US,D,20050307,000000,3.306,3.3292,3.306,3.3258,36333,0
SWZ.US,D,20050308,000000,3.3258,3.3258,3.306,3.3191,31186,0
SWZ.US,D,20050309,000000,3.3258,3.3292,3.3128,3.3191,70550,0
SWZ.US,D,20050310,000000,3.3191,3.3358,3.3128,3.3191,34516,0
SWZ.US,D,20050311,000000,3.3292,3.3389,3.3191,3.3389,38756,0
SWZ.US,D,20050314,000000,3.3323,3.3323,3.3092,3.3226,40879,0
SWZ.US,D,20050315,000000,3.3389,3.3522,3.3191,3.3191,90229,0
SWZ.US,D,20050316,000000,3.3226,3.349,3.316,3.3258,68130,0
SWZ.US,D,20050317,000000,3.3323,3.3555,3.3292,3.3555,77813,0
SWZ.US,D,20050318,000000,3.3389,3.3423,3.3292,3.3358,64189,0
SWZ.US,D,20050321,000000,3.3358,3.3358,3.273,3.273,68130,0
SWZ.US,D,20050322,000000,3.2861,3.2861,3.2399,3.2433,56624,0
SWZ.US,D,20050323,000000,3.2267,3.2367,3.197,3.2003,97192,0
SWZ.US,D,20050324,000000,3.2068,3.2499,3.1605,3.2267,156238,0
SWZ.US,D,20050328,000000,3.2068,3.2201,3.197,3.197,64189,0
SWZ.US,D,20050329,000000,3.1772,3.1837,3.1605,3.1706,59949,0
SWZ.US,D,20050330,000000,3.1605,3.2003,3.1605,3.2003,48141,0
SWZ.US,D,20050331,000000,3.197,3.2201,3.197,3.2068,32397,0
SWZ.US,D,20050401,000000,3.2267,3.2267,3.1938,3.2068,22407,0
SWZ.US,D,20050404,000000,3.1837,3.1938,3.1737,3.1938,38154,0
SWZ.US,D,20050405,000000,3.1902,3.2168,3.1772,3.2068,55715,0
SWZ.US,D,20050406,000000,3.2201,3.2267,3.2135,3.2135,39058,0
SWZ.US,D,20050407,000000,3.2201,3.2299,3.2068,3.2267,52982,0
SWZ.US,D,20050408,000000,3.2101,3.2232,3.2101,3.2201,23319,0
SWZ.US,D,20050411,000000,3.2232,3.2367,3.2232,3.2267,35427,0
SWZ.US,D,20050412,000000,3.1938,3.2267,3.1938,3.2201,91443,0
SWZ.US,D,20050413,000000,3.2135,3.2201,3.197,3.2135,29069,0
SWZ.US,D,20050414,000000,3.2068,3.2068,3.1772,3.2068,34516,0
SWZ.US,D,20050415,000000,3.1938,3.2068,3.1706,3.1902,62070,0
SWZ.US,D,20050418,000000,3.1706,3.2003,3.1605,3.197,56014,0
SWZ.US,D,20050419,000000,3.2068,3.2267,3.2068,3.2201,112332,0
SWZ.US,D,20050420,000000,3.2232,3.2232,3.2068,3.2068,34819,0
SWZ.US,D,20050421,000000,3.2068,3.2232,3.197,3.2201,70550,0
SWZ.US,D,20050422,000000,3.2201,3.2232,3.1938,3.2068,34211,0
SWZ.US,D,20050425,000000,3.2135,3.2135,3.1837,3.2003,37543,0
SWZ.US,D,20050426,000000,3.2068,3.2068,3.1938,3.2003,23319,0
SWZ.US,D,20050427,000000,3.1837,3.1837,3.1409,3.1605,50567,0
SWZ.US,D,20050428,000000,3.1605,3.1706,3.1409,3.1474,62978,0
SWZ.US,D,20050429,000000,3.164,3.1772,3.1605,3.1706,26341,0
SWZ.US,D,20050502,000000,3.1772,3.1902,3.164,3.1706,42091,0
SWZ.US,D,20050503,000000,3.1672,3.1837,3.1508,3.1706,78723,0
SWZ.US,D,20050504,000000,3.1772,3.2003,3.1772,3.2003,39965,0
SWZ.US,D,20050505,000000,3.2036,3.2201,3.2036,3.2168,29069,0
SWZ.US,D,20050506,000000,3.2135,3.2135,3.1706,3.197,31795,0
SWZ.US,D,20050509,000000,3.1837,3.1938,3.1706,3.1902,33307,0
SWZ.US,D,20050510,000000,3.1706,3.1772,3.1474,3.1474,71758,0
SWZ.US,D,20050511,000000,3.1706,3.1706,3.1409,3.164,46021,0
SWZ.US,D,20050512,000000,3.164,3.1902,3.1409,3.164,70247,0
SWZ.US,D,20050513,000000,3.164,3.164,3.1409,3.1474,14534,0
SWZ.US,D,20050516,000000,3.1409,3.1605,3.1375,3.154,35727,0
SWZ.US,D,20050517,000000,3.1311,3.154,3.1311,3.144,21193,0
SWZ.US,D,20050518,000000,3.1211,3.164,3.1211,3.164,51772,0
SWZ.US,D,20050519,000000,3.164,3.1837,3.1474,3.1573,33307,0
SWZ.US,D,20050520,000000,3.1573,3.164,3.1277,3.1344,50867,0
SWZ.US,D,20050523,000000,3.1277,3.1508,3.1277,3.1277,52378,0
SWZ.US,D,20050524,000000,3.1409,3.1573,3.1409,3.1474,21500,0
SWZ.US,D,20050525,000000,3.154,3.1772,3.1474,3.1474,75691,0
SWZ.US,D,20050526,000000,3.1706,3.1706,3.1573,3.1573,76300,0
SWZ.US,D,20050527,000000,3.1706,3.2036,3.1706,3.1807,56014,0
SWZ.US,D,20050531,000000,3.1672,3.1807,3.144,3.1508,179246,0
SWZ.US,D,20050601,000000,3.164,3.1837,3.1605,3.1807,94170,0
SWZ.US,D,20050602,000000,3.1873,3.2299,3.1873,3.2232,87503,0
SWZ.US,D,20050603,000000,3.2168,3.2201,3.2003,3.2068,118996,0
SWZ.US,D,20050606,000000,3.2003,3.2168,3.1873,3.2168,43903,0
SWZ.US,D,20050607,000000,3.2299,3.2299,3.2101,3.2267,25131,0
SWZ.US,D,20050608,000000,3.2135,3.2399,3.1873,3.2201,92046,0
SWZ.US,D,20050609,000000,3.2036,3.2168,3.1902,3.2068,38154,0
SWZ.US,D,20050610,000000,3.2201,3.2201,3.1873,3.197,40277,0
SWZ.US,D,20050613,000000,3.197,3.2068,3.1902,3.197,87202,0
SWZ.US,D,20050614,000000,3.2068,3.2068,3.1873,3.2003,62978,0
SWZ.US,D,20050615,000000,3.1902,3.2068,3.1902,3.197,86597,0
SWZ.US,D,20050616,000000,3.2068,3.2101,3.1902,3.197,118996,0
SWZ.US,D,20050617,000000,3.1672,3.2299,3.1672,3.2299,199839,0
SWZ.US,D,20050620,000000,3.2299,3.2299,3.2101,3.2168,73270,0
SWZ.US,D,20050621,000000,3.2135,3.2135,3.1902,3.197,125659,0
SWZ.US,D,20050622,000000,3.1837,3.2201,3.1837,3.2003,137464,0
SWZ.US,D,20050623,000000,3.197,3.2201,3.1837,3.1837,118693,0
SWZ.US,D,20050624,000000,3.2068,3.2201,3.154,3.1605,76605,0
SWZ.US,D,20050627,000000,3.1605,3.1807,3.1375,3.144,59046,0
SWZ.US,D,20050628,000000,3.1211,3.1672,3.1211,3.1311,109910,0
SWZ.US,D,20050629,000000,3.154,3.1605,3.1277,3.144,139587,0
SWZ.US,D,20050630,000000,3.1672,3.1837,3.144,3.164,50567,0
SWZ.US,D,20050701,000000,3.164,3.1672,3.1375,3.154,44815,0
SWZ.US,D,20050705,000000,3.1311,3.1605,3.1211,3.1277,123230,0
SWZ.US,D,20050706,000000,3.1508,3.1508,3.1146,3.1178,52684,0
SWZ.US,D,20050707,000000,3.1079,3.1244,3.098,3.1146,42996,0
SWZ.US,D,20050708,000000,3.1311,3.1474,3.1045,3.1178,127775,0
SWZ.US,D,20050711,000000,3.1409,3.154,3.1311,3.154,95377,0
