<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXT.US,D,20050225,000000,17.3,17.815,17.283,17.717,235303,0
SXT.US,D,20050228,000000,17.668,17.808,17.508,17.543,230203,0
SXT.US,D,20050301,000000,17.543,18.185,17.516,18.048,339640,0
SXT.US,D,20050302,000000,18.048,18.291,17.921,18.12,328187,0
SXT.US,D,20050303,000000,18.264,18.427,17.994,18.322,312003,0
SXT.US,D,20050304,000000,18.465,18.611,18.385,18.523,178533,0
SXT.US,D,20050307,000000,18.473,18.657,18.353,18.417,142807,0
SXT.US,D,20050308,000000,18.376,18.642,18.057,18.249,233686,0
SXT.US,D,20050309,000000,18.256,18.473,18.082,18.216,143305,0
SXT.US,D,20050310,000000,18.299,18.376,17.994,18.024,136330,0
SXT.US,D,20050311,000000,18.017,18.353,17.751,17.911,238794,0
SXT.US,D,20050314,000000,17.959,18.299,17.894,18.072,193106,0
SXT.US,D,20050315,000000,18.152,18.299,17.726,17.726,225846,0
SXT.US,D,20050316,000000,17.736,17.824,17.315,17.452,327562,0
SXT.US,D,20050317,000000,17.482,17.516,16.875,17.43,385579,0
SXT.US,D,20050318,000000,17.55,17.55,17.204,17.407,461900,0
SXT.US,D,20050321,000000,17.308,17.308,16.818,17.011,392182,0
SXT.US,D,20050322,000000,17.132,17.43,17.085,17.125,171935,0
SXT.US,D,20050323,000000,17.085,17.268,16.964,17.002,96986,0
SXT.US,D,20050324,000000,17.109,17.151,16.928,16.936,233062,0
SXT.US,D,20050328,000000,16.956,16.98,16.741,16.825,291211,0
SXT.US,D,20050329,000000,16.665,17.066,16.225,16.553,552293,0
SXT.US,D,20050330,000000,16.546,17.252,16.531,17.252,475346,0
SXT.US,D,20050331,000000,17.214,17.315,17.125,17.315,259961,0
SXT.US,D,20050401,000000,17.315,17.393,16.665,16.948,340763,0
SXT.US,D,20050404,000000,16.756,17.109,16.71,17.066,300424,0
SXT.US,D,20050405,000000,17.066,17.066,16.692,16.875,319227,0
SXT.US,D,20050406,000000,16.936,17.066,16.718,16.866,314990,0
SXT.US,D,20050407,000000,16.786,17.118,16.718,16.988,123379,0
SXT.US,D,20050408,000000,16.988,17.085,16.763,16.851,215511,0
SXT.US,D,20050411,000000,16.584,16.734,16.466,16.683,273657,0
SXT.US,D,20050412,000000,16.683,17.599,16.515,17.468,520420,0
SXT.US,D,20050413,000000,17.477,17.599,16.749,16.786,361557,0
SXT.US,D,20050414,000000,16.756,16.948,16.642,16.642,267054,0
SXT.US,D,20050415,000000,16.65,16.749,16.343,16.466,301296,0
SXT.US,D,20050418,000000,16.383,16.7,16.234,16.474,434387,0
SXT.US,D,20050419,000000,16.466,16.546,16.417,16.474,249006,0
SXT.US,D,20050420,000000,16.466,16.553,16.435,16.459,370269,0
SXT.US,D,20050421,000000,16.539,16.851,16.491,16.683,197956,0
SXT.US,D,20050422,000000,16.625,16.683,16.276,16.4,208912,0
SXT.US,D,20050425,000000,16.459,16.546,16.367,16.508,145540,0
SXT.US,D,20050426,000000,16.515,16.601,16.2,16.217,213517,0
SXT.US,D,20050427,000000,16.136,16.435,15.855,16.36,241409,0
SXT.US,D,20050428,000000,16.284,16.284,15.951,15.951,278760,0
SXT.US,D,20050429,000000,16.033,16.103,15.776,16.074,288221,0
SXT.US,D,20050502,000000,16.126,16.21,15.901,16.119,200571,0
SXT.US,D,20050503,000000,16.082,16.258,15.999,16.136,284860,0
SXT.US,D,20050504,000000,16.21,16.5,16.05,16.459,186879,0
SXT.US,D,20050505,000000,16.508,16.608,16.299,16.443,255475,0
SXT.US,D,20050506,000000,16.367,16.459,16.2,16.267,114790,0
SXT.US,D,20050509,000000,16.29,16.451,16.217,16.417,134959,0
SXT.US,D,20050510,000000,16.383,16.383,16.05,16.16,226718,0
SXT.US,D,20050511,000000,16.191,16.417,15.901,16.36,197331,0
SXT.US,D,20050512,000000,16.383,16.459,15.951,15.99,261700,0
SXT.US,D,20050513,000000,16.017,16.096,15.701,15.87,160852,0
SXT.US,D,20050516,000000,15.91,16.175,15.91,16.175,125994,0
SXT.US,D,20050517,000000,16.096,16.329,15.968,16.312,153509,0
SXT.US,D,20050518,000000,16.383,16.657,16.383,16.65,243903,0
SXT.US,D,20050519,000000,16.601,16.657,16.234,16.41,129853,0
SXT.US,D,20050520,000000,16.41,16.466,16.225,16.41,77687,0
SXT.US,D,20050523,000000,16.41,16.584,16.343,16.57,120515,0
SXT.US,D,20050524,000000,16.561,16.617,16.4,16.546,161102,0
SXT.US,D,20050525,000000,16.491,16.491,15.977,16.126,279507,0
SXT.US,D,20050526,000000,16.167,16.625,16.167,16.608,148654,0
SXT.US,D,20050527,000000,16.625,16.692,16.474,16.546,227837,0
SXT.US,D,20050531,000000,16.561,16.608,16.343,16.343,110309,0
SXT.US,D,20050601,000000,16.312,16.71,16.312,16.608,127364,0
SXT.US,D,20050602,000000,16.601,16.601,16.392,16.515,128110,0
SXT.US,D,20050603,000000,16.546,16.683,16.29,16.29,220241,0
SXT.US,D,20050606,000000,16.267,16.617,16.225,16.617,193222,0
SXT.US,D,20050607,000000,16.608,16.866,16.608,16.718,234936,0
SXT.US,D,20050608,000000,16.741,16.818,16.531,16.531,270915,0
SXT.US,D,20050609,000000,16.601,16.756,16.343,16.718,210655,0
SXT.US,D,20050610,000000,16.749,16.763,16.633,16.692,91009,0
SXT.US,D,20050613,000000,16.726,16.778,16.546,16.718,122010,0
SXT.US,D,20050614,000000,16.71,16.944,16.692,16.875,180029,0
SXT.US,D,20050615,000000,16.91,17.066,16.683,17.026,188744,0
SXT.US,D,20050616,000000,17.019,17.118,16.91,17.118,179286,0
SXT.US,D,20050617,000000,17.227,17.227,16.756,17.002,428534,0
SXT.US,D,20050620,000000,16.98,17.142,16.786,17.002,122882,0
SXT.US,D,20050621,000000,16.972,17.118,16.883,16.994,156124,0
SXT.US,D,20050622,000000,17.041,17.268,16.948,17.268,133215,0
SXT.US,D,20050623,000000,17.204,17.252,16.531,16.531,220616,0
SXT.US,D,20050624,000000,16.539,16.617,16.284,16.508,217503,0
SXT.US,D,20050627,000000,16.5,16.553,16.183,16.491,172310,0
SXT.US,D,20050628,000000,16.546,16.994,16.546,16.936,147660,0
SXT.US,D,20050629,000000,16.944,17.011,16.741,16.866,120393,0
SXT.US,D,20050630,000000,16.919,16.948,16.553,16.553,229956,0
SXT.US,D,20050701,000000,16.633,16.936,16.608,16.892,135458,0
SXT.US,D,20050705,000000,16.841,17.085,16.625,16.956,167207,0
SXT.US,D,20050706,000000,16.956,17.066,16.851,16.948,238423,0
SXT.US,D,20050707,000000,16.901,17.057,16.665,17.019,177416,0
SXT.US,D,20050708,000000,17.019,17.437,16.988,17.407,209287,0
SXT.US,D,20050711,000000,17.407,17.736,17.407,17.593,246515,0
SXT.US,D,20050712,000000,17.585,17.775,17.452,17.535,192482,0
SXT.US,D,20050713,000000,17.535,17.64,17.332,17.407,182767,0
SXT.US,D,20050714,000000,17.593,17.66,17.35,17.445,196468,0
SXT.US,D,20050715,000000,17.414,17.422,17.142,17.332,230953,0
SXT.US,D,20050718,000000,17.332,17.332,15.3,15.96,1493273,0
SXT.US,D,20050719,000000,16.16,16.16,15.339,15.431,564739,0
SXT.US,D,20050720,000000,15.436,15.501,15.122,15.212,476093,0
SXT.US,D,20050721,000000,15.221,15.365,15.02,15.107,376497,0
SXT.US,D,20050722,000000,15.181,15.198,15.076,15.147,641928,0
SXT.US,D,20050725,000000,15.256,15.308,15.13,15.262,447461,0
SXT.US,D,20050726,000000,15.256,15.461,15.147,15.339,352093,0
