<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAP-A.US,D,20211012,000000,56.08,57.5,56.08,57.5,690,0
TAP-A.US,D,20211013,000000,54.5,58.28,54.5,58.28,1413,0
TAP-A.US,D,20211014,000000,58.8,62.9,56.14,61.8,3183,0
TAP-A.US,D,20211015,000000,63.62,63.62,63.62,63.62,378,0
TAP-A.US,D,20211019,000000,62,62,62,62,464,0
TAP-A.US,D,20211020,000000,54.62,58,54.62,58,1236,0
TAP-A.US,D,20211021,000000,60.8,60.8,60.8,60.8,598,0
TAP-A.US,D,20211022,000000,60.5,60.5,60.5,60.5,240,0
TAP-A.US,D,20211025,000000,57,57,57,57,458,0
TAP-A.US,D,20211026,000000,58.03,58.03,58,58,254,0
TAP-A.US,D,20211027,000000,58.27,58.5,56.1,56.1,440,0
TAP-A.US,D,20211101,000000,57,57,57,57,228,0
TAP-A.US,D,20211102,000000,58,58,58,58,448,0
TAP-A.US,D,20211104,000000,55.35,55.35,55.35,55.35,136,0
TAP-A.US,D,20211109,000000,56,56,56,56,114,0
TAP-A.US,D,20211111,000000,56,56,56,56,112,0
TAP-A.US,D,20211112,000000,56,56,56,56,209,0
TAP-A.US,D,20211117,000000,53.5,55.85,53.5,55.85,909,0
TAP-A.US,D,20211118,000000,56.5,56.5,56.5,56.5,472,0
TAP-A.US,D,20211119,000000,54,54.7,54,54.7,410,0
TAP-A.US,D,20211122,000000,55,55.3,55,55.3,498,0
TAP-A.US,D,20211123,000000,53,53,53,53,213,0
TAP-A.US,D,20211124,000000,53.4558,55.5,53.4558,55.5,628,0
TAP-A.US,D,20211126,000000,52.5,52.5,52.5,52.5,486,0
TAP-A.US,D,20211129,000000,56.5,56.5,56.5,56.5,530,0
TAP-A.US,D,20211130,000000,53.99,54,53.41,53.41,603,0
TAP-A.US,D,20211201,000000,54.86,54.86,54.86,54.86,525,0
TAP-A.US,D,20211202,000000,61.65,61.65,56.5,57.09,1191,0
TAP-A.US,D,20211203,000000,57.5,57.5,54.6,54.6,518,0
TAP-A.US,D,20211206,000000,56.5,56.5,56.5,56.5,150,0
TAP-A.US,D,20211209,000000,60,60,60,60,250,0
TAP-A.US,D,20211213,000000,56.93,58,56.16,58,1048,0
TAP-A.US,D,20211214,000000,55,55,55,55,108,0
TAP-A.US,D,20211217,000000,53.5,54.5,53.5,54.5,339,0
TAP-A.US,D,20211221,000000,56.5,57,56.5,57,444,0
TAP-A.US,D,20211227,000000,55.5,55.6,55.5,55.6,420,0
TAP-A.US,D,20211228,000000,57.5,57.5,57.5,57.5,317,0
TAP-A.US,D,20211230,000000,55.5,55.5,55.5,55.5,316,0
TAP-A.US,D,20211231,000000,57.35,58,57.35,58,853,0
TAP-A.US,D,20220103,000000,56.75,57,56,57,969,0
TAP-A.US,D,20220104,000000,58.5,58.5,58,58,620,0
TAP-A.US,D,20220107,000000,56.75,56.75,56,56.05,881,0
TAP-A.US,D,20220110,000000,58,58,57.95,57.95,465,0
TAP-A.US,D,20220111,000000,57.83,57.83,56,56,299,0
TAP-A.US,D,20220112,000000,59.49,59.49,55,56.3,906,0
TAP-A.US,D,20220113,000000,58.7,59,58.5,58.5,368,0
TAP-A.US,D,20220118,000000,59.5,59.5,58,59.29,687,0
TAP-A.US,D,20220120,000000,58,58,56.5,57.1,919,0
