<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEI.US,D,20050225,000000,5.0357,5.0676,5.0237,5.0634,169220,0
TEI.US,D,20050228,000000,5.0991,5.1031,5.032,5.0797,285734,0
TEI.US,D,20050301,000000,5.0991,5.0991,5.0518,5.0556,219913,0
TEI.US,D,20050302,000000,5.0797,5.0916,5.0518,5.0595,152579,0
TEI.US,D,20050303,000000,5.1191,5.1191,5.0595,5.0832,206799,0
TEI.US,D,20050304,000000,5.0832,5.0916,5.0595,5.0754,191918,0
TEI.US,D,20050307,000000,5.0754,5.0832,5.0479,5.0595,247146,0
TEI.US,D,20050308,000000,5.0595,5.1031,5.0595,5.0832,174515,0
TEI.US,D,20050309,000000,5.1669,5.1707,5.1191,5.1707,505903,0
TEI.US,D,20050310,000000,5.1548,5.1825,5.1352,5.1508,391155,0
TEI.US,D,20050311,000000,5.1428,5.1988,5.1074,5.1111,237562,0
TEI.US,D,20050314,000000,5.0714,5.0832,5.0116,5.0116,395697,0
TEI.US,D,20050315,000000,5.0237,5.0479,5.0001,5.0001,284724,0
TEI.US,D,20050316,000000,5.0044,5.0201,4.8099,4.8135,473878,0
TEI.US,D,20050317,000000,4.8058,4.9407,4.8058,4.8217,356601,0
TEI.US,D,20050318,000000,4.8375,4.8813,4.7979,4.7979,377533,0
TEI.US,D,20050321,000000,4.8016,4.8254,4.7105,4.79,477398,0
TEI.US,D,20050322,000000,4.7819,4.8695,4.7503,4.7862,306160,0
TEI.US,D,20050323,000000,4.7027,4.7027,4.437,4.4647,1216581,0
TEI.US,D,20050324,000000,4.4647,4.6076,4.3421,4.5877,635271,0
TEI.US,D,20050328,000000,4.5721,4.6076,4.5242,4.6032,258752,0
TEI.US,D,20050329,000000,4.5678,4.5839,4.4766,4.4925,311965,0
TEI.US,D,20050330,000000,4.4925,4.5877,4.4925,4.556,187375,0
TEI.US,D,20050331,000000,4.5757,4.6909,4.5678,4.6752,203518,0
TEI.US,D,20050401,000000,4.6829,4.8016,4.6234,4.6393,207553,0
TEI.US,D,20050404,000000,4.6672,4.6672,4.5839,4.5877,127860,0
TEI.US,D,20050405,000000,4.5839,4.6076,4.564,4.5999,165945,0
TEI.US,D,20050406,000000,4.5919,4.6353,4.5797,4.6076,137701,0
TEI.US,D,20050407,000000,4.6076,4.6434,4.5919,4.6197,135931,0
TEI.US,D,20050408,000000,4.6197,4.6989,4.6197,4.6471,147280,0
TEI.US,D,20050411,000000,4.6829,4.7466,4.6633,4.6989,203518,0
TEI.US,D,20050412,000000,4.7105,4.7105,4.6234,4.6434,127608,0
TEI.US,D,20050413,000000,4.6752,4.7305,4.6434,4.6471,122309,0
TEI.US,D,20050414,000000,4.6076,4.6076,4.5757,4.5956,180322,0
TEI.US,D,20050415,000000,4.5877,4.6672,4.5757,4.6156,222184,0
TEI.US,D,20050418,000000,4.6234,4.7623,4.5919,4.7582,227731,0
TEI.US,D,20050419,000000,4.7782,4.8058,4.7345,4.8058,252194,0
TEI.US,D,20050420,000000,4.8058,4.8058,4.7819,4.8016,205539,0
TEI.US,D,20050421,000000,4.8179,4.8179,4.7466,4.7782,290779,0
TEI.US,D,20050422,000000,4.7543,4.8058,4.7345,4.7819,124580,0
TEI.US,D,20050425,000000,4.7979,4.8135,4.7147,4.7423,208310,0
TEI.US,D,20050426,000000,4.7466,4.7466,4.6752,4.7222,141476,0
TEI.US,D,20050427,000000,4.7188,4.7503,4.6791,4.7105,130889,0
TEI.US,D,20050428,000000,4.7188,4.7782,4.6514,4.7188,224706,0
TEI.US,D,20050429,000000,4.7188,4.7466,4.6909,4.7383,161653,0
TEI.US,D,20050502,000000,4.7305,4.7782,4.6591,4.6989,166447,0
TEI.US,D,20050503,000000,4.6633,4.7147,4.6514,4.6514,166948,0
TEI.US,D,20050504,000000,4.6553,4.7147,4.6353,4.7105,177296,0
TEI.US,D,20050505,000000,4.7105,4.7423,4.6909,4.7222,180322,0
TEI.US,D,20050506,000000,4.7222,4.7423,4.6076,4.6274,146022,0
TEI.US,D,20050509,000000,4.5797,4.5919,4.5166,4.5364,409061,0
TEI.US,D,20050510,000000,4.5364,4.6393,4.5202,4.6353,258496,0
TEI.US,D,20050511,000000,4.6314,4.6434,4.5919,4.5999,141228,0
TEI.US,D,20050512,000000,4.5919,4.6434,4.5521,4.564,148542,0
TEI.US,D,20050513,000000,4.5757,4.6076,4.5166,4.5166,161653,0
TEI.US,D,20050516,000000,4.5126,4.5166,4.4766,4.4966,234290,0
TEI.US,D,20050517,000000,4.4966,4.5202,4.4925,4.5045,162912,0
TEI.US,D,20050518,000000,4.5126,4.6032,4.5126,4.5521,193936,0
TEI.US,D,20050519,000000,4.5521,4.6553,4.5521,4.6553,120297,0
TEI.US,D,20050520,000000,4.6672,4.6672,4.6234,4.6434,112231,0
TEI.US,D,20050523,000000,4.6553,4.6752,4.6076,4.6076,171239,0
TEI.US,D,20050524,000000,4.6116,4.7027,4.6116,4.6948,161404,0
TEI.US,D,20050525,000000,4.6948,4.7582,4.6752,4.7582,186621,0
TEI.US,D,20050526,000000,4.7582,4.7782,4.7466,4.7782,229243,0
TEI.US,D,20050527,000000,4.7782,4.7819,4.7267,4.7742,173769,0
TEI.US,D,20050531,000000,4.7979,4.8016,4.7305,4.7466,159888,0
TEI.US,D,20050601,000000,4.7305,4.8695,4.7305,4.8338,189649,0
TEI.US,D,20050602,000000,4.8695,4.9568,4.8495,4.9089,184859,0
TEI.US,D,20050603,000000,4.9089,4.9603,4.8813,4.9089,137444,0
TEI.US,D,20050606,000000,4.9445,4.9603,4.794,4.8254,191918,0
TEI.US,D,20050607,000000,4.8813,4.9407,4.8613,4.8695,113229,0
TEI.US,D,20050608,000000,4.9048,4.9445,4.8775,4.9369,165945,0
TEI.US,D,20050609,000000,4.9369,4.9445,4.9048,4.9326,120799,0
TEI.US,D,20050610,000000,4.9089,5.0078,4.9089,4.9959,145767,0
TEI.US,D,20050613,000000,4.9959,5.0001,4.9445,4.9568,195449,0
TEI.US,D,20050614,000000,4.9603,4.9803,4.8891,4.9011,134677,0
TEI.US,D,20050615,000000,4.8573,4.8654,4.79,4.8338,300115,0
TEI.US,D,20050616,000000,4.7979,4.9168,4.794,4.8775,245392,0
TEI.US,D,20050617,000000,4.8775,4.9048,4.8573,4.9048,213111,0
TEI.US,D,20050620,000000,4.9048,4.9211,4.8732,4.9089,164176,0
TEI.US,D,20050621,000000,4.9089,4.9369,4.8732,4.9326,170728,0
TEI.US,D,20050622,000000,4.9684,4.9723,4.9211,4.9603,188636,0
TEI.US,D,20050623,000000,4.9603,5.0078,4.9445,4.9445,188138,0
TEI.US,D,20050624,000000,4.9568,5.0044,4.9048,4.9369,215373,0
TEI.US,D,20050627,000000,4.9369,4.9803,4.9089,4.9244,199492,0
TEI.US,D,20050628,000000,4.8654,4.9128,4.8298,4.8732,191673,0
TEI.US,D,20050629,000000,4.9244,4.9244,4.8533,4.9011,147535,0
TEI.US,D,20050630,000000,4.8775,4.9484,4.8775,4.9168,115001,0
TEI.US,D,20050701,000000,4.9445,4.9527,4.8695,4.9089,105420,0
TEI.US,D,20050705,000000,4.8891,4.9011,4.8298,4.8654,136437,0
TEI.US,D,20050706,000000,4.8732,4.8732,4.7623,4.8375,333149,0
TEI.US,D,20050707,000000,4.79,4.8533,4.7661,4.7819,209065,0
TEI.US,D,20050708,000000,4.8338,4.8338,4.7782,4.7979,230252,0
TEI.US,D,20050711,000000,4.8254,4.8254,4.7701,4.794,237821,0
TEI.US,D,20050712,000000,4.8254,4.9048,4.8058,4.8417,278170,0
TEI.US,D,20050713,000000,4.794,4.9089,4.794,4.9048,206799,0
TEI.US,D,20050714,000000,4.9089,4.9289,4.8695,4.8932,199227,0
TEI.US,D,20050715,000000,4.9369,4.9445,4.8775,4.8969,158879,0
TEI.US,D,20050718,000000,4.8891,4.9527,4.8453,4.8495,219658,0
TEI.US,D,20050719,000000,4.8654,4.8891,4.8375,4.8375,168720,0
TEI.US,D,20050720,000000,4.8654,4.8891,4.8338,4.8732,144249,0
TEI.US,D,20050721,000000,4.8852,4.9244,4.8573,4.8852,146273,0
TEI.US,D,20050722,000000,4.9168,4.9211,4.8417,4.8417,143750,0
TEI.US,D,20050725,000000,4.8298,4.8495,4.8058,4.8375,139213,0
TEI.US,D,20050726,000000,4.9089,4.9089,4.8179,4.8179,198223,0
TEI.US,D,20050727,000000,4.8179,4.8775,4.794,4.8298,128618,0
TEI.US,D,20050728,000000,4.8654,4.8891,4.8375,4.8813,106432,0
TEI.US,D,20050729,000000,4.8891,4.9369,4.8417,4.9089,139965,0
TEI.US,D,20050801,000000,4.8932,4.9369,4.8695,4.8969,139716,0
TEI.US,D,20050802,000000,4.8969,4.9168,4.8732,4.8852,128618,0
TEI.US,D,20050803,000000,4.8891,4.9484,4.8654,4.9089,213111,0
TEI.US,D,20050804,000000,4.8775,4.9011,4.8417,4.8654,239587,0
TEI.US,D,20050805,000000,4.8695,4.8695,4.8016,4.8533,221935,0
TEI.US,D,20050808,000000,4.8375,4.8495,4.7742,4.8099,292794,0
TEI.US,D,20050809,000000,4.8099,4.8453,4.7782,4.8453,205786,0
TEI.US,D,20050810,000000,4.8453,4.8654,4.8179,4.8573,211848,0
TEI.US,D,20050811,000000,4.8573,4.9089,4.8453,4.9089,133659,0
TEI.US,D,20050812,000000,4.8969,4.9128,4.8654,4.9048,128116,0
TEI.US,D,20050815,000000,4.8891,4.8969,4.8533,4.8775,133412,0
TEI.US,D,20050816,000000,4.8891,4.8891,4.8573,4.8654,134169,0
TEI.US,D,20050817,000000,4.8533,4.8732,4.8099,4.8179,96598,0
TEI.US,D,20050818,000000,4.79,4.8495,4.79,4.8375,116013,0
TEI.US,D,20050819,000000,4.8533,4.8654,4.8099,4.8573,86751,0
TEI.US,D,20050822,000000,4.8338,4.8654,4.8254,4.8375,230252,0
TEI.US,D,20050823,000000,4.8533,4.8533,4.8217,4.8417,109704,0
TEI.US,D,20050824,000000,4.8375,4.8417,4.8099,4.8254,112736,0
TEI.US,D,20050825,000000,4.8099,4.8298,4.8016,4.8135,128618,0
TEI.US,D,20050826,000000,4.8417,4.8417,4.79,4.8298,249168,0
TEI.US,D,20050829,000000,4.8135,4.8298,4.7701,4.79,255468,0
TEI.US,D,20050830,000000,4.7782,4.7862,4.7466,4.7543,220921,0
TEI.US,D,20050831,000000,4.7466,4.7543,4.6948,4.7188,314239,0
TEI.US,D,20050901,000000,4.7267,4.7742,4.7267,4.7503,184859,0
TEI.US,D,20050902,000000,4.7543,4.794,4.7543,4.7782,130376,0
TEI.US,D,20050906,000000,4.7979,4.8099,4.7819,4.8058,159393,0
TEI.US,D,20050907,000000,4.8058,4.8099,4.7701,4.8016,206038,0
TEI.US,D,20050908,000000,4.7819,4.8217,4.7819,4.8217,127354,0
TEI.US,D,20050909,000000,4.8016,4.8254,4.7819,4.8135,169476,0
TEI.US,D,20050912,000000,4.8135,4.8254,4.7819,4.7979,189146,0
TEI.US,D,20050913,000000,4.8179,4.8254,4.7819,4.79,142744,0
TEI.US,D,20050914,000000,4.7819,4.8135,4.7819,4.7819,168720,0
TEI.US,D,20050915,000000,4.7819,4.8179,4.7819,4.8099,175273,0
TEI.US,D,20050916,000000,4.8375,4.8695,4.8217,4.8695,187132,0
TEI.US,D,20050919,000000,4.8695,4.9048,4.8573,4.9048,160141,0
TEI.US,D,20050920,000000,4.9048,4.9089,4.8338,4.8891,218904,0
TEI.US,D,20050921,000000,4.8533,4.8932,4.8453,4.8891,203518,0
TEI.US,D,20050922,000000,4.8775,4.8932,4.8573,4.8891,145767,0
TEI.US,D,20050923,000000,4.9011,4.9244,4.79,4.8217,233784,0
TEI.US,D,20050926,000000,4.7862,4.8775,4.7862,4.8775,155856,0
TEI.US,D,20050927,000000,4.9011,4.9011,4.8775,4.8775,154851,0
TEI.US,D,20050928,000000,4.79,4.8654,4.7503,4.8135,265308,0
TEI.US,D,20050929,000000,4.8016,4.8375,4.7543,4.8099,191411,0
TEI.US,D,20050930,000000,4.8135,4.8533,4.7819,4.8533,227731,0
TEI.US,D,20051003,000000,4.8732,4.9484,4.8695,4.9089,269091,0
TEI.US,D,20051004,000000,4.9089,4.9089,4.8654,4.8775,91549,0
TEI.US,D,20051005,000000,4.8775,4.8775,4.8099,4.8179,141736,0
TEI.US,D,20051006,000000,4.8099,4.8099,4.7069,4.7105,153836,0
TEI.US,D,20051007,000000,4.7222,4.7701,4.7105,4.7305,213861,0
TEI.US,D,20051010,000000,4.7742,4.7819,4.6633,4.6633,217645,0
TEI.US,D,20051011,000000,4.6989,4.7623,4.6909,4.7105,200240,0
TEI.US,D,20051012,000000,4.7345,4.7345,4.5956,4.6076,285987,0
TEI.US,D,20051013,000000,4.6076,4.6672,4.4294,4.5242,291788,0
TEI.US,D,20051014,000000,4.5919,4.6553,4.5721,4.6234,370220,0
TEI.US,D,20051017,000000,4.6591,4.6948,4.5757,4.6353,279679,0
TEI.US,D,20051018,000000,4.6032,4.6752,4.5877,4.6633,155349,0
TEI.US,D,20051019,000000,4.6553,4.7423,4.6234,4.7305,208310,0
TEI.US,D,20051020,000000,4.6829,4.7305,4.6353,4.6393,207308,0
TEI.US,D,20051021,000000,4.6829,4.6948,4.6393,4.6471,171736,0
TEI.US,D,20051024,000000,4.6434,4.7782,4.6434,4.7383,148291,0
TEI.US,D,20051025,000000,4.7979,4.7979,4.7105,4.7623,139213,0
TEI.US,D,20051026,000000,4.7267,4.7423,4.6948,4.6948,103146,0
TEI.US,D,20051027,000000,4.6829,4.7267,4.6829,4.6909,95829,0
TEI.US,D,20051028,000000,4.7105,4.7466,4.6867,4.6867,90038,0
TEI.US,D,20051031,000000,4.7222,4.7782,4.6867,4.7188,135170,0
TEI.US,D,20051101,000000,4.7105,4.7742,4.6867,4.7423,158879,0
TEI.US,D,20051102,000000,4.7188,4.7819,4.7188,4.7423,92301,0
TEI.US,D,20051103,000000,4.7423,4.7782,4.7345,4.7345,108440,0
TEI.US,D,20051104,000000,4.7069,4.7423,4.7027,4.7027,86500,0
TEI.US,D,20051107,000000,4.7027,4.7222,4.6948,4.7027,73141,0
TEI.US,D,20051108,000000,4.6829,4.7222,4.6672,4.6791,153579,0
TEI.US,D,20051109,000000,4.6591,4.7188,4.6116,4.6314,182589,0
TEI.US,D,20051110,000000,4.5839,4.6234,4.5721,4.6032,219155,0
TEI.US,D,20051111,000000,4.5757,4.5919,4.5399,4.564,229243,0
TEI.US,D,20051114,000000,4.5399,4.6076,4.5399,4.5877,209317,0
TEI.US,D,20051115,000000,4.5877,4.6752,4.5877,4.6274,230760,0
TEI.US,D,20051116,000000,4.6274,4.6672,4.5919,4.6234,135170,0
