<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TKC.US,D,20050225,000000,8.5565,8.628,8.4672,8.5857,1891769,0
TKC.US,D,20050228,000000,8.6125,8.6541,8.4529,8.5087,731231,0
TKC.US,D,20050301,000000,8.4176,8.4255,8.2791,8.3488,680196,0
TKC.US,D,20050302,000000,8.16,8.3208,8.1269,8.2652,565042,0
TKC.US,D,20050303,000000,8.4113,8.4882,8.3001,8.4325,479696,0
TKC.US,D,20050304,000000,8.4672,8.7113,8.4529,8.6758,737236,0
TKC.US,D,20050307,000000,8.6488,8.6758,8.537,8.5643,228162,0
TKC.US,D,20050308,000000,8.3974,8.3974,8.2094,8.2588,372906,0
TKC.US,D,20050309,000000,8.1823,8.2094,7.9876,7.9876,659181,0
TKC.US,D,20050310,000000,7.9519,8.0837,7.8624,7.9244,1091057,0
TKC.US,D,20050311,000000,8.0283,8.2442,8.0283,8.2094,643095,0
TKC.US,D,20050314,000000,7.9244,7.9802,7.855,7.9244,375908,0
TKC.US,D,20050315,000000,7.834,7.9244,7.3607,7.4859,1112502,0
TKC.US,D,20050316,000000,7.1102,7.2495,6.9223,7.1799,2060960,0
TKC.US,D,20050317,000000,7.0893,7.535,6.9919,7.4655,2404702,0
TKC.US,D,20050318,000000,7.4584,7.5068,7.3469,7.4164,654462,0
TKC.US,D,20050321,000000,7.1382,7.2215,7.0615,7.1382,642668,0
TKC.US,D,20050322,000000,7.3746,7.7575,7.3746,7.4025,2430866,0
TKC.US,D,20050323,000000,7.3676,7.7303,7.3676,7.6319,1603136,0
TKC.US,D,20050324,000000,7.9519,8.0216,7.834,7.9519,1555315,0
TKC.US,D,20050328,000000,7.9725,7.9725,7.702,7.7849,633877,0
TKC.US,D,20050329,000000,7.4584,7.5068,7.3607,7.4584,671189,0
TKC.US,D,20050330,000000,7.5553,7.764,7.4787,7.764,498783,0
TKC.US,D,20050331,000000,7.9519,8.0837,7.9037,7.9658,1790126,0
TKC.US,D,20050401,000000,8.2519,8.293,7.9244,8.0216,1092774,0
TKC.US,D,20050404,000000,7.8825,7.9037,7.7431,7.7713,1189914,0
TKC.US,D,20050405,000000,7.9244,7.9725,7.8125,7.868,696920,0
TKC.US,D,20050406,000000,7.9658,8.015,7.855,7.9244,347602,0
TKC.US,D,20050407,000000,7.9244,8.1047,7.834,8.0707,772834,0
TKC.US,D,20050408,000000,7.9244,7.9725,7.8825,7.9594,340954,0
TKC.US,D,20050411,000000,7.8125,7.8125,7.6319,7.7431,598495,0
TKC.US,D,20050412,000000,7.6391,8.154,7.6109,7.834,728228,0
TKC.US,D,20050413,000000,7.8406,7.8896,7.7504,7.7921,422868,0
TKC.US,D,20050414,000000,7.6039,7.6874,7.4859,7.535,814647,0
TKC.US,D,20050415,000000,7.1799,7.2495,7.0963,7.2215,1577832,0
TKC.US,D,20050418,000000,6.9501,7.1451,6.9501,7.1102,1472115,0
TKC.US,D,20050419,000000,7.3469,7.5764,7.2495,7.535,866327,0
TKC.US,D,20050420,000000,7.4859,7.4928,7.2773,7.3051,924654,0
TKC.US,D,20050421,000000,7.5764,7.6737,7.535,7.6673,463614,0
TKC.US,D,20050422,000000,7.6673,7.6737,7.5068,7.66,546386,0
TKC.US,D,20050425,000000,7.7713,7.8477,7.702,7.8406,376551,0
TKC.US,D,20050426,000000,7.7849,7.7849,7.5695,7.5906,668616,0
TKC.US,D,20050427,000000,7.3469,7.3954,7.3051,7.3954,805858,0
TKC.US,D,20050428,000000,7.1799,7.319,7.1382,7.1659,2248164,0
TKC.US,D,20050429,000000,7.1589,7.326,7.1589,7.2563,824727,0
TKC.US,D,20050502,000000,7.3051,7.4513,7.2773,7.3331,352747,0
TKC.US,D,20050503,000000,7.2495,7.3469,7.1939,7.2495,323800,0
