<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMFX.US,D,20220103,000000,20,20,19.7,19.8617,53252,0
TMFX.US,D,20220104,000000,20,20,19.4501,19.63,21216,0
TMFX.US,D,20220105,000000,19.6,19.68,18.8897,18.8897,10034,0
TMFX.US,D,20220106,000000,20,20,18.64,18.8984,24949,0
TMFX.US,D,20220107,000000,19.09,19.15,18.77,18.7885,18402,0
TMFX.US,D,20220110,000000,19.92,19.92,18.2,18.72,163409,0
TMFX.US,D,20220111,000000,18.91,19.189,18.66,19.02,165799,0
TMFX.US,D,20220112,000000,19.33,19.33,18.7597,18.84,273836,0
TMFX.US,D,20220113,000000,19.05,19.05,18.38,18.415,112144,0
TMFX.US,D,20220114,000000,18.4,18.59,18.005,18.34,174039,0
TMFX.US,D,20220118,000000,18.98,19.01,17.84,17.87,115919,0
TMFX.US,D,20220119,000000,18.13,18.13,17.7,17.7,37737,0
TMFX.US,D,20220120,000000,17.89,18.16,17.4493,17.46,42342,0
TMFX.US,D,20220121,000000,17.42,17.61,17.02,17.0202,145269,0
