<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIS-WS.US,D,20211210,000000,0.5,0.55,0.48,0.55,18809,0
TRIS-WS.US,D,20211213,000000,0.58,0.58,0.55,0.5599,2980,0
TRIS-WS.US,D,20211214,000000,0.5599,0.5599,0.4928,0.5198,4600,0
TRIS-WS.US,D,20211215,000000,0.5498,0.5499,0.5198,0.525231,20064,0
TRIS-WS.US,D,20211217,000000,0.5299,0.5299,0.5299,0.5299,1300,0
TRIS-WS.US,D,20211220,000000,0.5299,0.5998,0.5288,0.5288,600,0
TRIS-WS.US,D,20211221,000000,0.5488,0.5488,0.5,0.5,10500,0
TRIS-WS.US,D,20211222,000000,0.55,0.55,0.51,0.51,600,0
TRIS-WS.US,D,20211223,000000,0.53,0.53,0.506359,0.52,225385,0
TRIS-WS.US,D,20211227,000000,0.54,0.54,0.54,0.54,100,0
TRIS-WS.US,D,20211228,000000,0.56,0.56,0.5102,0.5102,400,0
TRIS-WS.US,D,20211229,000000,0.5402,0.5402,0.5102,0.5102,300,0
TRIS-WS.US,D,20211230,000000,0.5302,0.5601,0.5299,0.5507,14200,0
TRIS-WS.US,D,20211231,000000,0.5999,0.5999,0.51,0.51,3600,0
TRIS-WS.US,D,20220103,000000,0.5399,0.5399,0.51,0.51,285,0
TRIS-WS.US,D,20220104,000000,0.5397,0.5397,0.5397,0.5397,100,0
TRIS-WS.US,D,20220105,000000,0.5395,0.5395,0.5395,0.5395,100,0
TRIS-WS.US,D,20220106,000000,0.51,0.51,0.51,0.51,100,0
TRIS-WS.US,D,20220107,000000,0.51,0.51,0.49,0.49,7100,0
TRIS-WS.US,D,20220110,000000,0.53,0.53,0.49,0.49,3100,0
TRIS-WS.US,D,20220111,000000,0.49,0.52,0.48,0.52,41600,0
TRIS-WS.US,D,20220112,000000,0.52,0.524975,0.52,0.524975,901,0
TRIS-WS.US,D,20220113,000000,0.4805,0.5249,0.4805,0.52,2250,0
TRIS-WS.US,D,20220114,000000,0.55,0.55,0.55,0.55,100,0
TRIS-WS.US,D,20220118,000000,0.4841,0.498,0.4841,0.4842,350,0
TRIS-WS.US,D,20220119,000000,0.4808,0.5,0.48,0.4895,250024,0
TRIS-WS.US,D,20220121,000000,0.48,0.48,0.48,0.48,62678,0
