<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN.US,D,20050225,000000,7.555,7.7693,7.5027,7.729,1415666,0
TRN.US,D,20050228,000000,7.729,7.8098,7.6724,7.7569,2996545,0
TRN.US,D,20050301,000000,7.745,7.9876,7.745,7.8944,3870156,0
TRN.US,D,20050302,000000,7.9064,7.9756,7.7371,7.9711,5457722,0
TRN.US,D,20050303,000000,7.9711,8.1818,7.8902,7.9552,10201483,0
TRN.US,D,20050304,000000,7.9552,7.9589,7.6476,7.7047,6011290,0
TRN.US,D,20050307,000000,7.7005,7.7005,7.5593,7.6764,4495008,0
TRN.US,D,20050308,000000,7.6476,7.7085,7.6476,7.6764,1798446,0
TRN.US,D,20050309,000000,7.6764,7.6924,7.5105,7.5389,2478621,0
TRN.US,D,20050310,000000,7.5432,7.6275,7.4538,7.6275,3257183,0
TRN.US,D,20050311,000000,7.5956,7.6724,7.555,7.6275,1135353,0
TRN.US,D,20050314,000000,7.6158,7.7326,7.5915,7.6318,735865,0
TRN.US,D,20050315,000000,7.6476,7.947,7.6476,7.9189,2395460,0
TRN.US,D,20050316,000000,7.8783,7.9309,7.6318,7.66,1658106,0
TRN.US,D,20050317,000000,7.6764,7.7047,7.5956,7.6158,896997,0
TRN.US,D,20050318,000000,7.6275,7.947,7.6233,7.8659,3096801,0
TRN.US,D,20050321,000000,7.8257,7.8704,7.7693,7.8336,2007109,0
TRN.US,D,20050322,000000,7.8336,8.0115,7.8295,7.8985,1906864,0
TRN.US,D,20050323,000000,7.8659,7.8659,7.68,7.7047,1480263,0
TRN.US,D,20050324,000000,7.745,7.8216,7.729,7.729,1412323,0
TRN.US,D,20050328,000000,7.7853,7.8257,7.6078,7.6233,1949184,0
TRN.US,D,20050329,000000,7.6233,7.6476,7.353,7.422,1704513,0
TRN.US,D,20050330,000000,7.4538,7.547,7.3813,7.547,2103264,0
TRN.US,D,20050331,000000,7.5186,7.6078,7.4458,7.5877,1426807,0
