<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSE.US,D,20140612,000000,17.534,17.618,17.133,17.193,6423526,0
TSE.US,D,20140613,000000,17.202,17.295,16.98,17.152,642897,0
TSE.US,D,20140616,000000,16.98,17.465,16.98,17.211,289246,0
TSE.US,D,20140617,000000,17.184,18.629,17.184,18.042,631413,0
TSE.US,D,20140618,000000,18.042,19.382,17.89,18.501,609222,0
TSE.US,D,20140619,000000,18.433,19.181,18.084,18.706,516458,0
TSE.US,D,20140620,000000,18.677,19.222,18.622,19.062,385015,0
TSE.US,D,20140623,000000,19.213,19.521,18.612,18.645,186100,0
TSE.US,D,20140624,000000,18.567,19.198,18.567,18.842,98263,0
TSE.US,D,20140625,000000,18.755,19.478,18.254,19.019,137850,0
TSE.US,D,20140626,000000,18.866,19.094,18.17,18.765,201344,0
TSE.US,D,20140627,000000,18.501,18.662,17.872,18.414,227601,0
TSE.US,D,20140630,000000,18.337,18.833,17.326,17.659,372678,0
TSE.US,D,20140701,000000,17.703,17.822,17.236,17.344,217430,0
TSE.US,D,20140702,000000,17.406,17.831,17.168,17.599,351098,0
TSE.US,D,20140703,000000,17.577,17.745,17.498,17.668,39054,0
TSE.US,D,20140707,000000,17.78,17.78,17.353,17.551,91219,0
TSE.US,D,20140708,000000,17.414,17.813,17.143,17.455,94948,0
TSE.US,D,20140709,000000,17.43,18.493,17.43,18,117567,0
TSE.US,D,20140710,000000,17.712,18.297,17.515,18.059,108013,0
TSE.US,D,20140711,000000,18.179,18.254,17.958,18.026,157738,0
TSE.US,D,20140714,000000,17.991,17.991,17.168,17.373,142324,0
TSE.US,D,20140715,000000,17.326,18.161,16.862,16.939,125964,0
TSE.US,D,20140716,000000,16.98,18.195,16.608,16.633,148845,0
TSE.US,D,20140717,000000,16.599,17.152,16.599,16.744,156150,0
TSE.US,D,20140718,000000,16.726,17.236,16.726,16.947,54822,0
TSE.US,D,20140721,000000,16.98,17.236,16.769,16.838,123894,0
TSE.US,D,20140722,000000,16.896,17.184,16.352,16.838,552181,0
TSE.US,D,20140723,000000,16.862,16.914,15.657,15.96,623408,0
TSE.US,D,20140724,000000,16.005,16.345,15.843,16.022,356476,0
TSE.US,D,20140725,000000,16.03,16.386,15.884,15.911,145990,0
TSE.US,D,20140728,000000,16.083,16.083,14.952,15.233,109011,0
TSE.US,D,20140729,000000,15.274,15.48,14.432,14.461,268252,0
TSE.US,D,20140730,000000,14.493,14.774,13.297,13.993,349856,0
TSE.US,D,20140731,000000,13.772,14.527,13.672,14.155,91478,0
TSE.US,D,20140801,000000,14.042,14.368,13.804,14.213,103774,0
