<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBA.US,D,20050225,000000,9.3687,9.532,9.3404,9.532,86947,0
UBA.US,D,20050228,000000,9.4733,9.544,9.3512,9.4516,78703,0
UBA.US,D,20050301,000000,9.4279,9.504,9.3687,9.504,79214,0
UBA.US,D,20050302,000000,9.4565,9.516,9.3365,9.3365,51203,0
UBA.US,D,20050303,000000,9.2828,9.4219,9.2593,9.419,40380,0
UBA.US,D,20050304,000000,9.4279,9.64,9.4111,9.604,112033,0
UBA.US,D,20050307,000000,9.544,9.715,9.544,9.686,58078,0
UBA.US,D,20050308,000000,9.743,9.75,9.4635,9.4684,37802,0
UBA.US,D,20050309,000000,9.4279,9.4338,9.1493,9.1493,48624,0
UBA.US,D,20050310,000000,9.1665,9.313,9.1253,9.1253,34704,0
UBA.US,D,20050311,000000,9.132,9.1772,9.0771,9.0837,45019,0
UBA.US,D,20050314,000000,9.1026,9.2089,9.0978,9.1665,48455,0
UBA.US,D,20050315,000000,9.2244,9.2828,9.1493,9.1493,46218,0
UBA.US,D,20050316,000000,9.1493,9.2525,9.1253,9.2525,67186,0
UBA.US,D,20050317,000000,9.2828,9.357,9.1665,9.357,154125,0
UBA.US,D,20050318,000000,9.4279,9.4279,9.2955,9.3365,146056,0
UBA.US,D,20050321,000000,9.3404,9.4219,9.2351,9.313,27667,0
UBA.US,D,20050322,000000,9.2828,9.4002,9.0771,9.0771,56016,0
UBA.US,D,20050323,000000,9.0507,9.2351,8.9691,8.977,64262,0
UBA.US,D,20050324,000000,8.8984,9.062,8.8873,8.9864,99144,0
UBA.US,D,20050328,000000,8.9335,9.0507,8.9047,8.9485,47595,0
UBA.US,D,20050329,000000,8.8294,8.9691,8.7284,8.7982,73885,0
UBA.US,D,20050330,000000,8.8165,8.9166,8.8092,8.8984,51380,0
UBA.US,D,20050331,000000,8.8735,8.8735,8.7577,8.8735,63061,0
UBA.US,D,20050401,000000,8.9047,8.9047,8.5723,8.6537,79379,0
UBA.US,D,20050404,000000,8.6118,8.7236,8.234,8.7017,562906,0
UBA.US,D,20050405,000000,8.7017,8.7284,8.4743,8.5533,108253,0
UBA.US,D,20050406,000000,8.5533,8.5533,8.5086,8.5426,36428,0
UBA.US,D,20050407,000000,8.5256,8.5533,8.4743,8.5256,131619,0
UBA.US,D,20050408,000000,8.5327,8.5327,8.492,8.5035,62373,0
UBA.US,D,20050411,000000,8.5256,8.5533,8.3924,8.4743,66841,0
UBA.US,D,20050412,000000,8.4743,8.5256,8.3267,8.515,48110,0
UBA.US,D,20050413,000000,8.5211,8.5256,8.3793,8.4334,65979,0
UBA.US,D,20050414,000000,8.4097,8.492,8.373,8.373,32129,0
