<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBCB.US,D,20211220,000000,23.87,24.0188,23.8269,24.0188,1697,0
UBCB.US,D,20211221,000000,24.17,24.5078,24.16,24.5078,691,0
UBCB.US,D,20211222,000000,24.56,24.8518,24.56,24.8518,4491,0
UBCB.US,D,20211223,000000,25.03,25.16,25.03,25.07,3658,0
UBCB.US,D,20211227,000000,25.33,25.4503,25.33,25.4503,1598,0
UBCB.US,D,20211228,000000,25.42,25.42,25.3604,25.3604,463,0
UBCB.US,D,20211229,000000,25.69,25.69,25.3731,25.3731,280,0
UBCB.US,D,20211230,000000,25.47,25.47,25.2275,25.2275,120,0
UBCB.US,D,20211231,000000,25.22,25.22,25.0818,25.0818,100,0
UBCB.US,D,20220103,000000,25.29,25.41,25.28,25.41,518,0
UBCB.US,D,20220104,000000,25.09,25.1308,25,25.1308,507,0
UBCB.US,D,20220105,000000,24.4309,24.4309,24.4309,24.4309,113,0
UBCB.US,D,20220106,000000,24.36,24.36,24.2363,24.2363,100,0
UBCB.US,D,20220107,000000,24.0564,24.0564,24.0564,24.0564,3,0
UBCB.US,D,20220110,000000,24.0582,24.0582,24.0582,24.0582,5,0
UBCB.US,D,20220111,000000,24.3599,24.3599,24.3297,24.3297,144,0
UBCB.US,D,20220112,000000,24.62,24.62,24.4979,24.4979,160,0
UBCB.US,D,20220113,000000,24.59,24.59,23.8676,23.8676,101,0
UBCB.US,D,20220114,000000,24,24.0264,24,24.0264,100,0
UBCB.US,D,20220118,000000,23.67,23.67,23.4822,23.4822,579,0
UBCB.US,D,20220119,000000,23.75,23.75,23.231,23.231,101,0
UBCB.US,D,20220120,000000,23.56,23.595,22.9244,22.9244,303,0
UBCB.US,D,20220121,000000,22.3544,22.3544,22.3544,22.3544,13,0
