<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UTF.US,D,20040511,000000,7.0912,7.3438,7.0912,7.3438,234023,0
UTF.US,D,20040512,000000,7.2685,7.3934,6.9635,7.1155,324134,0
UTF.US,D,20040513,000000,7.111,7.3375,7.0912,7.2206,193107,0
UTF.US,D,20040514,000000,7.2657,7.4833,7.0912,7.3934,193332,0
UTF.US,D,20040517,000000,7.3692,7.4374,7.1769,7.4374,168729,0
UTF.US,D,20040518,000000,7.3732,7.6546,7.3732,7.5768,139998,0
UTF.US,D,20040519,000000,7.5562,7.7382,7.3901,7.4833,197928,0
UTF.US,D,20040520,000000,7.4833,7.5879,7.0692,7.2609,292648,0
UTF.US,D,20040521,000000,7.2559,7.4374,7.2123,7.3058,205746,0
UTF.US,D,20040524,000000,7.2657,7.3732,7.1769,7.3253,229433,0
UTF.US,D,20040525,000000,7.3732,7.3878,7.1769,7.3058,262077,0
UTF.US,D,20040526,000000,7.2862,7.3878,7.2511,7.3878,329656,0
UTF.US,D,20040527,000000,7.3934,7.5698,7.3058,7.5649,246667,0
UTF.US,D,20040528,000000,7.6108,7.7692,7.4621,7.6156,182763,0
UTF.US,D,20040601,000000,7.5963,7.7979,7.5251,7.7468,197696,0
UTF.US,D,20040602,000000,7.7896,7.8258,7.677,7.8233,160461,0
UTF.US,D,20040603,000000,7.7864,7.8233,7.6156,7.7692,160461,0
UTF.US,D,20040604,000000,7.7431,7.8728,7.7431,7.7979,108042,0
UTF.US,D,20040607,000000,7.7511,7.8294,7.6546,7.7004,122985,0
UTF.US,D,20040608,000000,7.8093,7.8522,7.5698,7.6411,133564,0
UTF.US,D,20040609,000000,7.7431,7.7634,7.4374,7.4786,144373,0
UTF.US,D,20040610,000000,7.5081,7.5516,7.4289,7.5194,146214,0
UTF.US,D,20040614,000000,7.5045,7.5925,7.2206,7.3299,242987,0
UTF.US,D,20040615,000000,7.1991,7.3732,7.1622,7.2657,342525,0
UTF.US,D,20040616,000000,7.2206,7.3058,7.1063,7.1564,337931,0
UTF.US,D,20040617,000000,7.1344,7.2388,7.0912,7.1702,221378,0
UTF.US,D,20040618,000000,7.1063,7.2161,7.1063,7.1991,174935,0
UTF.US,D,20040621,000000,7.1415,7.3223,7.1415,7.1991,220228,0
UTF.US,D,20040622,000000,7.1769,7.3299,7.0315,7.0462,456323,0
UTF.US,D,20040623,000000,7.0992,7.1905,7.0168,7.1344,282986,0
UTF.US,D,20040624,000000,7.1769,7.2511,7.0505,7.1302,255169,0
UTF.US,D,20040625,000000,7.1344,7.1769,7.0563,7.111,261142,0
UTF.US,D,20040628,000000,7.0912,7.1212,7.0315,7.0462,287122,0
UTF.US,D,20040629,000000,6.9635,7.111,6.9635,7.0563,283450,0
UTF.US,D,20040630,000000,7.1302,7.1622,7.0563,7.1467,304594,0
UTF.US,D,20040701,000000,7.0812,7.2783,7.0812,7.2388,351962,0
UTF.US,D,20040702,000000,7.2559,7.3375,7.1991,7.3375,157234,0
UTF.US,D,20040706,000000,7.3058,7.4476,7.274,7.4374,203451,0
UTF.US,D,20040707,000000,7.5251,7.5251,7.3833,7.4621,203451,0
UTF.US,D,20040708,000000,7.4621,7.5045,7.3253,7.4148,266214,0
UTF.US,D,20040709,000000,7.3534,7.4833,7.2425,7.3166,194945,0
UTF.US,D,20040712,000000,7.3223,7.3795,7.2783,7.3123,193107,0
UTF.US,D,20040713,000000,7.2657,7.3058,7.2425,7.2945,209193,0
UTF.US,D,20040714,000000,7.2609,7.4148,7.2473,7.3058,241154,0
UTF.US,D,20040715,000000,7.2862,7.3534,7.2425,7.2657,245515,0
UTF.US,D,20040716,000000,7.2993,7.3901,7.2657,7.3534,177700,0
UTF.US,D,20040719,000000,7.3732,7.3732,7.2425,7.3223,239773,0
