<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UVDV.US,D,20211123,000000,10.0224,10.0224,10.0224,10.0224,57,0
UVDV.US,D,20211124,000000,10.04,10.05,9.98,10.015,172168,0
UVDV.US,D,20211126,000000,10.04,10.04,9.91,9.9727,11796,0
UVDV.US,D,20211129,000000,9.99,10.03,9.9574,9.9574,86828,0
UVDV.US,D,20211130,000000,9.94,9.94,9.8382,9.8382,32274,0
UVDV.US,D,20211201,000000,9.85,9.85,9.7838,9.7838,10828,0
UVDV.US,D,20211202,000000,9.8298,9.8298,9.8298,9.8298,21,0
UVDV.US,D,20211203,000000,9.8601,9.87,9.86,9.8634,12916,0
UVDV.US,D,20211206,000000,9.925,9.925,9.925,9.925,5,0
UVDV.US,D,20211207,000000,9.98,10.01,9.9645,9.9645,14742,0
UVDV.US,D,20211208,000000,9.985,10.02,9.985,9.9987,34126,0
UVDV.US,D,20211209,000000,10,10,9.9797,9.9797,30273,0
UVDV.US,D,20211210,000000,9.98,10.01,9.98,9.9942,5755,0
UVDV.US,D,20211213,000000,9.97,10.015,9.97,10,20204,0
UVDV.US,D,20211214,000000,10,10.05,10,10.05,12695,0
UVDV.US,D,20211215,000000,10,10.05,9.965,10.0075,25878,0
UVDV.US,D,20211216,000000,10.09,10.0948,10.09,10.0948,266,0
UVDV.US,D,20211217,000000,10.09,10.09,10.0447,10.0447,6895,0
UVDV.US,D,20211220,000000,9.98,10.01,9.96,9.9871,9147,0
UVDV.US,D,20211221,000000,10.05,10.05,9.99,9.99,19641,0
UVDV.US,D,20211222,000000,10.07,10.07,10.04,10.04,1003,0
UVDV.US,D,20211223,000000,10.13,10.13,10.01,10.03,11509,0
UVDV.US,D,20211227,000000,10.14,10.14,10.14,10.14,42,0
UVDV.US,D,20211228,000000,10.165,10.165,10.165,10.165,25,0
UVDV.US,D,20211229,000000,10.1201,10.175,10.1201,10.175,226,0
UVDV.US,D,20211230,000000,10.19,10.23,10.18,10.208,268276,0
UVDV.US,D,20211231,000000,10.21,10.21,10.2085,10.2085,303,0
UVDV.US,D,20220103,000000,10.165,10.165,10.165,10.165,31,0
UVDV.US,D,20220104,000000,10.26,10.26,10.18,10.215,381,0
UVDV.US,D,20220105,000000,10.26,10.26,10.19,10.2056,460125,0
UVDV.US,D,20220106,000000,10.2,10.24,10.2,10.2171,6515,0
UVDV.US,D,20220107,000000,10.24,10.2526,10.24,10.2526,270,0
UVDV.US,D,20220110,000000,10.16,10.219,10.16,10.219,150,0
UVDV.US,D,20220111,000000,10.29,10.29,10.29,10.29,124,0
UVDV.US,D,20220112,000000,10.28,10.2804,10.2752,10.2804,829,0
UVDV.US,D,20220113,000000,10.29,10.31,10.2707,10.2707,162293,0
UVDV.US,D,20220114,000000,10.23,10.27,10.21,10.2662,11086,0
UVDV.US,D,20220118,000000,10.1969,10.1969,10.1969,10.1969,10,0
UVDV.US,D,20220119,000000,10.17,10.17,10.1691,10.1691,647,0
UVDV.US,D,20220120,000000,10.11,10.11,10.11,10.11,124,0
UVDV.US,D,20220121,000000,10.07,10.08,10.04,10.05,2498,0
