<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
V.US,D,20080318,000000,10.173,10.173,10.173,10.173,0,0
V.US,D,20080319,000000,13.759,15.957,12.715,13.067,766049518,0
V.US,D,20080320,000000,13.502,15.029,13.297,14.881,215152233,0
V.US,D,20080324,000000,15.545,15.651,13.642,13.81,161857518,0
V.US,D,20080325,000000,14.007,14.857,13.832,14.625,94247265,0
V.US,D,20080326,000000,14.501,14.91,14.237,14.788,46644436,0
V.US,D,20080327,000000,14.81,14.969,14.485,14.542,43071595,0
V.US,D,20080328,000000,14.654,14.67,14.373,14.508,26705020,0
V.US,D,20080331,000000,14.473,14.679,14.348,14.419,23971984,0
V.US,D,20080401,000000,14.579,14.725,13.943,14.246,65341909,0
V.US,D,20080402,000000,14.273,14.409,13.989,14.409,47409038,0
V.US,D,20080403,000000,14.324,15.329,14.295,15.142,109062996,0
V.US,D,20080404,000000,15.007,15.099,14.743,14.91,39353176,0
V.US,D,20080407,000000,15.049,15.213,14.802,15.037,30613908,0
V.US,D,20080408,000000,15.007,15.776,14.985,15.742,58348322,0
V.US,D,20080409,000000,15.825,15.889,15.169,15.211,52267332,0
V.US,D,20080410,000000,15.299,15.429,15.051,15.288,24203899,0
V.US,D,20080411,000000,15.083,15.439,15.083,15.288,28582172,0
V.US,D,20080414,000000,15.424,15.545,15.149,15.186,30757411,0
V.US,D,20080415,000000,15.329,15.389,14.798,14.881,25845489,0
V.US,D,20080416,000000,14.928,15.481,14.928,15.294,27192052,0
V.US,D,20080417,000000,15.321,15.664,15.264,15.502,24287243,0
V.US,D,20080418,000000,15.723,16.287,15.537,15.957,112582841,0
V.US,D,20080421,000000,16.066,16.761,15.92,16.408,63669558,0
V.US,D,20080422,000000,16.63,16.74,16.182,16.248,51227658,0
V.US,D,20080423,000000,16.403,16.581,16.114,16.201,40370168,0
V.US,D,20080424,000000,16.463,16.873,16.191,16.719,42257802,0
V.US,D,20080425,000000,17.571,17.59,17.09,17.364,109703447,0
V.US,D,20080428,000000,17.689,17.873,17.319,17.485,143284160,0
V.US,D,20080429,000000,17.147,18.702,16.415,18.702,213339183,0
V.US,D,20080430,000000,18.821,19.606,18.747,19.296,159530965,0
V.US,D,20080501,000000,19.511,20.261,19.401,19.747,125852321,0
V.US,D,20080502,000000,20.18,20.23,18.729,19.133,147751019,0
V.US,D,20080505,000000,19.157,19.768,18.687,19.664,76094978,0
V.US,D,20080506,000000,19.761,20.382,19.593,20.237,82080775,0
V.US,D,20080507,000000,20.537,20.774,20.266,20.463,108627105,0
V.US,D,20080508,000000,20.695,20.753,19.873,20.183,100412006,0
V.US,D,20080509,000000,19.841,20.039,19.079,19.159,101974510,0
V.US,D,20080512,000000,19.344,19.532,18.058,18.935,159539246,0
V.US,D,20080513,000000,18.918,19.308,18.68,19.046,57599559,0
V.US,D,20080514,000000,19.261,19.502,18.833,19.011,55576526,0
V.US,D,20080515,000000,19.082,19.175,18.757,19.016,39712360,0
V.US,D,20080516,000000,19.123,19.157,18.79,19.044,36834392,0
