<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VBF.US,D,20050225,000000,10.062,10.067,10.042,10.062,11477,0
VBF.US,D,20050228,000000,10.041,10.059,10.006,10.041,19200,0
VBF.US,D,20050301,000000,10.011,10.042,10.011,10.023,9868,0
VBF.US,D,20050302,000000,9.969,10.055,9.969,10.023,31226,0
VBF.US,D,20050303,000000,10.041,10.041,9.993,10.016,25116,0
VBF.US,D,20050304,000000,9.988,10.041,9.988,10.029,25478,0
VBF.US,D,20050307,000000,9.997,10.029,9.993,10.029,13275,0
VBF.US,D,20050308,000000,10.041,10.041,10.006,10.036,13988,0
VBF.US,D,20050309,000000,10.036,10.036,9.947,9.957,37147,0
VBF.US,D,20050310,000000,9.947,9.981,9.937,9.952,38224,0
VBF.US,D,20050311,000000,9.865,9.891,9.796,9.802,16333,0
VBF.US,D,20050314,000000,9.813,9.843,9.796,9.802,24395,0
VBF.US,D,20050315,000000,9.733,9.813,9.701,9.813,40739,0
VBF.US,D,20050316,000000,9.762,9.762,9.649,9.655,26913,0
VBF.US,D,20050317,000000,9.677,9.677,9.596,9.606,15784,0
VBF.US,D,20050318,000000,9.683,9.683,9.533,9.59,39833,0
VBF.US,D,20050321,000000,9.596,9.596,9.4241,9.4908,31048,0
VBF.US,D,20050322,000000,9.4908,9.4968,9.2869,9.3466,53291,0
VBF.US,D,20050323,000000,9.1837,9.2154,9.1408,9.1762,61548,0
VBF.US,D,20050324,000000,9.2345,9.3117,9.1997,9.2635,60480,0
VBF.US,D,20050328,000000,9.2384,9.2715,9.2345,9.243,14181,0
VBF.US,D,20050329,000000,9.2384,9.2635,9.2208,9.2635,21177,0
VBF.US,D,20050330,000000,9.4013,9.4013,9.3211,9.3964,24947,0
VBF.US,D,20050331,000000,9.4013,9.4628,9.4013,9.4628,19382,0
VBF.US,D,20050401,000000,9.515,9.617,9.4838,9.541,31946,0
VBF.US,D,20050404,000000,9.533,9.59,9.4968,9.515,10231,0
VBF.US,D,20050405,000000,9.4838,9.568,9.4838,9.4968,13631,0
VBF.US,D,20050406,000000,9.4365,9.515,9.3964,9.4241,15256,0
VBF.US,D,20050407,000000,9.528,9.701,9.528,9.59,50426,0
VBF.US,D,20050408,000000,9.596,9.61,9.4052,9.4698,42896,0
VBF.US,D,20050411,000000,9.4698,9.578,9.4698,9.503,15256,0
VBF.US,D,20050412,000000,9.4838,9.515,9.4241,9.515,15434,0
VBF.US,D,20050413,000000,9.4241,9.533,9.4241,9.515,38760,0
VBF.US,D,20050414,000000,9.4508,9.503,9.4013,9.4241,60118,0
VBF.US,D,20050415,000000,9.4838,9.515,9.3915,9.4241,10047,0
VBF.US,D,20050418,000000,9.3747,9.4838,9.3747,9.4838,18486,0
VBF.US,D,20050419,000000,9.4838,9.584,9.4508,9.541,22796,0
VBF.US,D,20050420,000000,9.541,9.541,9.4769,9.4968,16690,0
VBF.US,D,20050421,000000,9.568,9.58,9.4838,9.509,9693,0
VBF.US,D,20050422,000000,9.568,9.59,9.4769,9.515,19745,0
VBF.US,D,20050425,000000,9.549,9.556,9.4908,9.556,16507,0
VBF.US,D,20050426,000000,9.568,9.733,9.533,9.568,22796,0
VBF.US,D,20050427,000000,9.617,9.683,9.544,9.59,54724,0
VBF.US,D,20050428,000000,9.578,9.696,9.573,9.573,23150,0
VBF.US,D,20050429,000000,9.568,9.655,9.568,9.649,21712,0
VBF.US,D,20050502,000000,9.709,9.733,9.573,9.671,14711,0
VBF.US,D,20050503,000000,9.733,9.796,9.642,9.701,12561,0
VBF.US,D,20050504,000000,9.762,9.779,9.677,9.762,12388,0
VBF.US,D,20050505,000000,9.727,9.767,9.677,9.677,12199,0
VBF.US,D,20050506,000000,9.683,9.683,9.573,9.59,11668,0
VBF.US,D,20050509,000000,9.617,9.786,9.3694,9.528,46478,0
VBF.US,D,20050510,000000,9.568,9.733,9.4473,9.59,33018,0
VBF.US,D,20050511,000000,9.573,9.894,9.573,9.671,26196,0
VBF.US,D,20050512,000000,9.701,9.727,9.642,9.671,13631,0
VBF.US,D,20050513,000000,9.626,9.756,9.606,9.701,14181,0
VBF.US,D,20050516,000000,9.642,9.743,9.59,9.671,15434,0
VBF.US,D,20050517,000000,9.617,9.756,9.596,9.701,21177,0
VBF.US,D,20050518,000000,9.642,9.733,9.61,9.671,18658,0
VBF.US,D,20050519,000000,9.671,9.786,9.671,9.738,19382,0
VBF.US,D,20050520,000000,9.738,9.786,9.642,9.701,20641,0
VBF.US,D,20050523,000000,9.617,9.786,9.617,9.779,8973,0
VBF.US,D,20050524,000000,9.722,9.818,9.655,9.733,23333,0
VBF.US,D,20050525,000000,9.701,9.831,9.701,9.716,16141,0
VBF.US,D,20050526,000000,9.716,9.837,9.683,9.738,24395,0
VBF.US,D,20050527,000000,9.779,9.843,9.683,9.683,16507,0
VBF.US,D,20050531,000000,9.677,9.839,9.677,9.837,39833,0
VBF.US,D,20050601,000000,9.813,9.876,9.788,9.824,38224,0
VBF.US,D,20050602,000000,9.876,9.947,9.802,9.891,12919,0
VBF.US,D,20050603,000000,9.813,9.947,9.813,9.926,24587,0
VBF.US,D,20050606,000000,9.981,9.981,9.802,9.9,12919,0
VBF.US,D,20050607,000000,9.952,9.952,9.767,9.9,16507,0
VBF.US,D,20050608,000000,9.876,9.943,9.839,9.943,15075,0
VBF.US,D,20050609,000000,9.912,9.952,9.818,9.918,15784,0
VBF.US,D,20050610,000000,9.952,9.952,9.831,9.837,14539,0
VBF.US,D,20050613,000000,9.808,9.824,9.786,9.786,15784,0
VBF.US,D,20050614,000000,9.786,9.802,9.75,9.762,12199,0
VBF.US,D,20050615,000000,9.802,9.802,9.642,9.733,21712,0
VBF.US,D,20050616,000000,9.701,9.733,9.596,9.601,16690,0
VBF.US,D,20050617,000000,9.58,9.649,9.573,9.61,21894,0
VBF.US,D,20050620,000000,9.568,9.639,9.568,9.596,13631,0
VBF.US,D,20050621,000000,9.596,9.762,9.596,9.663,25478,0
VBF.US,D,20050622,000000,9.639,9.722,9.639,9.658,10762,0
VBF.US,D,20050623,000000,9.601,9.663,9.601,9.642,12029,0
VBF.US,D,20050624,000000,9.621,9.773,9.621,9.767,19021,0
VBF.US,D,20050627,000000,9.793,9.824,9.722,9.722,13275,0
VBF.US,D,20050628,000000,9.642,9.813,9.642,9.722,10231,0
VBF.US,D,20050629,000000,9.865,9.876,9.733,9.733,30687,0
VBF.US,D,20050630,000000,9.701,9.837,9.689,9.837,26739,0
VBF.US,D,20050701,000000,9.859,9.975,9.802,9.865,24947,0
VBF.US,D,20050705,000000,9.837,9.912,9.813,9.831,9338,0
VBF.US,D,20050706,000000,9.802,9.87,9.762,9.848,8787,0
VBF.US,D,20050707,000000,9.839,9.912,9.756,9.876,10949,0
VBF.US,D,20050708,000000,9.824,9.9,9.738,9.738,21712,0
VBF.US,D,20050711,000000,9.701,9.839,9.677,9.701,8787,0
VBF.US,D,20050712,000000,9.756,9.756,9.677,9.701,10949,0
VBF.US,D,20050713,000000,9.683,9.788,9.658,9.762,10047,0
VBF.US,D,20050714,000000,9.762,9.839,9.671,9.788,15974,0
VBF.US,D,20050715,000000,9.733,9.824,9.701,9.716,8436,0
VBF.US,D,20050718,000000,9.671,9.738,9.663,9.727,9338,0
VBF.US,D,20050719,000000,9.733,9.786,9.649,9.649,10408,0
VBF.US,D,20050720,000000,9.696,9.756,9.689,9.701,15974,0
VBF.US,D,20050721,000000,9.649,9.701,9.631,9.631,24753,0
VBF.US,D,20050722,000000,9.655,9.788,9.642,9.788,22250,0
VBF.US,D,20050725,000000,9.788,9.796,9.738,9.796,22796,0
VBF.US,D,20050726,000000,9.733,9.788,9.701,9.786,18124,0
VBF.US,D,20050727,000000,9.716,9.762,9.689,9.709,22441,0
VBF.US,D,20050728,000000,9.779,9.786,9.701,9.773,12388,0
VBF.US,D,20050729,000000,9.701,9.756,9.689,9.733,13988,0
VBF.US,D,20050801,000000,9.701,9.733,9.655,9.677,14892,0
VBF.US,D,20050802,000000,9.709,9.75,9.655,9.75,14711,0
VBF.US,D,20050803,000000,9.75,9.75,9.642,9.677,19560,0
VBF.US,D,20050804,000000,9.655,9.733,9.626,9.677,21540,0
VBF.US,D,20050805,000000,9.677,9.722,9.677,9.677,32477,0
VBF.US,D,20050808,000000,9.677,9.677,9.621,9.626,22604,0
VBF.US,D,20050809,000000,9.617,9.689,9.617,9.621,9150,0
VBF.US,D,20050810,000000,9.642,9.756,9.617,9.631,21894,0
VBF.US,D,20050811,000000,9.617,9.671,9.617,9.617,11838,0
VBF.US,D,20050812,000000,9.617,9.631,9.617,9.617,14892,0
VBF.US,D,20050815,000000,9.617,9.631,9.617,9.626,21353,0
VBF.US,D,20050816,000000,9.631,9.649,9.617,9.617,17591,0
VBF.US,D,20050817,000000,9.59,9.696,9.59,9.606,15615,0
VBF.US,D,20050818,000000,9.606,9.658,9.59,9.596,15784,0
VBF.US,D,20050819,000000,9.642,9.671,9.601,9.642,12919,0
VBF.US,D,20050822,000000,9.727,9.727,9.677,9.709,27100,0
VBF.US,D,20050823,000000,9.727,9.762,9.649,9.733,19021,0
VBF.US,D,20050824,000000,9.696,9.773,9.696,9.727,18658,0
VBF.US,D,20050825,000000,9.733,9.788,9.716,9.75,28004,0
VBF.US,D,20050826,000000,9.722,9.788,9.722,9.788,24587,0
VBF.US,D,20050829,000000,9.762,9.796,9.733,9.762,18306,0
VBF.US,D,20050830,000000,9.756,9.824,9.727,9.75,23692,0
VBF.US,D,20050831,000000,9.762,9.839,9.743,9.788,21894,0
VBF.US,D,20050901,000000,9.733,9.918,9.733,9.865,32837,0
VBF.US,D,20050902,000000,9.831,9.865,9.813,9.818,19021,0
VBF.US,D,20050906,000000,9.808,9.859,9.786,9.853,12748,0
VBF.US,D,20050907,000000,9.865,9.865,9.808,9.865,24395,0
VBF.US,D,20050908,000000,9.839,10.011,9.839,9.865,22604,0
VBF.US,D,20050909,000000,9.865,9.926,9.843,9.865,10589,0
VBF.US,D,20050912,000000,9.839,9.943,9.839,9.853,21177,0
VBF.US,D,20050913,000000,9.796,9.848,9.796,9.796,26913,0
VBF.US,D,20050914,000000,9.788,9.788,9.701,9.701,21894,0
VBF.US,D,20050915,000000,9.663,9.756,9.621,9.621,21894,0
VBF.US,D,20050916,000000,9.621,9.696,9.621,9.649,4129,0
VBF.US,D,20050919,000000,9.601,9.663,9.601,9.621,9693,0
VBF.US,D,20050920,000000,9.606,9.683,9.58,9.642,24230,0
VBF.US,D,20050921,000000,9.59,9.671,9.59,9.663,17591,0
VBF.US,D,20050922,000000,9.671,9.689,9.621,9.631,13275,0
VBF.US,D,20050923,000000,9.621,9.671,9.621,9.631,25665,0
VBF.US,D,20050926,000000,9.621,9.671,9.59,9.639,24043,0
VBF.US,D,20050927,000000,9.642,9.642,9.596,9.601,15434,0
VBF.US,D,20050928,000000,9.642,9.655,9.596,9.642,18658,0
VBF.US,D,20050929,000000,9.733,9.762,9.617,9.617,19745,0
VBF.US,D,20050930,000000,9.701,9.716,9.573,9.663,10762,0
VBF.US,D,20051003,000000,9.701,9.756,9.617,9.733,41258,0
VBF.US,D,20051004,000000,9.671,9.727,9.655,9.671,13104,0
VBF.US,D,20051005,000000,9.617,9.701,9.596,9.596,17229,0
VBF.US,D,20051006,000000,9.568,9.655,9.528,9.533,21353,0
