<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCLN.US,D,20210805,000000,25.62,25.62,25.55,25.57,3167,0
VCLN.US,D,20210806,000000,25.66,25.66,25.4832,25.4832,1424,0
VCLN.US,D,20210809,000000,25.83,25.84,25.8127,25.8127,2197,0
VCLN.US,D,20210810,000000,25.97,25.97,25.8057,25.8057,740,0
VCLN.US,D,20210811,000000,25.74,25.74,25.6,25.7383,2745,0
VCLN.US,D,20210812,000000,25.59,25.59,25.44,25.5752,634,0
VCLN.US,D,20210813,000000,25.76,25.76,25.56,25.56,723,0
VCLN.US,D,20210816,000000,25.3285,25.3285,25.2624,25.2624,949,0
VCLN.US,D,20210817,000000,24.99,24.99,24.77,24.9731,1475,0
VCLN.US,D,20210818,000000,25.35,25.35,25.18,25.18,1190,0
VCLN.US,D,20210819,000000,25.25,25.25,25.25,25.25,418,0
VCLN.US,D,20210820,000000,25.31,25.62,25.31,25.62,969,0
VCLN.US,D,20210823,000000,25.72,25.89,25.72,25.89,1300,0
VCLN.US,D,20210824,000000,26.0322,26.0322,26.0322,26.0322,8,0
VCLN.US,D,20210825,000000,26.1,26.1,26.1,26.1,441,0
VCLN.US,D,20210826,000000,26.0199,26.02,25.86,25.86,251,0
VCLN.US,D,20210827,000000,26.04,26.04,26.04,26.04,200,0
VCLN.US,D,20210830,000000,26.26,26.31,26.26,26.31,1408,0
VCLN.US,D,20210831,000000,26.15,26.15,26.15,26.15,621,0
VCLN.US,D,20210901,000000,26.33,26.43,26.33,26.43,300,0
VCLN.US,D,20210902,000000,26.59,26.9,26.59,26.73,80720,0
VCLN.US,D,20210903,000000,26.61,26.61,26.5185,26.5185,313,0
VCLN.US,D,20210907,000000,26.25,26.31,26.225,26.225,230,0
VCLN.US,D,20210908,000000,26,26.019,25.97,25.97,1802,0
VCLN.US,D,20210909,000000,25.88,25.9,25.88,25.887,444,0
VCLN.US,D,20210910,000000,25.86,25.87,25.6,25.6,1710,0
VCLN.US,D,20210913,000000,25.72,25.99,25.72,25.9283,500,0
VCLN.US,D,20210914,000000,26.06,26.06,25.766,25.766,2830,0
VCLN.US,D,20210915,000000,25.58,25.61,25.4569,25.5659,1000,0
VCLN.US,D,20210916,000000,25.27,25.44,25.27,25.3384,620,0
VCLN.US,D,20210917,000000,25.26,25.3002,25.26,25.3002,503,0
VCLN.US,D,20210920,000000,24.84,24.84,24.61,24.7506,600,0
VCLN.US,D,20210921,000000,24.95,25.42,24.95,25.04,2423,0
VCLN.US,D,20210922,000000,25.33,25.33,25.33,25.33,109,0
VCLN.US,D,20210923,000000,25.58,25.58,25.5174,25.5174,101,0
VCLN.US,D,20210924,000000,25.23,25.2724,25.23,25.2724,505,0
VCLN.US,D,20210927,000000,25.3304,25.3304,25.3304,25.3304,1,0
VCLN.US,D,20210928,000000,25.2,25.2,24.8408,24.8408,3605,0
VCLN.US,D,20210929,000000,24.73,24.73,24.541,24.6542,200,0
VCLN.US,D,20210930,000000,24.71,24.73,24.446,24.5752,2365,0
VCLN.US,D,20211001,000000,24.67,24.6794,24.67,24.6794,104,0
VCLN.US,D,20211004,000000,23.97,24.01,23.97,24.01,511,0
VCLN.US,D,20211005,000000,24.51,24.51,24.303,24.303,100,0
VCLN.US,D,20211006,000000,24.35,24.35,24.2813,24.2813,257,0
VCLN.US,D,20211007,000000,24.9099,25.3306,24.605,25.3306,336,0
VCLN.US,D,20211008,000000,24.42,24.42,24.2747,24.2747,116,0
VCLN.US,D,20211011,000000,24.05,24.2927,24.05,24.2927,360,0
VCLN.US,D,20211012,000000,24.9499,24.95,24.94,24.95,803,0
VCLN.US,D,20211013,000000,25.6336,25.6336,25.6336,25.6336,20,0
VCLN.US,D,20211014,000000,25.707,25.707,25.707,25.707,17,0
VCLN.US,D,20211015,000000,25.6772,25.6772,25.6772,25.6772,1,0
VCLN.US,D,20211018,000000,25.6624,25.6624,25.6624,25.6624,11,0
VCLN.US,D,20211019,000000,25.99,26.4803,25.99,26.4803,400,0
VCLN.US,D,20211020,000000,26.71,26.71,26.6801,26.6801,219,0
VCLN.US,D,20211021,000000,26.581,26.8138,26.581,26.8138,205,0
VCLN.US,D,20211022,000000,26.74,26.74,26.5704,26.5704,111,0
VCLN.US,D,20211025,000000,26.815,26.815,26.815,26.815,3,0
VCLN.US,D,20211026,000000,27,27,26.895,26.895,308,0
VCLN.US,D,20211027,000000,27.29,27.74,27.29,27.3995,5620,0
VCLN.US,D,20211028,000000,27.824,28.29,27.824,28.2306,684,0
VCLN.US,D,20211029,000000,27.98,28.208,27.98,28.208,1936,0
VCLN.US,D,20211101,000000,28.56,28.6303,28.56,28.6303,365,0
VCLN.US,D,20211102,000000,28.35,28.35,28.1076,28.1076,538,0
VCLN.US,D,20211103,000000,27.31,27.4736,26.7,27.4736,1879,0
VCLN.US,D,20211104,000000,27.59,27.59,27.5511,27.5511,960,0
VCLN.US,D,20211105,000000,27.45,27.45,27.1537,27.1537,295,0
VCLN.US,D,20211108,000000,27.5757,27.5757,27.5757,27.5757,106,0
VCLN.US,D,20211109,000000,27.3763,27.3763,27.3763,27.3763,3,0
VCLN.US,D,20211110,000000,27.0223,27.0223,27.0223,27.0223,114,0
VCLN.US,D,20211111,000000,27.5326,27.6545,27.5326,27.6545,103,0
VCLN.US,D,20211112,000000,27.8008,27.8008,27.8008,27.8008,66,0
VCLN.US,D,20211115,000000,27.4946,27.4946,27.4946,27.4946,68,0
VCLN.US,D,20211116,000000,27.4315,27.4315,27.4315,27.4315,19,0
VCLN.US,D,20211117,000000,27.509,27.509,27.3079,27.3079,113,0
VCLN.US,D,20211118,000000,27.138,27.138,26.94,27.0055,708,0
VCLN.US,D,20211119,000000,27.2,27.4,27.2,27.3462,397,0
VCLN.US,D,20211122,000000,26.9195,26.9195,26.9195,26.9195,104,0
VCLN.US,D,20211123,000000,26.475,26.617,26.46,26.617,679,0
VCLN.US,D,20211124,000000,26.6686,26.6686,26.6686,26.6686,1,0
VCLN.US,D,20211126,000000,26.3194,26.3194,26.3194,26.3194,2,0
VCLN.US,D,20211129,000000,26.688,26.688,26.688,26.688,5,0
VCLN.US,D,20211130,000000,26.32,26.32,26.2331,26.2331,217,0
VCLN.US,D,20211201,000000,26.47,26.51,25.5684,25.5684,1015,0
VCLN.US,D,20211202,000000,25.66,25.69,25.478,25.478,5330,0
VCLN.US,D,20211203,000000,24.7,24.7705,24.7,24.7705,109,0
VCLN.US,D,20211206,000000,24.84,25.21,24.84,25.0714,708,0
VCLN.US,D,20211207,000000,25.75,25.75,25.7016,25.7016,110,0
VCLN.US,D,20211208,000000,25.8598,25.8598,25.8598,25.8598,15,0
VCLN.US,D,20211209,000000,25.3408,25.3408,25.3408,25.3408,1,0
VCLN.US,D,20211210,000000,25.2199,25.2199,25.2123,25.2123,298,0
VCLN.US,D,20211213,000000,24.97,25.06,24.97,24.9985,304,0
VCLN.US,D,20211214,000000,24.64,24.64,24.2099,24.2465,919,0
VCLN.US,D,20211215,000000,24.15,24.6318,24.05,24.6318,1724,0
VCLN.US,D,20211216,000000,24.87,24.87,24.29,24.3116,627,0
VCLN.US,D,20211217,000000,23.92,24.0458,23.92,24.0458,864,0
VCLN.US,D,20211220,000000,23.39,23.5854,23.35,23.5854,719,0
VCLN.US,D,20211221,000000,23.58,24.0851,23.58,24.0851,204,0
VCLN.US,D,20211222,000000,24.2054,24.2054,24.2054,24.2054,6,0
VCLN.US,D,20211223,000000,24.2898,24.2898,24.2898,24.2898,1,0
VCLN.US,D,20211227,000000,24.3145,24.3704,24.3145,24.3704,240,0
VCLN.US,D,20211228,000000,24.15,24.2035,24.15,24.2035,501,0
VCLN.US,D,20211229,000000,24.2243,24.2243,24.2243,24.2243,2,0
VCLN.US,D,20211230,000000,24.52,24.535,24.3594,24.3594,1630,0
VCLN.US,D,20211231,000000,24.36,24.3845,24.36,24.3845,902,0
VCLN.US,D,20220103,000000,24.51,24.65,24.51,24.5715,1035,0
VCLN.US,D,20220104,000000,24.2497,24.2497,24.2497,24.2497,3,0
VCLN.US,D,20220105,000000,23.82,23.82,23.1855,23.1855,555,0
VCLN.US,D,20220106,000000,22.95,22.95,22.803,22.803,343,0
VCLN.US,D,20220107,000000,22.76,22.78,22.609,22.6713,6203,0
VCLN.US,D,20220110,000000,22.35,22.65,22.29,22.644,5030,0
VCLN.US,D,20220111,000000,22.829,22.829,22.829,22.829,1,0
VCLN.US,D,20220112,000000,22.8,22.9211,22.8,22.9211,101,0
VCLN.US,D,20220113,000000,22.94,23.15,22.6576,22.6576,249,0
VCLN.US,D,20220114,000000,22.4,22.5114,22.4,22.5114,101,0
VCLN.US,D,20220118,000000,22.01,22.01,21.88,21.88,303,0
VCLN.US,D,20220119,000000,21.7598,21.7598,21.7598,21.7598,4,0
VCLN.US,D,20220120,000000,22,22,21.88,21.88,403,0
VCLN.US,D,20220121,000000,21.1992,21.1992,21.1992,21.1992,498,0
