<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VLT.US,D,20050225,000000,11.18,11.198,11.086,11.153,3951,0
VLT.US,D,20050228,000000,11.244,11.31,11.22,11.267,4451,0
VLT.US,D,20050301,000000,11.286,11.394,11.286,11.394,944,0
VLT.US,D,20050302,000000,11.267,11.353,11.22,11.286,3635,0
VLT.US,D,20050303,000000,11.22,11.267,11.132,11.132,2069,0
VLT.US,D,20050304,000000,11.153,11.198,11.086,11.086,3410,0
VLT.US,D,20050307,000000,11.31,11.332,11.086,11.22,3828,0
VLT.US,D,20050308,000000,11.18,11.244,11.132,11.22,9800,0
VLT.US,D,20050309,000000,11.109,11.18,11.063,11.132,4633,0
VLT.US,D,20050310,000000,11.02,11.18,10.886,11.132,8356,0
VLT.US,D,20050311,000000,10.861,10.976,10.82,10.842,4573,0
VLT.US,D,20050314,000000,10.796,10.886,10.685,10.886,6246,0
VLT.US,D,20050315,000000,10.755,10.912,10.755,10.912,1216,0
VLT.US,D,20050316,000000,10.707,10.774,10.646,10.646,2650,0
VLT.US,D,20050317,000000,10.646,10.755,10.328,10.486,15047,0
VLT.US,D,20050318,000000,10.486,10.554,10.35,10.35,4222,0
VLT.US,D,20050321,000000,10.328,10.35,10.262,10.35,8272,0
VLT.US,D,20050322,000000,10.086,10.086,9.82,9.908,16401,0
VLT.US,D,20050323,000000,9.861,9.929,9.861,9.904,10516,0
VLT.US,D,20050324,000000,9.884,9.976,9.861,9.929,7146,0
VLT.US,D,20050328,000000,9.929,9.992,9.861,9.992,2343,0
VLT.US,D,20050329,000000,9.992,10.019,9.861,9.861,6368,0
VLT.US,D,20050330,000000,9.976,10.35,9.976,10.065,6062,0
VLT.US,D,20050331,000000,10.171,10.53,10.042,10.35,7809,0
VLT.US,D,20050401,000000,10.417,10.554,10.35,10.442,2419,0
VLT.US,D,20050404,000000,10.442,10.685,10.35,10.685,1929,0
VLT.US,D,20050405,000000,10.53,10.575,10.35,10.575,2029,0
VLT.US,D,20050406,000000,10.463,10.513,10.463,10.463,632,0
VLT.US,D,20050407,000000,10.35,10.463,10.262,10.262,4682,0
VLT.US,D,20050408,000000,10.328,10.328,10.239,10.262,3410,0
