<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBX.US,D,20211005,000000,9.49,10.1,9.09,9.4,731266,0
WBX.US,D,20211006,000000,9.78,10.09,9.5,9.85,617936,0
WBX.US,D,20211007,000000,10.2,10.25,9.55,9.99,552357,0
WBX.US,D,20211008,000000,10.05,10.05,9.5,9.5,353664,0
WBX.US,D,20211011,000000,9.79,10.4,9.59,10.07,543511,0
WBX.US,D,20211012,000000,10.29,10.32,9.98,10.03,209995,0
WBX.US,D,20211013,000000,10.03,10.1,9.9,10.01,221144,0
WBX.US,D,20211014,000000,10.02,10.09,9.7,10,721738,0
WBX.US,D,20211015,000000,9.9,10.08,9.9,10,261609,0
WBX.US,D,20211018,000000,10.01,10.1,9.9,10,203551,0
WBX.US,D,20211019,000000,10.26,10.4222,9.96,10.13,201360,0
WBX.US,D,20211020,000000,10.24,10.47,10.05,10.19,143971,0
WBX.US,D,20211021,000000,10.1,10.42,10.05,10.33,96698,0
WBX.US,D,20211022,000000,10.32,10.475,10.25,10.43,107546,0
WBX.US,D,20211025,000000,10.51,11.3,10.5,11.1,375482,0
WBX.US,D,20211026,000000,24.21,27.5,14.66,16.31,29855282,0
WBX.US,D,20211027,000000,16.68,16.89,14.3,14.56,1954068,0
WBX.US,D,20211028,000000,14.41,19.38,14.4,16.08,2496504,0
WBX.US,D,20211029,000000,17.96,18.48,15.25,15.65,1622644,0
WBX.US,D,20211101,000000,16.34,16.43,15.8,16.09,508981,0
WBX.US,D,20211102,000000,16.87,17.75,16.4,17.74,588572,0
WBX.US,D,20211103,000000,18.55,21.47,18.25,18.5,2060595,0
WBX.US,D,20211104,000000,21.1,21.1,17.73,17.97,873270,0
WBX.US,D,20211105,000000,18.09,18.33,16.1571,16.28,679033,0
WBX.US,D,20211108,000000,17.45,20.5,16.5,16.75,2709927,0
WBX.US,D,20211109,000000,16.97,17.54,16.02,16.2,554304,0
WBX.US,D,20211110,000000,16.41,17.62,16.35,17.51,476723,0
WBX.US,D,20211111,000000,17.83,17.97,16.66,16.98,333406,0
WBX.US,D,20211112,000000,17.09,17.76,16.4,16.57,616126,0
WBX.US,D,20211115,000000,16.47,16.65,14.7,15.95,2205628,0
WBX.US,D,20211116,000000,16.15,16.7,15,15.87,970672,0
WBX.US,D,20211117,000000,16.24,16.4,15.08,15.56,633983,0
WBX.US,D,20211118,000000,15.65,15.65,14.75,14.95,404405,0
WBX.US,D,20211119,000000,14.8,15.12,14.3,15,459317,0
WBX.US,D,20211122,000000,15.32,15.4999,14.9,15.18,592772,0
WBX.US,D,20211123,000000,15.29,15.39,14.4,14.74,312315,0
WBX.US,D,20211124,000000,14.7,14.7,12.76,12.89,802525,0
WBX.US,D,20211126,000000,12.6901,13.87,12.2,13.45,475851,0
WBX.US,D,20211129,000000,13.63,13.8,12.12,12.33,601483,0
WBX.US,D,20211130,000000,12.12,12.53,11.86,12.42,250461,0
WBX.US,D,20211201,000000,12.5,12.7,11.94,12.14,312454,0
WBX.US,D,20211202,000000,12.15,12.79,11.8703,12.42,302221,0
