<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC.US,D,19841101,000000,0.6777,0.6851,0.6777,0.6851,1736662,0
WFC.US,D,19841102,000000,0.6851,0.6851,0.6704,0.6777,66208242,0
WFC.US,D,19841105,000000,0.6925,0.6925,0.6851,0.6925,1961487,0
WFC.US,D,19841106,000000,0.6994,0.7072,0.6925,0.7072,1515100,0
WFC.US,D,19841107,000000,0.7072,0.7072,0.6925,0.6925,6865196,0
WFC.US,D,19841108,000000,0.6925,0.6925,0.6851,0.6925,2710887,0
WFC.US,D,19841109,000000,0.6925,0.6925,0.6851,0.6851,3026941,0
WFC.US,D,19841112,000000,0.6851,0.6925,0.6851,0.6925,2196082,0
WFC.US,D,19841113,000000,0.6925,0.6925,0.6851,0.6851,3743762,0
WFC.US,D,19841114,000000,0.6851,0.6851,0.6777,0.6777,3359288,0
WFC.US,D,19841115,000000,0.6777,0.6777,0.6777,0.6777,1603072,0
WFC.US,D,19841116,000000,0.6777,0.6777,0.6777,0.6777,1713861,0
WFC.US,D,19841119,000000,0.6777,0.6851,0.6777,0.6851,1094783,0
WFC.US,D,19841120,000000,0.6777,0.6777,0.6704,0.6704,6167922,0
WFC.US,D,19841121,000000,0.6704,0.6777,0.6704,0.6704,576713,0
WFC.US,D,19841123,000000,0.6704,0.6777,0.6704,0.6777,3238731,0
WFC.US,D,19841126,000000,0.6777,0.6777,0.6704,0.6704,1433639,0
WFC.US,D,19841127,000000,0.6704,0.6704,0.6629,0.6629,390994,0
WFC.US,D,19841128,000000,0.6629,0.6704,0.6335,0.6335,909060,0
WFC.US,D,19841129,000000,0.6482,0.6555,0.6482,0.6482,345375,0
WFC.US,D,19841130,000000,0.6482,0.6482,0.6335,0.6482,2508879,0
WFC.US,D,19841203,000000,0.6482,0.6482,0.6407,0.6482,3421192,0
WFC.US,D,19841204,000000,0.6482,0.6482,0.626,0.626,1133881,0
WFC.US,D,19841205,000000,0.626,0.6335,0.6187,0.6187,821084,0
WFC.US,D,19841206,000000,0.6187,0.6187,0.604,0.6187,2222148,0
WFC.US,D,19841207,000000,0.6187,0.6335,0.6187,0.6187,2743473,0
WFC.US,D,19841210,000000,0.6187,0.626,0.6187,0.6187,1257697,0
