<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLKP.US,D,20140730,000000,18.346,18.874,18.029,18.648,19058426,0
WLKP.US,D,20140731,000000,18.488,18.934,18.184,18.389,1264808,0
WLKP.US,D,20140801,000000,18.383,18.389,17.455,17.72,667742,0
WLKP.US,D,20140804,000000,17.753,17.844,17.384,17.571,670656,0
WLKP.US,D,20140805,000000,17.626,17.678,17.443,17.469,388162,0
WLKP.US,D,20140806,000000,17.48,17.874,17.31,17.619,178194,0
WLKP.US,D,20140807,000000,17.72,18.175,17.678,17.935,121118,0
WLKP.US,D,20140808,000000,18.15,18.175,17.734,17.923,56323,0
WLKP.US,D,20140811,000000,17.815,18.011,17.809,17.881,96625,0
WLKP.US,D,20140812,000000,17.753,17.995,17.727,17.869,118527,0
WLKP.US,D,20140813,000000,17.874,17.946,17.45,17.45,271864,0
WLKP.US,D,20140814,000000,17.45,17.72,17.45,17.631,53655,0
WLKP.US,D,20140815,000000,17.874,18.02,17.564,17.667,104853,0
WLKP.US,D,20140818,000000,17.844,17.874,17.418,17.874,251351,0
WLKP.US,D,20140819,000000,17.844,17.897,17.692,17.874,176582,0
WLKP.US,D,20140820,000000,17.935,17.995,17.775,17.869,60150,0
WLKP.US,D,20140821,000000,17.904,17.963,17.781,17.869,66779,0
WLKP.US,D,20140822,000000,17.963,18.389,17.869,18.303,97420,0
WLKP.US,D,20140825,000000,18.292,18.292,18.069,18.153,103597,0
WLKP.US,D,20140826,000000,18.239,18.315,18.169,18.211,73023,0
WLKP.US,D,20140827,000000,18.184,18.324,18.05,18.31,127885,0
WLKP.US,D,20140828,000000,18.219,18.466,18.175,18.449,196493,0
WLKP.US,D,20140829,000000,18.389,18.481,18.33,18.401,137863,0
WLKP.US,D,20140902,000000,18.481,19.298,18.408,18.958,150005,0
WLKP.US,D,20140903,000000,19.087,19.794,19.034,19.438,466450,0
WLKP.US,D,20140904,000000,19.538,20.789,19.408,20.383,184616,0
WLKP.US,D,20140905,000000,20.533,20.751,20.111,20.213,193624,0
WLKP.US,D,20140908,000000,20.111,20.34,19.588,19.686,199905,0
WLKP.US,D,20140909,000000,19.692,19.744,19.494,19.628,68752,0
WLKP.US,D,20140910,000000,19.703,20.009,19.465,19.538,88538,0
WLKP.US,D,20140911,000000,19.538,19.751,19.538,19.572,81649,0
WLKP.US,D,20140912,000000,19.594,19.737,19.33,19.33,109010,0
WLKP.US,D,20140915,000000,19.346,19.424,19.104,19.111,55291,0
WLKP.US,D,20140916,000000,19.135,19.177,18.874,18.934,56565,0
WLKP.US,D,20140917,000000,18.997,19.08,18.44,18.493,50941,0
WLKP.US,D,20140918,000000,18.419,18.867,18.419,18.692,50952,0
WLKP.US,D,20140919,000000,18.752,18.752,18.493,18.625,111463,0
WLKP.US,D,20140922,000000,18.637,18.637,18.142,18.163,29764,0
WLKP.US,D,20140923,000000,18.261,18.346,17.395,17.602,357214,0
WLKP.US,D,20140924,000000,17.578,17.851,17.329,17.775,147282,0
WLKP.US,D,20140925,000000,17.658,18.093,17.329,17.571,456569,0
WLKP.US,D,20140926,000000,17.571,18.204,17.571,17.844,115382,0
WLKP.US,D,20140929,000000,17.881,17.995,17.543,17.692,92692,0
WLKP.US,D,20140930,000000,17.619,17.861,17.571,17.571,53514,0
