<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMK.US,D,20050225,000000,27.15,27.471,26.819,27.115,82154,0
WMK.US,D,20050228,000000,27.296,27.485,26.851,27.246,37124,0
WMK.US,D,20050301,000000,27.296,27.524,27.068,27.493,36705,0
WMK.US,D,20050302,000000,27.422,27.676,27.238,27.275,33298,0
WMK.US,D,20050303,000000,27.281,27.676,26.976,27.676,28250,0
WMK.US,D,20050304,000000,27.788,27.823,27.415,27.604,30431,0
WMK.US,D,20050307,000000,27.493,27.524,27.15,27.15,23883,0
WMK.US,D,20050308,000000,27.154,27.636,27.154,27.229,25793,0
WMK.US,D,20050309,000000,26.893,27.331,26.636,27.011,33569,0
WMK.US,D,20050310,000000,26.899,27.068,26.748,26.748,34526,0
WMK.US,D,20050311,000000,26.673,27.368,26.673,26.819,34390,0
WMK.US,D,20050314,000000,26.707,27.485,26.636,27.184,18968,0
WMK.US,D,20050315,000000,27.368,27.471,26.748,26.828,25515,0
WMK.US,D,20050316,000000,26.679,26.936,26.636,26.733,24701,0
WMK.US,D,20050317,000000,26.775,27.077,26.599,26.928,19651,0
WMK.US,D,20050318,000000,27.115,27.15,26.819,26.959,74514,0
WMK.US,D,20050321,000000,27.222,27.545,27.031,27.545,26609,0
WMK.US,D,20050322,000000,27.537,27.722,27.275,27.275,17194,0
WMK.US,D,20050323,000000,27.275,27.275,26.748,27.046,42031,0
WMK.US,D,20050324,000000,27.115,27.845,27.115,27.636,32340,0
WMK.US,D,20050328,000000,27.698,27.881,27.471,27.683,49264,0
WMK.US,D,20050329,000000,27.354,27.722,27.115,27.115,22789,0
WMK.US,D,20050330,000000,26.967,27.81,26.967,27.727,25651,0
WMK.US,D,20050331,000000,27.727,27.773,26.928,27.017,41891,0
WMK.US,D,20050401,000000,26.905,27.263,26.679,27.026,56224,0
WMK.US,D,20050404,000000,26.936,28.196,26.859,27.69,38899,0
WMK.US,D,20050405,000000,27.873,28.028,27.796,27.861,30842,0
WMK.US,D,20050406,000000,28.012,28.196,26.707,26.967,56632,0
WMK.US,D,20050407,000000,27.15,28.19,26.976,28.176,33569,0
WMK.US,D,20050408,000000,27.992,28.043,27.516,27.516,27022,0
WMK.US,D,20050411,000000,27.368,27.368,26.976,26.989,42850,0
WMK.US,D,20050412,000000,26.967,27.629,26.928,27.62,34526,0
WMK.US,D,20050413,000000,27.545,27.661,26.951,27.005,48726,0
WMK.US,D,20050414,000000,26.967,27.537,26.936,26.976,38077,0
WMK.US,D,20050415,000000,27.12,27.331,26.893,26.981,38756,0
WMK.US,D,20050418,000000,26.951,27.524,26.928,27.222,51581,0
WMK.US,D,20050419,000000,27.222,28.212,27.115,28.212,83241,0
WMK.US,D,20050420,000000,28.285,28.285,27.222,27.222,52403,0
WMK.US,D,20050421,000000,27.263,28.292,27.263,27.979,51581,0
WMK.US,D,20050422,000000,27.845,27.845,26.951,27.172,110812,0
WMK.US,D,20050425,000000,27.12,27.215,26.631,27.154,61273,0
WMK.US,D,20050426,000000,27.154,28.167,27.107,28.072,70962,0
WMK.US,D,20050427,000000,27.796,28.028,27.368,27.773,47901,0
WMK.US,D,20050428,000000,27.698,27.81,26.996,26.996,61136,0
WMK.US,D,20050429,000000,27.115,27.788,27.115,27.773,95390,0
WMK.US,D,20050502,000000,27.773,28.139,27.714,27.873,68781,0
WMK.US,D,20050503,000000,27.508,28.544,27.436,27.734,128826,0
WMK.US,D,20050504,000000,27.81,28.066,27.78,27.992,73424,0
WMK.US,D,20050505,000000,27.992,28.066,27.598,27.815,82013,0
WMK.US,D,20050506,000000,27.887,27.92,27.377,27.78,53628,0
WMK.US,D,20050509,000000,27.636,27.958,27.422,27.823,59635,0
WMK.US,D,20050510,000000,27.823,27.943,27.574,27.845,86113,0
WMK.US,D,20050511,000000,27.92,27.92,27.354,27.823,46261,0
WMK.US,D,20050512,000000,27.831,27.868,27.229,27.229,39848,0
WMK.US,D,20050513,000000,27.238,27.845,27.039,27.054,40669,0
WMK.US,D,20050516,000000,27.091,27.629,27.046,27.046,58819,0
WMK.US,D,20050517,000000,26.981,27.15,26.644,27.115,104122,0
WMK.US,D,20050518,000000,27.115,28.028,27.115,27.845,95665,0
WMK.US,D,20050519,000000,27.837,27.845,27.629,27.837,58404,0
WMK.US,D,20050520,000000,27.766,27.845,27.386,27.478,57317,0
WMK.US,D,20050523,000000,27.537,27.655,27.338,27.471,101941,0
WMK.US,D,20050524,000000,27.655,27.698,27.317,27.408,50630,0
WMK.US,D,20050525,000000,27.552,27.734,27.115,27.154,40669,0
WMK.US,D,20050526,000000,27.377,27.485,26.996,27.172,133467,0
WMK.US,D,20050527,000000,27.06,27.478,27.054,27.393,37529,0
WMK.US,D,20050531,000000,27.246,27.408,26.921,26.921,42171,0
WMK.US,D,20050601,000000,26.859,27.537,26.787,27.077,49805,0
WMK.US,D,20050602,000000,27.1,28.117,27.077,27.172,97306,0
WMK.US,D,20050603,000000,27.172,27.45,26.943,27.163,77647,0
WMK.US,D,20050606,000000,27.238,27.478,27.06,27.45,53907,0
WMK.US,D,20050607,000000,27.552,27.698,27.184,27.331,68365,0
WMK.US,D,20050608,000000,27.408,27.815,27.368,27.478,78469,0
WMK.US,D,20050609,000000,27.591,27.75,27.354,27.641,58547,0
WMK.US,D,20050610,000000,27.641,27.661,27.15,27.604,42301,0
WMK.US,D,20050613,000000,27.604,27.958,27.462,27.655,66867,0
WMK.US,D,20050614,000000,27.661,27.92,27.524,27.629,39577,0
WMK.US,D,20050615,000000,27.552,27.992,27.478,27.845,74235,0
WMK.US,D,20050616,000000,27.773,28.459,27.591,28.139,59776,0
WMK.US,D,20050617,000000,28.32,28.32,27.727,27.734,95799,0
WMK.US,D,20050620,000000,27.881,27.881,27.462,27.537,29614,0
WMK.US,D,20050621,000000,27.393,27.881,27.393,27.722,43124,0
WMK.US,D,20050622,000000,27.661,28.32,27.508,28.028,61958,0
WMK.US,D,20050623,000000,28.036,28.537,27.734,27.868,63588,0
WMK.US,D,20050624,000000,27.796,27.92,27.27,27.408,145065,0
WMK.US,D,20050627,000000,27.436,27.992,27.222,27.92,39985,0
WMK.US,D,20050628,000000,27.92,28.438,27.92,28.374,43943,0
WMK.US,D,20050629,000000,28.521,28.88,28.491,28.815,38349,0
WMK.US,D,20050630,000000,28.922,29.019,28.418,28.425,26065,0
WMK.US,D,20050701,000000,28.403,28.403,27.443,27.478,59776,0
WMK.US,D,20050705,000000,27.516,28.43,27.516,28.418,34252,0
WMK.US,D,20050706,000000,28.562,29.004,28.467,28.512,72191,0
WMK.US,D,20050707,000000,28.366,28.906,28.176,28.576,58680,0
WMK.US,D,20050708,000000,28.544,28.824,28.445,28.576,59776,0
WMK.US,D,20050711,000000,28.576,29.048,28.521,28.689,74917,0
WMK.US,D,20050712,000000,28.689,29.083,28.651,28.718,56497,0
WMK.US,D,20050713,000000,28.753,28.761,28.544,28.651,18968,0
WMK.US,D,20050714,000000,28.753,28.799,28.028,28.153,59087,0
WMK.US,D,20050715,000000,28.104,29.061,28.087,28.906,47488,0
WMK.US,D,20050718,000000,28.906,28.93,28.644,28.746,37389,0
WMK.US,D,20050719,000000,28.892,28.98,28.807,28.94,24428,0
WMK.US,D,20050720,000000,28.753,29.166,28.753,29.09,61543,0
WMK.US,D,20050721,000000,28.946,29.312,28.922,29.166,78603,0
WMK.US,D,20050722,000000,29.203,29.685,29.203,29.559,96070,0
WMK.US,D,20050725,000000,29.312,29.574,29.048,29.097,43395,0
WMK.US,D,20050726,000000,29.281,29.487,28.946,29.09,39166,0
WMK.US,D,20050727,000000,29.235,29.459,28.973,29.312,24290,0
WMK.US,D,20050728,000000,29.418,29.749,29.273,29.749,42576,0
WMK.US,D,20050729,000000,29.672,29.968,29.672,29.899,36436,0
WMK.US,D,20050801,000000,29.79,29.968,29.767,29.823,71369,0
WMK.US,D,20050802,000000,29.832,30.542,29.832,30.099,144382,0
WMK.US,D,20050803,000000,29.968,30.148,29.679,29.679,80924,0
WMK.US,D,20050804,000000,29.601,29.692,28.892,29.09,59776,0
WMK.US,D,20050805,000000,29.061,29.061,28.227,28.576,50084,0
WMK.US,D,20050808,000000,28.636,28.674,28.482,28.636,33846,0
WMK.US,D,20050809,000000,28.636,29.249,28.636,28.815,31798,0
WMK.US,D,20050810,000000,28.807,29.077,28.576,28.689,40669,0
WMK.US,D,20050811,000000,28.761,28.906,28.576,28.718,18427,0
WMK.US,D,20050812,000000,28.644,28.724,28.146,28.418,35754,0
WMK.US,D,20050815,000000,28.306,28.892,28.183,28.576,34661,0
WMK.US,D,20050816,000000,28.467,28.506,27.92,28.359,60456,0
WMK.US,D,20050817,000000,28.359,29.034,28.359,28.425,50084,0
WMK.US,D,20050818,000000,28.467,28.467,27.78,27.788,38211,0
WMK.US,D,20050819,000000,27.796,28.418,27.734,28.285,45310,0
WMK.US,D,20050822,000000,28.359,28.651,28.212,28.512,53628,0
WMK.US,D,20050823,000000,28.512,28.512,28.176,28.279,26203,0
WMK.US,D,20050824,000000,28.212,28.668,28.176,28.212,90752,0
WMK.US,D,20050825,000000,28.104,28.212,27.992,28.028,82559,0
WMK.US,D,20050826,000000,27.845,27.958,27.462,27.591,51860,0
WMK.US,D,20050829,000000,27.408,28.059,27.222,27.904,39710,0
WMK.US,D,20050830,000000,27.837,27.837,27.238,27.552,25793,0
WMK.US,D,20050831,000000,27.734,27.831,27.215,27.641,94297,0
WMK.US,D,20050901,000000,27.457,28.467,27.45,28.397,52265,0
