<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPP.US,D,20050225,000000,37.684,38.05,37.598,37.99,749698,0
WPP.US,D,20050228,000000,37.952,37.952,37.423,37.63,258026,0
WPP.US,D,20050301,000000,38.241,38.613,38.241,38.572,299086,0
WPP.US,D,20050302,000000,38.392,38.613,38.228,38.287,327504,0
WPP.US,D,20050303,000000,38.483,38.712,38.456,38.515,658161,0
WPP.US,D,20050304,000000,38.934,39.364,38.914,39.072,1044576,0
WPP.US,D,20050307,000000,38.941,39.398,38.744,39.233,1174675,0
WPP.US,D,20050308,000000,39.267,39.629,39.202,39.301,784000,0
WPP.US,D,20050309,000000,38.776,39.175,38.776,38.88,209149,0
WPP.US,D,20050310,000000,38.906,39.124,38.613,38.864,161160,0
WPP.US,D,20050311,000000,38.398,38.75,38.365,38.47,383061,0
WPP.US,D,20050314,000000,38.279,38.287,38.05,38.156,259170,0
WPP.US,D,20050315,000000,38.635,38.672,38.293,38.293,272585,0
WPP.US,D,20050316,000000,38.409,38.541,38.119,38.252,423259,0
WPP.US,D,20050317,000000,38.442,38.771,38.306,38.556,265740,0
WPP.US,D,20050318,000000,38.572,38.952,38.572,38.952,186475,0
WPP.US,D,20050321,000000,38.463,38.549,38.05,38.265,324741,0
WPP.US,D,20050322,000000,38.119,38.626,37.63,37.768,438510,0
WPP.US,D,20050323,000000,37.423,37.584,37.234,37.239,268835,0
WPP.US,D,20050324,000000,37.16,37.429,37.05,37.318,155780,0
WPP.US,D,20050328,000000,36.878,37.499,36.878,37.311,121290,0
WPP.US,D,20050329,000000,37.239,37.304,36.838,36.847,98291,0
WPP.US,D,20050330,000000,36.983,37.304,36.945,37.284,273339,0
WPP.US,D,20050331,000000,37.272,37.304,36.899,37.127,160153,0
WPP.US,D,20050401,000000,37.377,37.584,36.978,37.147,307383,0
WPP.US,D,20050404,000000,37.002,37.234,36.872,37.175,75886,0
WPP.US,D,20050405,000000,37.219,37.402,37.14,37.402,163751,0
WPP.US,D,20050406,000000,37.337,37.455,36.983,37.204,1057646,0
WPP.US,D,20050407,000000,37.814,38.076,37.724,37.86,1016323,0
WPP.US,D,20050408,000000,37.952,38.338,37.731,38.252,308038,0
WPP.US,D,20050411,000000,38.417,38.456,38.156,38.3,204903,0
WPP.US,D,20050412,000000,37.737,37.952,37.377,37.912,211563,0
WPP.US,D,20050413,000000,38.098,38.207,37.905,37.939,97075,0
WPP.US,D,20050414,000000,37.939,37.958,37.499,37.593,97167,0
WPP.US,D,20050415,000000,37.277,37.277,36.622,36.657,125533,0
