<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSM.US,D,20050225,000000,26.428,26.728,26.098,26.591,759977,0
WSM.US,D,20050228,000000,26.606,26.908,26.507,26.81,537540,0
WSM.US,D,20050301,000000,26.915,27.471,26.908,27.442,1016715,0
WSM.US,D,20050302,000000,27.436,27.508,26.953,27.051,676127,0
WSM.US,D,20050303,000000,27.203,27.354,26.53,26.899,743160,0
WSM.US,D,20050304,000000,26.899,26.899,26.245,26.66,2028000,0
WSM.US,D,20050307,000000,26.622,26.753,26.397,26.63,999505,0
WSM.US,D,20050308,000000,26.817,27.016,26.498,26.638,901809,0
WSM.US,D,20050309,000000,26.638,27.163,26.523,27.066,1452677,0
WSM.US,D,20050310,000000,27.194,27.404,27.066,27.239,1005331,0
WSM.US,D,20050311,000000,27.203,27.411,27.093,27.239,1133435,0
WSM.US,D,20050314,000000,27.348,27.471,27.225,27.404,843580,0
WSM.US,D,20050315,000000,27.436,27.874,27.436,27.757,1238125,0
WSM.US,D,20050316,000000,27.757,27.813,27.216,27.247,1047387,0
WSM.US,D,20050317,000000,27.255,27.354,27,27.23,856255,0
WSM.US,D,20050318,000000,27.239,27.239,26.976,27.058,1405183,0
WSM.US,D,20050321,000000,27.11,27.239,26.786,27.11,1199820,0
WSM.US,D,20050322,000000,27.139,28.551,27.11,28.277,2797033,0
WSM.US,D,20050323,000000,28.245,28.314,27.936,28.222,1378914,0
WSM.US,D,20050324,000000,28.359,28.586,28.12,28.178,2228055,0
WSM.US,D,20050328,000000,27.936,28.319,27.757,27.997,2093605,0
WSM.US,D,20050329,000000,28.013,28.385,27.922,28.096,1322238,0
WSM.US,D,20050330,000000,28.206,28.972,28.206,28.9,1406218,0
WSM.US,D,20050331,000000,28.9,28.935,28.314,28.399,1010631,0
WSM.US,D,20050401,000000,28.538,28.586,27.788,27.852,984361,0
WSM.US,D,20050404,000000,27.852,27.997,27.633,27.788,1463285,0
WSM.US,D,20050405,000000,27.82,28.408,27.82,28.17,629800,0
WSM.US,D,20050406,000000,28.359,28.399,28.046,28.076,520199,0
WSM.US,D,20050407,000000,28.082,28.327,27.957,28.129,926391,0
WSM.US,D,20050408,000000,28.013,28.12,27.697,27.796,694505,0
WSM.US,D,20050411,000000,28.013,28.089,27.843,27.906,424440,0
WSM.US,D,20050412,000000,27.82,27.891,27.321,27.82,1090476,0
WSM.US,D,20050413,000000,27.9,27.981,27.354,27.372,757136,0
WSM.US,D,20050414,000000,27.34,27.458,26.839,26.939,1617145,0
WSM.US,D,20050415,000000,26.585,26.66,25.888,26.012,1634093,0
WSM.US,D,20050418,000000,26.199,26.864,26.036,26.795,1444001,0
WSM.US,D,20050419,000000,26.946,26.992,26.469,26.575,816789,0
WSM.US,D,20050420,000000,26.66,26.66,25.966,26.051,1304767,0
WSM.US,D,20050421,000000,26.585,26.692,26.113,26.683,942571,0
WSM.US,D,20050422,000000,26.622,26.622,25.888,26.029,1263357,0
WSM.US,D,20050425,000000,26.036,26.389,25.894,26.322,710036,0
WSM.US,D,20050426,000000,26.237,26.601,25.989,26.214,806049,0
WSM.US,D,20050427,000000,26.22,26.848,25.951,26.561,1046867,0
WSM.US,D,20050428,000000,26.523,26.523,25.934,26.02,1464581,0
WSM.US,D,20050429,000000,26.02,26.043,25.309,25.879,2801827,0
WSM.US,D,20050502,000000,25.879,26.421,25.84,26.339,1258697,0
WSM.US,D,20050503,000000,26.315,26.654,26.307,26.553,1042594,0
WSM.US,D,20050504,000000,26.699,26.968,26.561,26.961,803592,0
WSM.US,D,20050505,000000,26.961,27.915,26.817,27.147,1486447,0
WSM.US,D,20050506,000000,27.147,27.163,26.484,26.498,1248605,0
WSM.US,D,20050509,000000,26.469,26.946,26.404,26.669,713526,0
WSM.US,D,20050510,000000,26.669,26.89,26.428,26.89,848877,0
WSM.US,D,20050511,000000,26.932,27.051,26.507,26.66,419391,0
WSM.US,D,20050512,000000,26.613,26.736,26.322,26.601,1111438,0
WSM.US,D,20050513,000000,26.601,26.883,26.428,26.795,783790,0
WSM.US,D,20050516,000000,26.714,27.203,26.669,27.203,532748,0
WSM.US,D,20050517,000000,27.203,28.319,27.203,28.23,1399362,0
WSM.US,D,20050518,000000,28.593,29.159,28.593,28.972,1179113,0
WSM.US,D,20050519,000000,28.847,29.596,28.753,29.21,923419,0
WSM.US,D,20050520,000000,28.964,29.07,28.761,29.07,635369,0
WSM.US,D,20050523,000000,28.941,29.31,28.825,29.152,1172651,0
WSM.US,D,20050524,000000,29.165,29.373,28.64,29.266,1778251,0
WSM.US,D,20050525,000000,29.444,29.722,29.171,29.653,1315634,0
WSM.US,D,20050526,000000,29.752,30.217,29.737,30.015,1536398,0
WSM.US,D,20050527,000000,30.023,30.287,29.767,30.185,789224,0
WSM.US,D,20050531,000000,30.136,30.557,29.676,30.396,1986332,0
WSM.US,D,20050601,000000,30.33,30.509,30.06,30.185,1134732,0
WSM.US,D,20050602,000000,30.099,30.439,29.998,30.424,907763,0
WSM.US,D,20050603,000000,30.409,30.47,29.998,30.086,759722,0
WSM.US,D,20050606,000000,30.113,30.264,29.83,30.185,432722,0
WSM.US,D,20050607,000000,30.264,30.941,30.217,30.679,957058,0
WSM.US,D,20050608,000000,30.941,31.204,30.672,30.748,897792,0
WSM.US,D,20050609,000000,30.788,30.835,30.378,30.709,564712,0
WSM.US,D,20050610,000000,30.756,30.796,30.387,30.478,1076374,0
WSM.US,D,20050613,000000,30.295,30.941,30.272,30.911,674451,0
WSM.US,D,20050614,000000,30.82,31.545,30.756,31.545,838916,0
WSM.US,D,20050615,000000,31.561,31.645,31.296,31.561,1124375,0
WSM.US,D,20050616,000000,31.561,32.071,31.458,31.999,683891,0
WSM.US,D,20050617,000000,32.194,32.21,31.66,31.84,1132144,0
WSM.US,D,20050620,000000,31.645,31.854,31.586,31.785,812775,0
WSM.US,D,20050621,000000,31.714,31.902,31.499,31.597,937132,0
WSM.US,D,20050622,000000,31.597,31.669,31.245,31.451,1049581,0
WSM.US,D,20050623,000000,31.414,31.528,30.843,30.873,740312,0
WSM.US,D,20050624,000000,31.028,31.028,30.223,30.424,1262580,0
WSM.US,D,20050627,000000,30.486,31.489,30.301,30.679,1589453,0
WSM.US,D,20050628,000000,30.679,31.228,30.565,31.22,695798,0
WSM.US,D,20050629,000000,31.179,31.189,30.396,30.593,545563,0
WSM.US,D,20050630,000000,30.616,30.954,30.557,30.579,652318,0
WSM.US,D,20050701,000000,30.717,30.889,30.409,30.503,538964,0
WSM.US,D,20050705,000000,30.455,31.105,30.217,31.035,802298,0
WSM.US,D,20050706,000000,31.067,31.831,30.6,31.714,1084264,0
WSM.US,D,20050707,000000,31.451,31.91,31.345,31.554,780039,0
WSM.US,D,20050708,000000,31.554,31.76,31.435,31.745,450448,0
WSM.US,D,20050711,000000,31.684,32.297,31.586,32.257,466490,0
