<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSO-B.US,D,20210924,000000,276.05,276.13,275.45,275.45,2069,0
WSO-B.US,D,20210927,000000,275.73,275.73,272.3,274.65,2661,0
WSO-B.US,D,20210928,000000,271.43,271.43,269.85,269.85,512,0
WSO-B.US,D,20210929,000000,269.89,270.03,269.89,270.03,318,0
WSO-B.US,D,20210930,000000,266.8,266.8,266.8,266.8,216,0
WSO-B.US,D,20211001,000000,265.05,265.05,265.05,265.05,716,0
WSO-B.US,D,20211004,000000,264.98,264.98,264.98,264.98,232,0
WSO-B.US,D,20211007,000000,275.95,275.95,275.95,275.95,408,0
WSO-B.US,D,20211021,000000,294,294,294,294,1005,0
WSO-B.US,D,20211022,000000,300.41,300.41,295.95,297.82,6192,0
WSO-B.US,D,20211025,000000,295.85,295.85,295.85,295.85,106,0
WSO-B.US,D,20211101,000000,295.21,295.21,294.22,294.22,613,0
WSO-B.US,D,20211112,000000,302.69,302.69,302.69,302.69,392,0
WSO-B.US,D,20211202,000000,298.54,299.22,298.54,299.22,442,0
WSO-B.US,D,20211207,000000,297.55,307.19,297.55,307.19,774,0
WSO-B.US,D,20211217,000000,311.36,311.36,309.0485,309.0485,447,0
WSO-B.US,D,20211222,000000,300.28,300.28,300.28,300.28,190,0
WSO-B.US,D,20211228,000000,305.43,305.43,304.83,304.83,606,0
WSO-B.US,D,20211229,000000,306.82,306.8202,306.82,306.8202,330,0
WSO-B.US,D,20220104,000000,305.8,311.9,305.8,311,1374,0
WSO-B.US,D,20220105,000000,313.37,314,313.37,314,529,0
WSO-B.US,D,20220113,000000,302.87,302.87,302.87,302.87,114,0
WSO-B.US,D,20220114,000000,293.68,293.68,293.68,293.68,241,0
