<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTRG.US,D,20050225,000000,11.167,11.233,11.118,11.2,410362,0
WTRG.US,D,20050228,000000,11.207,11.406,11.174,11.347,367486,0
WTRG.US,D,20050301,000000,11.462,11.545,11.452,11.545,522317,0
WTRG.US,D,20050302,000000,11.563,11.595,11.476,11.514,491569,0
WTRG.US,D,20050303,000000,11.508,11.656,11.508,11.639,334570,0
WTRG.US,D,20050304,000000,11.632,11.774,11.589,11.742,399531,0
WTRG.US,D,20050307,000000,11.589,11.774,11.589,11.774,283899,0
WTRG.US,D,20050308,000000,11.703,11.925,11.661,11.833,326557,0
WTRG.US,D,20050309,000000,11.838,11.883,11.661,11.703,274153,0
WTRG.US,D,20050310,000000,11.661,11.756,11.521,11.545,288010,0
WTRG.US,D,20050311,000000,11.534,11.611,11.483,11.563,296674,0
WTRG.US,D,20050314,000000,11.583,11.767,11.583,11.685,350161,0
WTRG.US,D,20050315,000000,11.78,11.883,11.703,11.742,351894,0
WTRG.US,D,20050316,000000,11.767,11.823,11.452,11.476,351028,0
WTRG.US,D,20050317,000000,11.521,11.557,11.431,11.476,290176,0
WTRG.US,D,20050318,000000,11.245,11.355,11.125,11.237,932895,0
WTRG.US,D,20050321,000000,11.174,11.34,11.096,11.34,432231,0
WTRG.US,D,20050322,000000,11.29,11.495,11.237,11.262,331320,0
WTRG.US,D,20050323,000000,11.262,11.28,11.066,11.066,449986,0
WTRG.US,D,20050324,000000,11.072,11.125,10.954,10.954,417723,0
WTRG.US,D,20050328,000000,10.928,11.227,10.862,11.174,436132,0
WTRG.US,D,20050329,000000,11.149,11.368,11.091,11.096,395202,0
WTRG.US,D,20050330,000000,11.113,11.333,11.091,11.321,236905,0
WTRG.US,D,20050331,000000,11.321,11.388,11.245,11.252,220882,0
WTRG.US,D,20050401,000000,11.268,11.34,11.118,11.174,302518,0
WTRG.US,D,20050404,000000,11.193,11.368,11.103,11.368,216988,0
WTRG.US,D,20050405,000000,11.368,11.545,11.355,11.452,368787,0
WTRG.US,D,20050406,000000,11.452,11.589,11.431,11.527,300783,0
WTRG.US,D,20050407,000000,11.459,11.632,11.445,11.626,292993,0
