<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
X.US,D,19910412,000000,17.114,20.106,17.114,19.463,526811,0
X.US,D,19910415,000000,19.784,22.353,19.784,22.246,429227,0
X.US,D,19910416,000000,22.246,22.569,21.397,21.497,419942,0
X.US,D,19910417,000000,21.817,22.466,21.817,22.036,224449,0
X.US,D,19910418,000000,22.036,23.428,22.036,22.786,233845,0
X.US,D,19910419,000000,22.786,23,22.353,22.676,151126,0
X.US,D,19910422,000000,22.676,22.676,22.137,22.137,60207,0
X.US,D,19910423,000000,22.137,22.353,21.609,22.036,134951,0
X.US,D,19910424,000000,22.036,22.246,21.397,22.036,71027,0
X.US,D,19910425,000000,21.927,21.927,21.609,21.609,108948,0
X.US,D,19910426,000000,21.609,21.817,20.965,21.179,96817,0
X.US,D,19910429,000000,21.179,21.179,19.577,19.577,85342,0
X.US,D,19910430,000000,19.577,19.784,19.364,19.684,116048,0
X.US,D,19910501,000000,19.684,21.609,19.684,21.609,97584,0
X.US,D,19910502,000000,21.609,21.715,20.537,20.537,62835,0
X.US,D,19910503,000000,20.537,20.756,19.893,20.756,84357,0
X.US,D,19910506,000000,20.644,20.644,20.216,20.644,39119,0
X.US,D,19910507,000000,20.106,20.537,19.147,19.147,509762,0
X.US,D,19910508,000000,19.147,20.425,18.935,20.425,345194,0
X.US,D,19910509,000000,20.644,21.497,20.644,21.284,354593,0
X.US,D,19910510,000000,21.284,22.137,21.284,21.609,586143,0
X.US,D,19910513,000000,21.609,22.036,21.497,22.036,188601,0
X.US,D,19910514,000000,22.036,22.036,21.397,21.397,368690,0
X.US,D,19910515,000000,21.397,21.497,21.397,21.397,596526,0
X.US,D,19910516,000000,21.497,21.609,21.397,21.397,139978,0
X.US,D,19910517,000000,21.397,21.497,21.397,21.397,254170,0
X.US,D,19910520,000000,21.397,21.497,21.397,21.397,227943,0
X.US,D,19910521,000000,21.397,21.497,21.397,21.397,325307,0
X.US,D,19910522,000000,21.284,21.497,20.965,20.965,416117,0
X.US,D,19910523,000000,20.756,20.857,20.325,20.425,510090,0
X.US,D,19910524,000000,20.325,20.644,20.325,20.537,715308,0
X.US,D,19910528,000000,20.537,20.644,20.425,20.537,407373,0
X.US,D,19910529,000000,20.537,20.644,20.325,20.537,393499,0
X.US,D,19910530,000000,20.644,20.857,20.425,20.756,5324482,0
X.US,D,19910531,000000,20.857,21.609,20.857,21.609,788958,0
X.US,D,19910603,000000,21.609,21.817,21.397,21.497,359945,0
X.US,D,19910604,000000,21.075,21.179,20.965,21.075,248271,0
X.US,D,19910605,000000,21.075,21.609,20.756,21.497,995265,0
X.US,D,19910606,000000,21.179,21.497,21.075,21.179,348806,0
X.US,D,19910607,000000,21.075,21.397,20.857,21.179,272966,0
X.US,D,19910610,000000,21.075,21.284,20.965,21.179,166536,0
X.US,D,19910611,000000,21.397,21.609,21.284,21.284,1691672,0
X.US,D,19910612,000000,21.284,21.397,20.756,20.756,219535,0
X.US,D,19910613,000000,20.644,20.756,20.325,20.537,356452,0
X.US,D,19910614,000000,20.537,20.756,20.425,20.756,307934,0
X.US,D,19910617,000000,20.644,20.965,20.537,20.537,333831,0
X.US,D,19910618,000000,20.325,20.537,20.325,20.425,368142,0
X.US,D,19910619,000000,20.425,20.425,19.784,19.893,438190,0
X.US,D,19910620,000000,19.784,20.005,19.577,19.784,263898,0
X.US,D,19910621,000000,19.893,19.893,19.684,19.893,354377,0
X.US,D,19910624,000000,19.684,20.005,19.364,19.684,353504,0
X.US,D,19910625,000000,19.577,19.684,18.716,19.147,387593,0
X.US,D,19910626,000000,19.042,19.147,18.506,18.935,760219,0
X.US,D,19910627,000000,19.042,19.463,18.935,19.364,218112,0
X.US,D,19910628,000000,19.364,19.684,19.147,19.577,349351,0
X.US,D,19910701,000000,19.684,20.005,19.463,19.577,234175,0
X.US,D,19910702,000000,19.463,20.005,19.463,19.893,142930,0
X.US,D,19910703,000000,19.684,19.893,19.577,19.784,189588,0
