<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XJUN.US,D,20210714,000000,29.7099,29.7099,29.6516,29.6516,338,0
XJUN.US,D,20210715,000000,29.6,29.6133,29.6,29.6133,10915,0
XJUN.US,D,20210716,000000,29.64,29.66,29.5147,29.5147,49703,0
XJUN.US,D,20210719,000000,29.41,29.41,29.22,29.33,35976,0
XJUN.US,D,20210720,000000,29.5075,29.58,29.44,29.5555,25968,0
XJUN.US,D,20210721,000000,29.61,29.65,29.6025,29.6025,9020,0
XJUN.US,D,20210722,000000,29.67,29.7,29.6,29.64,17155,0
XJUN.US,D,20210723,000000,29.76,29.83,29.7475,29.75,9375,0
XJUN.US,D,20210726,000000,29.7,29.82,29.7,29.77,3423,0
XJUN.US,D,20210727,000000,29.69,29.74,29.69,29.7064,1318,0
XJUN.US,D,20210728,000000,29.76,29.795,29.6701,29.7438,5495,0
XJUN.US,D,20210729,000000,29.7898,29.7898,29.7898,29.7898,3,0
XJUN.US,D,20210730,000000,29.8,29.8,29.7667,29.7667,374,0
XJUN.US,D,20210802,000000,29.81,29.81,29.7247,29.7247,2082,0
XJUN.US,D,20210803,000000,29.75,29.8588,29.7315,29.8002,19240,0
XJUN.US,D,20210804,000000,29.81,29.82,29.72,29.81,2693,0
XJUN.US,D,20210805,000000,29.85,29.85,29.821,29.821,5423,0
XJUN.US,D,20210806,000000,29.89,29.89,29.86,29.86,600,0
XJUN.US,D,20210809,000000,32.2712,32.2712,29.8349,29.8349,8151,0
XJUN.US,D,20210810,000000,29.89,29.91,29.8443,29.8443,2423,0
XJUN.US,D,20210811,000000,29.87,29.8811,29.87,29.8811,284,0
XJUN.US,D,20210812,000000,29.9108,29.9108,29.9108,29.9108,80,0
XJUN.US,D,20210813,000000,29.9315,29.9315,29.9315,29.9315,22,0
XJUN.US,D,20210816,000000,29.9,29.9597,29.9,29.9597,1361,0
XJUN.US,D,20210817,000000,29.8692,29.8692,29.8692,29.8692,81,0
XJUN.US,D,20210818,000000,29.898,29.9,29.7421,29.7421,1624,0
XJUN.US,D,20210819,000000,29.7999,29.7999,29.735,29.7356,8074,0
XJUN.US,D,20210820,000000,29.87,29.886,29.8459,29.8459,715,0
XJUN.US,D,20210823,000000,29.96,29.96,29.9498,29.9498,406,0
XJUN.US,D,20210824,000000,29.99,29.99,29.9472,29.9472,167,0
XJUN.US,D,20210825,000000,29.99,30.0488,29.99,29.9902,976,0
XJUN.US,D,20210826,000000,29.9169,29.9169,29.9169,29.9169,22,0
XJUN.US,D,20210827,000000,29.9,30.0899,29.9,30.0284,480,0
XJUN.US,D,20210830,000000,30.0528,30.0528,30.0528,30.0528,25,0
XJUN.US,D,20210831,000000,30.09,30.0967,30.0392,30.0392,1692,0
XJUN.US,D,20210901,000000,30,30.0498,30,30.0498,3475,0
XJUN.US,D,20210902,000000,30.13,30.13,29.9912,30.0697,22355,0
XJUN.US,D,20210903,000000,30,30.12,29.96,30.06,14034,0
XJUN.US,D,20210907,000000,29.98,30.058,29.9601,30.01,27434,0
XJUN.US,D,20210908,000000,29.92,29.9915,29.91,29.9915,3641,0
XJUN.US,D,20210909,000000,29.98,29.98,29.9413,29.9413,572,0
XJUN.US,D,20210910,000000,29.98,29.98,29.8502,29.8502,2220,0
XJUN.US,D,20210913,000000,29.8851,29.8851,29.8851,29.8851,22,0
XJUN.US,D,20210914,000000,29.93,29.93,29.8427,29.8427,403,0
XJUN.US,D,20210915,000000,29.9413,29.9413,29.9413,29.9413,82,0
XJUN.US,D,20210916,000000,29.9586,30.01,29.906,29.9303,10145,0
XJUN.US,D,20210917,000000,29.8601,29.8601,29.8601,29.8601,1,0
XJUN.US,D,20210920,000000,31,31,29.51,29.6113,987,0
XJUN.US,D,20210921,000000,29.73,29.73,29.6485,29.6485,451,0
XJUN.US,D,20210922,000000,29.84,29.84,29.8,29.81,2501,0
XJUN.US,D,20210923,000000,29.86,30.0199,29.86,29.86,53483,0
XJUN.US,D,20210924,000000,29.96,29.96,29.96,29.96,1,0
XJUN.US,D,20210927,000000,29.86,29.9064,29.86,29.9064,690,0
XJUN.US,D,20210928,000000,29.63,29.67,29.61,29.6585,1008,0
XJUN.US,D,20210929,000000,29.67,29.79,29.63,29.6951,1356,0
XJUN.US,D,20210930,000000,29.7619,29.7619,29.59,29.5995,1493,0
XJUN.US,D,20211001,000000,29.52,29.7314,29.52,29.7314,801,0
XJUN.US,D,20211004,000000,29.47,29.5639,29.47,29.5639,101,0
XJUN.US,D,20211005,000000,29.705,29.7079,29.705,29.7079,338,0
XJUN.US,D,20211006,000000,29.51,29.77,29.51,29.7466,763,0
XJUN.US,D,20211007,000000,29.82,29.8421,29.82,29.8421,200,0
XJUN.US,D,20211008,000000,29.8,29.8423,29.8,29.8423,200,0
XJUN.US,D,20211011,000000,29.82,29.86,29.783,29.783,600,0
XJUN.US,D,20211012,000000,29.68,29.7704,29.68,29.7704,101,0
XJUN.US,D,20211013,000000,29.66,29.827,29.66,29.827,600,0
XJUN.US,D,20211014,000000,29.87,29.9988,29.87,29.9988,430,0
XJUN.US,D,20211015,000000,29.97,29.9945,29.97,29.9945,600,0
XJUN.US,D,20211018,000000,30.0819,30.0967,30.0819,30.0967,166,0
XJUN.US,D,20211019,000000,30.03,30.1655,30.03,30.1655,300,0
XJUN.US,D,20211020,000000,30.174,30.201,30.174,30.201,200,0
XJUN.US,D,20211021,000000,30.1,30.239,30.1,30.239,270,0
XJUN.US,D,20211022,000000,30.13,30.23,30.13,30.23,100,0
XJUN.US,D,20211025,000000,30.12,30.2802,30.12,30.2802,212,0
XJUN.US,D,20211026,000000,30.24,30.2813,30.24,30.2813,639,0
XJUN.US,D,20211027,000000,30.2239,30.2239,30.2239,30.2239,200,0
XJUN.US,D,20211028,000000,30.16,30.2,30.16,30.2,400,0
XJUN.US,D,20211029,000000,30.15,30.3297,30.15,30.3297,200,0
XJUN.US,D,20211101,000000,30.37,30.37,30.3279,30.3279,113,0
XJUN.US,D,20211102,000000,30.4,30.42,30.3751,30.3751,351,0
XJUN.US,D,20211103,000000,30.26,30.4438,30.26,30.4438,400,0
XJUN.US,D,20211104,000000,30.36,30.457,30.36,30.457,100,0
XJUN.US,D,20211105,000000,30.39,30.4639,30.39,30.4639,101,0
XJUN.US,D,20211108,000000,30.35,30.4405,30.35,30.4405,286,0
XJUN.US,D,20211109,000000,30.4134,30.4134,30.4134,30.4134,3,0
XJUN.US,D,20211110,000000,30.28,30.3889,30.28,30.3889,200,0
XJUN.US,D,20211111,000000,30.4,30.4,30.4,30.4,32,0
XJUN.US,D,20211112,000000,30.4598,30.4598,30.4598,30.4598,3,0
XJUN.US,D,20211115,000000,30.3701,30.4216,30.37,30.4216,3446,0
XJUN.US,D,20211116,000000,30.4552,30.4552,30.4552,30.4552,3,0
XJUN.US,D,20211117,000000,30.49,30.49,30.49,30.49,211,0
XJUN.US,D,20211118,000000,30.4339,30.4339,30.4339,30.4339,25,0
XJUN.US,D,20211119,000000,30.37,30.4184,30.37,30.4184,398,0
XJUN.US,D,20211122,000000,30.3892,30.3892,30.3892,30.3892,3,0
XJUN.US,D,20211123,000000,30.4,30.4302,30.4,30.4302,200,0
XJUN.US,D,20211124,000000,30.4647,30.4647,30.4647,30.4647,3,0
XJUN.US,D,20211126,000000,30.138,30.138,30.138,30.138,3,0
XJUN.US,D,20211129,000000,30.32,30.3638,30.32,30.3638,1562,0
XJUN.US,D,20211130,000000,30.32,30.32,30.0939,30.0939,271,0
XJUN.US,D,20211201,000000,30.17,30.24,29.9675,29.9675,602,0
XJUN.US,D,20211202,000000,30.0987,30.0987,30.0987,30.0987,3,0
XJUN.US,D,20211203,000000,29.971,29.971,29.971,29.971,3,0
XJUN.US,D,20211206,000000,30.1323,30.1323,30.1323,30.1323,3,0
XJUN.US,D,20211207,000000,30.45,30.45,30.3607,30.3607,196,0
XJUN.US,D,20211208,000000,30.4262,30.4262,30.4262,30.4262,1,0
XJUN.US,D,20211209,000000,30.3672,30.3672,30.3672,30.3672,3,0
XJUN.US,D,20211210,000000,30.4646,30.4646,30.4646,30.4646,51,0
XJUN.US,D,20211213,000000,30.3858,30.3858,30.3858,30.3858,3,0
XJUN.US,D,20211214,000000,30.317,30.317,30.317,30.317,1,0
XJUN.US,D,20211215,000000,30.4561,30.4561,30.4561,30.4561,3,0
XJUN.US,D,20211216,000000,30.3889,30.3889,30.3889,30.3889,27,0
XJUN.US,D,20211217,000000,30.2932,30.2932,30.2932,30.2932,3,0
XJUN.US,D,20211220,000000,30.2073,30.2073,30.2073,30.2073,3,0
XJUN.US,D,20211221,000000,30.3695,30.3695,30.3695,30.3695,1,0
XJUN.US,D,20211222,000000,30.475,30.475,30.475,30.475,3,0
XJUN.US,D,20211223,000000,30.5262,30.5262,30.5262,30.5262,3,0
XJUN.US,D,20211227,000000,30.615,30.615,30.615,30.615,3,0
XJUN.US,D,20211228,000000,30.6152,30.6152,30.6152,30.6152,1,0
XJUN.US,D,20211229,000000,30.6533,30.6533,30.6533,30.6533,3,0
XJUN.US,D,20211230,000000,30.6315,30.6315,30.6315,30.6315,3,0
XJUN.US,D,20211231,000000,30.6352,30.6352,30.6352,30.6352,3,0
XJUN.US,D,20220103,000000,30.59,30.6846,30.59,30.6846,3760,0
XJUN.US,D,20220104,000000,30.6934,30.6934,30.6934,30.6934,3,0
XJUN.US,D,20220105,000000,30.59,30.59,30.5457,30.5457,400,0
XJUN.US,D,20220106,000000,30.61,30.61,30.5343,30.5343,2620,0
XJUN.US,D,20220107,000000,30.59,30.59,30.533,30.533,424,0
XJUN.US,D,20220110,000000,30.5297,30.5297,30.5297,30.5297,3,0
XJUN.US,D,20220111,000000,30.6168,30.6168,30.6168,30.6168,3,0
XJUN.US,D,20220112,000000,30.6191,30.6191,30.6191,30.6191,3,0
XJUN.US,D,20220113,000000,30.5193,30.5193,30.5193,30.5193,70,0
XJUN.US,D,20220114,000000,30.5478,30.5478,30.5478,30.5478,3,0
XJUN.US,D,20220118,000000,30.3724,30.3724,30.3724,30.3724,3,0
XJUN.US,D,20220119,000000,30.3033,30.3033,30.3033,30.3033,3,0
XJUN.US,D,20220120,000000,30.4,30.4,30.1943,30.1943,172947,0
