<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSAC-U.US,D,20220105,000000,10.5,10.5001,10.5,10.5001,736,0
YSAC-U.US,D,20220106,000000,10.5,10.5,10.5,10.5,125,0
YSAC-U.US,D,20220107,000000,10.53,10.54,10.5002,10.54,400,0
YSAC-U.US,D,20220110,000000,10.525,10.525,10.5,10.525,283,0
YSAC-U.US,D,20220111,000000,10.5,10.52,10.5,10.52,200,0
YSAC-U.US,D,20220112,000000,10.5,10.5,10.485,10.485,904,0
YSAC-U.US,D,20220113,000000,10.39,10.5,10.39,10.5,1453,0
YSAC-U.US,D,20220114,000000,10.4457,10.4457,10.4457,10.4457,602,0
YSAC-U.US,D,20220119,000000,10.25,10.25,9.92,9.949,814,0
YSAC-U.US,D,20220120,000000,9.01,9.6,9.01,9.6,3633,0
YSAC-U.US,D,20220121,000000,9.45,9.45,8.59,8.78,10574,0
