<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSAC-WS.US,D,20220105,000000,0.8885,0.9185,0.7901,0.87,42285,0
YSAC-WS.US,D,20220106,000000,0.8268,0.9098,0.7661,0.8999,31234,0
YSAC-WS.US,D,20220107,000000,0.82,0.8799,0.7846,0.81,34999,0
YSAC-WS.US,D,20220110,000000,0.7851,0.8099,0.72,0.75,99844,0
YSAC-WS.US,D,20220111,000000,0.7801,0.83,0.7601,0.8053,21207,0
YSAC-WS.US,D,20220112,000000,0.75,0.7799,0.6713,0.7496,81806,0
YSAC-WS.US,D,20220113,000000,0.69,0.736,0.6657,0.675,35669,0
YSAC-WS.US,D,20220114,000000,0.6686,0.7495,0.6599,0.7094,21740,0
YSAC-WS.US,D,20220118,000000,0.71,0.7944,0.7002,0.7944,72922,0
YSAC-WS.US,D,20220119,000000,0.8,0.8199,0.7144,0.79,95053,0
YSAC-WS.US,D,20220120,000000,0.71,0.78,0.69,0.74,47796,0
YSAC-WS.US,D,20220121,000000,0.5728,0.5728,0.5601,0.5728,114130,0
