<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZTR.US,D,20050225,000000,6.291,6.3029,6.291,6.3029,101836,0
ZTR.US,D,20050228,000000,6.3029,6.3136,6.291,6.3029,142459,0
ZTR.US,D,20050301,000000,6.291,6.3136,6.2796,6.291,255621,0
ZTR.US,D,20050302,000000,6.291,6.3136,6.291,6.3029,85659,0
ZTR.US,D,20050303,000000,6.291,6.3136,6.291,6.3136,158296,0
ZTR.US,D,20050304,000000,6.3029,6.34,6.3029,6.34,161218,0
ZTR.US,D,20050307,000000,6.351,6.351,6.3275,6.34,139282,0
ZTR.US,D,20050308,000000,6.34,6.351,6.3136,6.3275,123845,0
ZTR.US,D,20050309,000000,6.291,6.3029,6.2673,6.2796,207250,0
ZTR.US,D,20050310,000000,6.2796,6.291,6.2528,6.2528,126693,0
ZTR.US,D,20050311,000000,6.2673,6.2796,6.2528,6.2528,157553,0
ZTR.US,D,20050314,000000,6.2673,6.2796,6.2528,6.2673,222513,0
ZTR.US,D,20050315,000000,6.2528,6.2673,6.2404,6.2528,129182,0
ZTR.US,D,20050316,000000,6.2528,6.2528,6.2178,6.2297,150958,0
ZTR.US,D,20050317,000000,6.2178,6.2404,6.1557,6.1948,299748,0
ZTR.US,D,20050318,000000,6.1815,6.1948,6.1815,6.1948,119689,0
ZTR.US,D,20050321,000000,6.1948,6.1948,6.1687,6.1687,189901,0
ZTR.US,D,20050322,000000,6.1687,6.1815,6.1213,6.1448,217845,0
ZTR.US,D,20050323,000000,6.1213,6.2297,6.0359,6.1948,357466,0
ZTR.US,D,20050324,000000,6.1948,6.2178,6.1322,6.1815,133696,0
ZTR.US,D,20050328,000000,6.1948,6.2178,6.1815,6.1948,89821,0
ZTR.US,D,20050329,000000,6.1815,6.2061,6.1687,6.1948,140370,0
ZTR.US,D,20050330,000000,6.2061,6.2061,6.1815,6.1948,91321,0
ZTR.US,D,20050331,000000,6.2061,6.2178,6.1815,6.1815,82815,0
ZTR.US,D,20050401,000000,6.2061,6.2528,6.2061,6.2297,90664,0
ZTR.US,D,20050404,000000,6.2404,6.2528,6.2061,6.2528,115010,0
ZTR.US,D,20050405,000000,6.2404,6.2796,6.2178,6.2796,88821,0
ZTR.US,D,20050406,000000,6.2404,6.2796,6.2404,6.2673,91251,0
ZTR.US,D,20050407,000000,6.2178,6.2178,6.1687,6.1948,121271,0
ZTR.US,D,20050408,000000,6.1815,6.2061,6.1687,6.1815,71725,0
ZTR.US,D,20050411,000000,6.1815,6.1948,6.1687,6.1815,106327,0
ZTR.US,D,20050412,000000,6.1948,6.1948,6.1557,6.1815,186324,0
ZTR.US,D,20050413,000000,6.1815,6.1815,6.1448,6.1815,90911,0
ZTR.US,D,20050414,000000,6.1687,6.1815,6.1448,6.1557,48451,0
ZTR.US,D,20050415,000000,6.1448,6.1815,6.1448,6.1557,64720,0
ZTR.US,D,20050418,000000,6.1815,6.1815,6.1322,6.1448,79820,0
ZTR.US,D,20050419,000000,6.1448,6.1815,6.1213,6.1815,87405,0
ZTR.US,D,20050420,000000,6.1948,6.1948,6.1448,6.1448,148125,0
ZTR.US,D,20050421,000000,6.1815,6.1815,6.1448,6.1557,101412,0
ZTR.US,D,20050422,000000,6.1815,6.1815,6.1322,6.1815,94490,0
ZTR.US,D,20050425,000000,6.1948,6.2061,6.1815,6.1948,163295,0
ZTR.US,D,20050426,000000,6.1948,6.2178,6.1815,6.2061,113344,0
ZTR.US,D,20050427,000000,6.2061,6.2178,6.1815,6.1815,151539,0
ZTR.US,D,20050428,000000,6.1815,6.1948,6.1687,6.1815,127783,0
ZTR.US,D,20050429,000000,6.1815,6.1948,6.1557,6.1687,121940,0
ZTR.US,D,20050502,000000,6.1687,6.2061,6.1687,6.1948,264951,0
ZTR.US,D,20050503,000000,6.1815,6.2061,6.1815,6.1948,111838,0
ZTR.US,D,20050504,000000,6.1948,6.2061,6.1815,6.1815,162211,0
ZTR.US,D,20050505,000000,6.1815,6.2061,6.1815,6.2061,116429,0
ZTR.US,D,20050506,000000,6.1948,6.2178,6.1815,6.1948,111435,0
ZTR.US,D,20050509,000000,6.1948,6.1948,6.1815,6.1948,128781,0
ZTR.US,D,20050510,000000,6.1687,6.1687,6.1322,6.1448,137519,0
ZTR.US,D,20050511,000000,6.1448,6.1448,6.1213,6.1448,97165,0
ZTR.US,D,20050512,000000,6.1322,6.1557,6.0707,6.0815,250871,0
ZTR.US,D,20050513,000000,6.0956,6.1213,6.0815,6.1097,95423,0
ZTR.US,D,20050516,000000,6.1097,6.1322,6.0707,6.1097,143123,0
ZTR.US,D,20050517,000000,6.1213,6.1322,6.0815,6.1213,94748,0
ZTR.US,D,20050518,000000,6.1213,6.1322,6.0956,6.1322,181065,0
ZTR.US,D,20050519,000000,6.1213,6.1557,6.1213,6.1557,73402,0
ZTR.US,D,20050520,000000,6.1557,6.1557,6.1213,6.1557,160050,0
ZTR.US,D,20050523,000000,6.1557,6.1687,6.1322,6.1557,95329,0
ZTR.US,D,20050524,000000,6.1687,6.1815,6.1448,6.1815,128347,0
ZTR.US,D,20050525,000000,6.1815,6.1815,6.1557,6.1815,140196,0
ZTR.US,D,20050526,000000,6.1687,6.1948,6.1557,6.1815,177065,0
ZTR.US,D,20050527,000000,6.1687,6.1815,6.1557,6.1815,109595,0
ZTR.US,D,20050531,000000,6.1687,6.1815,6.1557,6.1815,80314,0
ZTR.US,D,20050601,000000,6.1815,6.1948,6.1687,6.1815,79570,0
ZTR.US,D,20050602,000000,6.1815,6.2178,6.1815,6.2178,114760,0
ZTR.US,D,20050603,000000,6.2061,6.2178,6.1815,6.2061,157457,0
ZTR.US,D,20050606,000000,6.2061,6.2178,6.1815,6.2178,154719,0
ZTR.US,D,20050607,000000,6.2178,6.2404,6.2061,6.2178,195245,0
ZTR.US,D,20050608,000000,6.2297,6.2404,6.2061,6.2178,192736,0
ZTR.US,D,20050609,000000,6.1448,6.1815,6.1322,6.1815,184229,0
ZTR.US,D,20050610,000000,6.1687,6.1815,6.1097,6.1213,272305,0
ZTR.US,D,20050613,000000,6.1213,6.1557,6.1097,6.1213,262882,0
ZTR.US,D,20050614,000000,6.1213,6.1448,6.1213,6.1322,260212,0
ZTR.US,D,20050615,000000,6.1448,6.1448,6.1213,6.1213,235020,0
ZTR.US,D,20050616,000000,6.1448,6.1557,6.1213,6.1322,210501,0
ZTR.US,D,20050617,000000,6.1448,6.1815,6.1213,6.1448,157379,0
ZTR.US,D,20050620,000000,6.1687,6.1815,6.1448,6.1687,97669,0
ZTR.US,D,20050621,000000,6.1687,6.1687,6.1448,6.1687,112421,0
ZTR.US,D,20050622,000000,6.1815,6.1815,6.1687,6.1815,141118,0
ZTR.US,D,20050623,000000,6.1815,6.1815,6.1448,6.1687,137691,0
ZTR.US,D,20050624,000000,6.1687,6.1687,6.1322,6.1448,134857,0
ZTR.US,D,20050627,000000,6.1687,6.1687,6.1448,6.1557,149373,0
ZTR.US,D,20050628,000000,6.1687,6.1815,6.1448,6.1687,130023,0
ZTR.US,D,20050629,000000,6.1557,6.1815,6.1448,6.1557,148619,0
ZTR.US,D,20050630,000000,6.1687,6.1687,6.1448,6.1557,138699,0
ZTR.US,D,20050701,000000,6.1687,6.1687,6.1448,6.1448,192656,0
ZTR.US,D,20050705,000000,6.1448,6.1687,6.1448,6.1687,312665,0
ZTR.US,D,20050706,000000,6.1687,6.1687,6.1448,6.1687,274734,0
ZTR.US,D,20050707,000000,6.1097,6.1322,6.0956,6.1213,181989,0
ZTR.US,D,20050708,000000,6.1213,6.1448,6.1213,6.1322,168974,0
ZTR.US,D,20050711,000000,6.1322,6.1448,6.1213,6.1448,215838,0
ZTR.US,D,20050712,000000,6.1322,6.1557,6.1322,6.1322,189813,0
ZTR.US,D,20050713,000000,6.1448,6.1448,6.1322,6.1448,171382,0
ZTR.US,D,20050714,000000,6.1448,6.1557,6.1322,6.1448,106923,0
ZTR.US,D,20050715,000000,6.1557,6.1557,6.1322,6.1448,168974,0
ZTR.US,D,20050718,000000,6.1557,6.1687,6.1322,6.1448,180403,0
ZTR.US,D,20050719,000000,6.1448,6.1557,6.1322,6.1557,207337,0
ZTR.US,D,20050720,000000,6.1687,6.1815,6.1448,6.1687,178227,0
ZTR.US,D,20050721,000000,6.1815,6.1815,6.1557,6.1557,100085,0
ZTR.US,D,20050722,000000,6.1557,6.1815,6.1557,6.1687,107587,0
ZTR.US,D,20050725,000000,6.1815,6.1815,6.1687,6.1815,155297,0
ZTR.US,D,20050726,000000,6.1815,6.1815,6.1687,6.1815,138036,0
ZTR.US,D,20050727,000000,6.1948,6.1948,6.1687,6.1815,75145,0
ZTR.US,D,20050728,000000,6.1815,6.1815,6.1815,6.1815,82654,0
ZTR.US,D,20050729,000000,6.1815,6.1948,6.1815,6.1815,182978,0
ZTR.US,D,20050801,000000,6.1815,6.1815,6.1815,6.1815,182070,0
ZTR.US,D,20050802,000000,6.1815,6.1815,6.1687,6.1815,279901,0
ZTR.US,D,20050803,000000,6.1815,6.1815,6.1687,6.1815,329193,0
ZTR.US,D,20050804,000000,6.1815,6.1815,6.1687,6.1815,193161,0
ZTR.US,D,20050805,000000,6.1815,6.1815,6.1448,6.1557,241607,0
ZTR.US,D,20050808,000000,6.1687,6.1815,6.1557,6.1687,179732,0
ZTR.US,D,20050809,000000,6.1322,6.1322,6.1097,6.1322,219764,0
ZTR.US,D,20050810,000000,6.1322,6.1448,6.1213,6.1322,186324,0
ZTR.US,D,20050811,000000,6.1322,6.1448,6.1213,6.1322,191245,0
ZTR.US,D,20050812,000000,6.1322,6.1448,6.1213,6.1448,254631,0
ZTR.US,D,20050815,000000,6.1448,6.1557,6.1322,6.1322,125764,0
ZTR.US,D,20050816,000000,6.1448,6.1557,6.1322,6.1557,109340,0
ZTR.US,D,20050817,000000,6.1448,6.1557,6.1322,6.1448,170895,0
ZTR.US,D,20050818,000000,6.1448,6.1557,6.1322,6.1322,95235,0
ZTR.US,D,20050819,000000,6.1448,6.1557,6.1322,6.1448,194907,0
ZTR.US,D,20050822,000000,6.1557,6.1557,6.1322,6.1448,150466,0
ZTR.US,D,20050823,000000,6.1557,6.1557,6.1322,6.1448,141371,0
ZTR.US,D,20050824,000000,6.1557,6.1557,6.1448,6.1557,200082,0
ZTR.US,D,20050825,000000,6.1557,6.1557,6.1322,6.1557,131184,0
ZTR.US,D,20050826,000000,6.1557,6.1557,6.1322,6.1557,112090,0
ZTR.US,D,20050829,000000,6.1322,6.1557,6.1213,6.1213,207250,0
ZTR.US,D,20050830,000000,6.1322,6.1322,6.0956,6.1213,254631,0
ZTR.US,D,20050831,000000,6.1097,6.1322,6.0956,6.1322,136697,0
ZTR.US,D,20050901,000000,6.1322,6.1557,6.1097,6.1557,142279,0
ZTR.US,D,20050902,000000,6.1557,6.1687,6.1448,6.1557,143453,0
ZTR.US,D,20050906,000000,6.1557,6.1815,6.1557,6.1815,236441,0
ZTR.US,D,20050907,000000,6.1815,6.1815,6.1687,6.1815,331354,0
ZTR.US,D,20050908,000000,6.1448,6.1448,6.1213,6.1213,233365,0
ZTR.US,D,20050909,000000,6.1213,6.1322,6.1097,6.1322,213338,0
ZTR.US,D,20050912,000000,6.1322,6.1322,6.1097,6.1322,168802,0
ZTR.US,D,20050913,000000,6.1322,6.1557,6.1213,6.1322,176731,0
ZTR.US,D,20050914,000000,6.1448,6.1448,6.1213,6.1322,169982,0
ZTR.US,D,20050915,000000,6.1322,6.1448,6.1213,6.1448,131523,0
ZTR.US,D,20050916,000000,6.1448,6.1448,6.1322,6.1448,144025,0
ZTR.US,D,20050919,000000,6.1448,6.1448,6.1213,6.1448,127783,0
ZTR.US,D,20050920,000000,6.1448,6.1557,6.1213,6.1448,111760,0
ZTR.US,D,20050921,000000,6.1213,6.1557,6.1213,6.1322,190155,0
ZTR.US,D,20050922,000000,6.1213,6.1448,6.1213,6.1322,233612,0
ZTR.US,D,20050923,000000,6.1322,6.1322,6.1097,6.1322,212168,0
ZTR.US,D,20050926,000000,6.1448,6.1448,6.1213,6.1448,185153,0
ZTR.US,D,20050927,000000,6.1213,6.1448,6.1213,6.1322,186237,0
ZTR.US,D,20050928,000000,6.1213,6.1448,6.1213,6.1322,126520,0
ZTR.US,D,20050929,000000,6.1322,6.1322,6.1213,6.1322,88735,0
ZTR.US,D,20050930,000000,6.1322,6.1448,6.1213,6.1322,98655,0
ZTR.US,D,20051003,000000,6.1322,6.1448,6.1213,6.1448,122600,0
ZTR.US,D,20051004,000000,6.1448,6.1448,6.1213,6.1322,179136,0
ZTR.US,D,20051005,000000,6.1448,6.1448,6.1213,6.1448,175717,0
ZTR.US,D,20051006,000000,6.1322,6.1448,6.1097,6.1322,133115,0
ZTR.US,D,20051007,000000,6.1322,6.1322,6.1097,6.1213,164549,0
ZTR.US,D,20051010,000000,6.1322,6.1322,6.0707,6.0815,322436,0
ZTR.US,D,20051011,000000,6.0588,6.0588,5.9874,6.0221,134948,0
ZTR.US,D,20051012,000000,6.0487,6.0487,5.3907,5.803,658299,0
ZTR.US,D,20051013,000000,5.803,5.803,5.5128,5.6576,687976,0
ZTR.US,D,20051014,000000,5.6576,5.8644,5.6576,5.803,296748,0
